Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,,,,,,
,Days Hotel Coventry,29697,,,"1,767.00 ",12/10/2017,People Group,,,,,,
100272,Deaf-Initely Independent,51298900,R5806,Residential Care,3495.52,19/10/2017,People Group,,,,,,
100272,Deaf-Initely Independent,51298886,R5806,Residential Care,4212.04,19/10/2017,People Group,,,,,,
100272,Deaf-Initely Independent,51298900,R5806,Residential Care,4163.32,19/10/2017,People Group,,,,,,
100272,Deaf-Initely Independent,51298900,R5806,Residential Care,3846.16,19/10/2017,People Group,,,,,,
100272,Deaf-Initely Independent,51298901,R5806,Residential Care,6873.76,19/10/2017,People Group,,,,,,
220287,Dealership Services Ltd,51283563,R4205,"Clothing, Uniforms & Laundry",930.75,13/10/2017,Fire and Rescue,,,,,,
231670,Deeley Construction Ltd,51297351,R5702,Payments to External Contractors,6400.00,18/10/2017,Communities,,,,,,
230993,Deens Travel,51289812,R3204,Home To School / College Transport,1040.00,04/10/2017,Communities,,,,,,
234228,DEKKO COMICS LTD,51275292,R5702,Payments to External Contractors,3000.00,06/10/2017,Fire and Rescue,,,,,,
235037,Deloitte LLP no.2 Account (****5557),51303382,R4409,Consultancy,5442.60,27/10/2017,Resources,,,,,,
219451,Department for Work and Pensions-Compensation Recovery Unit,51299986,R4928,Other Insurance Claims,665.00,20/10/2017,Other Services,,,,,,
223146,Derby City Council,51293314,R5203,Payments / Contributions to Public Sector Organisations,10620.00,11/10/2017,Communities,,,,,,
201742,Derwen College,51288653,R5702,Payments to External Contractors,3862.64,27/10/2017,Communities,,,,,,
201742,Derwen College,51289278,R5702,Payments to External Contractors,2373.67,27/10/2017,Communities,,,,,,
220586,Diamond Bus Company Ltd,51301447,R5704,Public Transport,3370.00,24/10/2017,Communities,,,,,,
225845,Dignus Healthcare Ltd,51287938,R5803,Daycare External,601.60,06/10/2017,People Group,,,,,,
225845,Dignus Healthcare Ltd,51298903,R5806,Residential Care,3234.00,19/10/2017,People Group,,,,,,
201761,Dimensions UK Ltd (****0502),51287307,R5851,Supported Living,1317.60,04/10/2017,People Group,,,,,,
233542,Direct Care Ltd,51288637,R5806,Residential Care,14571.60,27/10/2017,People Group,,,,,,
208206,Direct Packaging Ltd,51274024,R4301,"Advertising, Publicity & Promotion",864.12,06/10/2017,Fire and Rescue,,,,,,
225661,Diva Care Ltd,51298949,R5806,Residential Care,1870.96,19/10/2017,People Group,,,,,,
221329,Dodd Group (Midlands) Ltd,51273869,C1030,"New Construction, Conversion & Renovation",17758.95,04/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51275117,R2023,Mechanical (LM),586.00,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51275096,R2023,Mechanical (LM),940.72,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51275090,R2023,Mechanical (LM),525.75,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51275087,R2023,Mechanical (LM),546.38,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51274677,R2024,Electrical (LE),43747.55,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51291313,R2024,Electrical (LE),731.24,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51274242,R2023,Mechanical (LM),1024.61,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51281446,R2024,Electrical (LE),19332.17,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51281442,R2023,Mechanical (LM),3019.89,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51275111,R2024,Electrical (LE),1261.81,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51275106,R2023,Mechanical (LM),1274.95,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51275104,R2023,Mechanical (LM),690.55,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51274273,R2023,Mechanical (LM),648.32,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51291312,R2024,Electrical (LE),668.58,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51274266,R2023,Mechanical (LM),527.86,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51281452,C1030,"New Construction, Conversion & Renovation",17026.28,06/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51285597,C1030,"New Construction, Conversion & Renovation",6350.88,06/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51275676,R2023,Mechanical (LM),535.96,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51275647,R2023,Mechanical (LM),644.77,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51275643,R2024,Electrical (LE),564.00,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51274278,R2023,Mechanical (LM),591.22,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51275095,R2024,Electrical (LE),916.50,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51275094,R2024,Electrical (LE),916.50,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51275663,R2024,Electrical (LE),617.42,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51275657,R2023,Mechanical (LM),917.76,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51274253,R2023,Mechanical (LM),895.63,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51274249,R2023,Mechanical (LM),984.40,06/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51281460,C1030,"New Construction, Conversion & Renovation",12356.92,06/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51281459,C1030,"New Construction, Conversion & Renovation",26546.37,06/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51281457,C1030,"New Construction, Conversion & Renovation",30269.18,06/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51291972,R2024,Electrical (LE),899.31,09/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51291969,R2024,Electrical (LE),713.93,09/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51291959,R2024,Electrical (LE),694.73,09/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51281445,R2023,Mechanical (LM),2578.90,11/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51281447,R2023,Mechanical (LM),2247.76,11/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278407,R2024,Electrical (LE),654.95,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278313,R2024,Electrical (LE),623.15,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278404,R2024,Electrical (LE),734.38,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278403,R2024,Electrical (LE),815.51,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278400,R2024,Electrical (LE),669.75,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278329,R2024,Electrical (LE),932.26,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278320,R2024,Electrical (LE),819.81,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278319,R2023,Mechanical (LM),1459.64,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51285563,C1030,"New Construction, Conversion & Renovation",56744.78,12/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51278408,R2024,Electrical (LE),742.74,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51285562,R2024,Electrical (LE),7246.25,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278416,R2023,Mechanical (LM),660.21,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278351,R2024,Electrical (LE),518.59,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278377,R2024,Electrical (LE),516.65,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278397,R2023,Mechanical (LM),711.42,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51292702,R2023,Mechanical (LM),875.38,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278387,R2023,Mechanical (LM),568.77,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278347,R2023,Mechanical (LM),566.66,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278317,R2023,Mechanical (LM),881.25,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278406,R2023,Mechanical (LM),1684.66,12/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51279506,R2024,Electrical (LE),810.29,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51295158,R2024,Electrical (LE),662.95,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51279495,R2024,Electrical (LE),1296.42,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51279038,R2023,Mechanical (LM),936.32,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278954,R2023,Mechanical (LM),949.98,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51290919,R2023,Mechanical (LM),2836.73,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51287388,R2023,Mechanical (LM),3389.38,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51286823,C1030,"New Construction, Conversion & Renovation",5773.48,13/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51286765,C1030,"New Construction, Conversion & Renovation",71842.20,13/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51286764,C1030,"New Construction, Conversion & Renovation",84933.56,13/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51286355,C1030,"New Construction, Conversion & Renovation",81425.64,13/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51285600,C1030,"New Construction, Conversion & Renovation",77099.96,13/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51285599,C1030,"New Construction, Conversion & Renovation",77975.57,13/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51285518,C1030,"New Construction, Conversion & Renovation",4834.29,13/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51285517,C1030,"New Construction, Conversion & Renovation",22929.55,13/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51279073,R2023,Mechanical (LM),620.40,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51279061,R2023,Mechanical (LM),902.40,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278990,R2023,Mechanical (LM),977.60,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51278964,R2023,Mechanical (LM),868.63,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51279039,R2023,Mechanical (LM),1334.80,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51279037,R2023,Mechanical (LM),582.80,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51279019,R2023,Mechanical (LM),637.51,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51287387,R2023,Mechanical (LM),2942.79,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51279006,R2023,Mechanical (LM),1353.74,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51287943,R2023,Mechanical (LM),3402.45,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51291840,R2024,Electrical (LE),2640.67,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51279059,R2023,Mechanical (LM),531.18,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51279024,R2023,Mechanical (LM),525.95,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51288956,R2023,Mechanical (LM),3846.50,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51295216,R2023,Mechanical (LM),748.03,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51295175,R2023,Mechanical (LM),678.13,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51295171,R2023,Mechanical (LM),652.65,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51279496,R2023,Mechanical (LM),690.39,13/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51286377,C1030,"New Construction, Conversion & Renovation",20756.44,18/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51286376,C1030,"New Construction, Conversion & Renovation",22226.25,18/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51297359,R2023,Mechanical (LM),1205.96,18/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51286374,C1030,"New Construction, Conversion & Renovation",64360.42,18/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51286375,C1030,"New Construction, Conversion & Renovation",33614.37,18/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51285669,R2023,Mechanical (LM),625.05,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51284714,R2024,Electrical (LE),573.66,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51284746,R2024,Electrical (LE),1960.14,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51284727,R2024,Electrical (LE),528.75,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51284692,R2024,Electrical (LE),1169.13,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51290003,C1030,"New Construction, Conversion & Renovation",35729.73,20/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51288951,C1030,"New Construction, Conversion & Renovation",48666.64,20/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51288640,C1030,"New Construction, Conversion & Renovation",77156.46,20/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51288639,C1030,"New Construction, Conversion & Renovation",54175.04,20/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51287942,C1030,"New Construction, Conversion & Renovation",5999.55,20/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51285660,R2023,Mechanical (LM),566.82,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51284699,R2024,Electrical (LE),1475.92,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51290555,R4409,Consultancy,669.75,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51290553,R4409,Consultancy,517.00,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51284775,R2024,Electrical (LE),685.41,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51284767,R2024,Electrical (LE),1089.14,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51284683,R2024,Electrical (LE),723.80,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51285633,R2024,Electrical (LE),859.72,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51284759,R2024,Electrical (LE),1734.28,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51292708,R2023,Mechanical (LM),517.00,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51287431,R2023,Mechanical (LM),1169.13,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51287429,R2023,Mechanical (LM),517.00,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51287424,R2023,Mechanical (LM),517.00,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51285680,R2023,Mechanical (LM),620.00,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51285642,R2023,Mechanical (LM),1213.72,20/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51290064,R2024,Electrical (LE),41034.73,25/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51290273,R2024,Electrical (LE),2013.53,25/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51290937,R2023,Mechanical (LM),2078.94,25/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51288147,R2024,Electrical (LE),790.78,27/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51288123,R2024,Electrical (LE),956.23,27/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51290932,R2023,Mechanical (LM),2234.70,27/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51290903,R2023,Mechanical (LM),2435.32,27/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51293626,C1030,"New Construction, Conversion & Renovation",3263.97,27/10/2017,Capital,,,,,,
221329,Dodd Group (Midlands) Ltd,51288151,R2024,Electrical (LE),1073.06,27/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51290931,R2024,Electrical (LE),6099.75,27/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51290271,R2024,Electrical (LE),2523.72,27/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51290904,R2024,Electrical (LE),2031.60,27/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51288140,R2023,Mechanical (LM),514.16,27/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51288213,R2024,Electrical (LE),1128.00,27/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51288148,R2023,Mechanical (LM),1375.96,27/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51288121,R2024,Electrical (LE),1625.79,27/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51288212,R2024,Electrical (LE),1057.50,27/10/2017,Resources,,,,,,
221329,Dodd Group (Midlands) Ltd,51288208,R2023,Mechanical (LM),670.93,27/10/2017,Resources,,,,,,
,Don Ruffles Ltd,38016,,,757.00 ,05/10/2017,Fire and Rescue,,,,,,
212366,Dordon & Polesworth Group Practice,51301026,R5702,Payments to External Contractors,786.87,30/10/2017,Communities,,,,,,
212366,Dordon & Polesworth Group Practice,51301009,R5702,Payments to External Contractors,583.45,30/10/2017,Communities,,,,,,
218071,Dordon Primary School (Academy),51298758,R6107,SEN Statements Funding,1376.00,19/10/2017,Communities,,,,,,
,Douglass Motors Limite,1140,,,"2,175.96 ",31/10/2017,Communities,,,,,,
232498,Doulton Court Ltd t/a Aspen Lodge Care Home,51298844,R5806,Residential Care,1913.52,19/10/2017,People Group,,,,,,
201834,Draeger Safety UK Ltd,51283488,R4015,Equipment Repair & Maintenance,6000.00,20/10/2017,Fire and Rescue,,,,,,
201851,Dudley Lodge,51294133,R5801,Carer Allowance Payments,11251.53,30/10/2017,People Group,,,,,,
201860,Dunchurch Nursery,51289592,C1030,"New Construction, Conversion & Renovation",58894.22,03/10/2017,Capital,,,,,,
,Duplication Centre,33606,,,510.00 ,04/10/2017,Fire and Rescue,,,,,,
220003,Durham Businesswear Ltd,51289382,R4205,"Clothing, Uniforms & Laundry",1350.50,30/10/2017,Resources,,,,,,
100275,Dwell Ltd,51298978,R5806,Residential Care,1766.52,19/10/2017,People Group,,,,,,
100275,Dwell Ltd,51298978,R5806,Residential Care,14895.31,19/10/2017,People Group,,,,,,
100275,Dwell Ltd,51298978,R5806,Residential Care,2072.64,19/10/2017,People Group,,,,,,
100275,Dwell Ltd,51298978,R5806,Residential Care,2326.52,19/10/2017,People Group,,,,,,
212369,DWR Cymru Cyfyngedig - Welsh Water,51286125,R2402,Water Supply Rv,3237.85,11/10/2017,People Group,,,,,,
204776,Dynniq UK Ltd,51290328,R5702,Payments to External Contractors,1451.49,25/10/2017,Communities,,,,,,
222574,E & R Moffat Ltd,51290234,R4008,Equipment,2150.00,12/10/2017,Resources,,,,,,
201910,E.On ****6103,51283713,R2102,Energy Costs,7890.98,06/10/2017,Communities,,,,,,
201910,E.On ****6103,51283722,R2102,Energy Costs,1268.70,06/10/2017,Communities,,,,,,
201912,E.On Energy ****5970,51292348,C1050,External Fees,1606.00,18/10/2017,Capital,,,,,,
201916,E.On Energy Solutions Ltd (Street Lighting),51272769,R4434,Street Lighting,893.00,04/10/2017,Communities,,,,,,
201916,E.On Energy Solutions Ltd (Street Lighting),51272765,R4434,Street Lighting,590.00,04/10/2017,Communities,,,,,,
201916,E.On Energy Solutions Ltd (Street Lighting),51272742,R4434,Street Lighting,679.00,04/10/2017,Communities,,,,,,
201916,E.On Energy Solutions Ltd (Street Lighting),51272736,R4434,Street Lighting,885.00,04/10/2017,Communities,,,,,,
201916,E.On Energy Solutions Ltd (Street Lighting),51272737,R4434,Street Lighting,1164.00,04/10/2017,Communities,,,,,,
201916,E.On Energy Solutions Ltd (Street Lighting),51273260,R4434,Street Lighting,830.00,05/10/2017,Communities,,,,,,
201916,E.On Energy Solutions Ltd (Street Lighting),51293383,R4434,Street Lighting,1696.00,30/10/2017,Communities,,,,,,
201930,Eastern Shires Purchasing Organisation,51285237,R4056,For use by schools only - Learning Resources Curriculum,1399.64,09/10/2017,Schools,,,,,,
201930,Eastern Shires Purchasing Organisation,51285241,R4056,For use by schools only - Learning Resources Curriculum,582.04,09/10/2017,Schools,,,,,,
201930,Eastern Shires Purchasing Organisation,51290413,C1030,"New Construction, Conversion & Renovation",757.00,16/10/2017,Capital,,,,,,
201930,Eastern Shires Purchasing Organisation,51290665,C1030,"New Construction, Conversion & Renovation",3820.00,16/10/2017,Capital,,,,,,
201930,Eastern Shires Purchasing Organisation,51290420,C1030,"New Construction, Conversion & Renovation",1096.00,16/10/2017,Capital,,,,,,
201930,Eastern Shires Purchasing Organisation,51290438,R4024,Furniture,528.00,16/10/2017,Fire and Rescue,,,,,,
201930,Eastern Shires Purchasing Organisation,51290447,R2704,"Cleaning, Domestic & Caretaking Services / Supplies",555.00,16/10/2017,Resources,,,,,,
201930,Eastern Shires Purchasing Organisation,51293404,C1010,Acquisition Of New Assets,670.00,18/10/2017,Capital,,,,,,
201930,Eastern Shires Purchasing Organisation,51297076,R4313,Stationery & Paper,594.78,26/10/2017,Resources,,,,,,
201945,Ecoline,51285832,C1030,"New Construction, Conversion & Renovation",1200.00,20/10/2017,Capital,,,,,,
201946,Econ Engineering Ltd,51285776,R3010,Purchase Of Vehicles,39000.00,09/10/2017,Communities,,,,,,
201946,Econ Engineering Ltd,51279536,R3010,Purchase Of Vehicles,39000.00,13/10/2017,Communities,,,,,,
201946,Econ Engineering Ltd,51291923,R4030,Materials,1293.46,19/10/2017,Communities,,,,,,
201946,Econ Engineering Ltd,51285875,R3010,Purchase Of Vehicles,39000.00,20/10/2017,Communities,,,,,,
100276,Eden Place Ltd,51298906,R5806,Residential Care,2009.84,19/10/2017,People Group,,,,,,
100276,Eden Place Ltd,51298841,R5806,Residential Care,5224.80,19/10/2017,People Group,,,,,,
100276,Eden Place Ltd,51298906,R5806,Residential Care,9933.88,19/10/2017,People Group,,,,,,
100276,Eden Place Ltd,51298907,R5806,Residential Care,14333.63,19/10/2017,People Group,,,,,,
100276,Eden Place Ltd,51298841,R5806,Residential Care,1655.92,19/10/2017,People Group,,,,,,
100276,Eden Place Ltd,51298906,R5806,Residential Care,5020.12,19/10/2017,People Group,,,,,,
100276,Eden Place Ltd,51298907,R5806,Residential Care,6707.92,19/10/2017,People Group,,,,,,
100276,Eden Place Ltd,51298906,R5806,Residential Care,7392.84,19/10/2017,People Group,,,,,,
100393,Edgeview Homes Ltd,51298908,R5806,Residential Care,5209.40,19/10/2017,People Group,,,,,,
216218,EdisonLearning Ltd,51279598,R1601,Training,4500.00,13/10/2017,Schools,,,,,,
210433,Edwards Taxis,51291345,R3204,Home To School / College Transport,856.00,10/10/2017,Communities,,,,,,
204614,EE Ltd (Orange Airtime ****1263),51288011,R4510,Mobile Telephones / Pagers,726.86,13/10/2017,Fire and Rescue,,,,,,
204614,EE Ltd (Orange Airtime ****1263),51290257,R4510,Mobile Telephones / Pagers,998.00,24/10/2017,Fire and Rescue,,,,,,
204614,EE Ltd (Orange Airtime ****1263),51288009,R4510,Mobile Telephones / Pagers,986.32,27/10/2017,Fire and Rescue,,,,,,
231538,Electron Technical Services Ltd,51279612,R2002,Building Maintenance,1405.05,13/10/2017,Communities,,,,,,
223550,Elleteq Ltd,51293685,R5702,Payments to External Contractors,1557.20,12/10/2017,Communities,,,,,,
212173,Elmhurst Care Facility,51290671,R5803,Daycare External,545.00,16/10/2017,People Group,,,,,,
212173,Elmhurst Care Facility,51300349,R5806,Residential Care,2720.20,23/10/2017,People Group,,,,,,
212173,Elmhurst Care Facility,51300349,R5806,Residential Care,1476.72,23/10/2017,People Group,,,,,,
212173,Elmhurst Care Facility,51304358,R5803,Daycare External,545.00,31/10/2017,People Group,,,,,,
233845,Elysian Field Ltd,51289111,R5459,Leaving Care Accommodation,2340.00,12/10/2017,People Group,,,,,,
233845,Elysian Field Ltd,51293401,R5459,Leaving Care Accommodation,2340.00,23/10/2017,People Group,,,,,,
233845,Elysian Field Ltd,51304057,R5459,Leaving Care Accommodation,2340.00,30/10/2017,People Group,,,,,,
233845,Elysian Field Ltd,51304050,R5459,Leaving Care Accommodation,2340.00,30/10/2017,People Group,,,,,,
233845,Elysian Field Ltd,51304045,R5459,Leaving Care Accommodation,2340.00,30/10/2017,People Group,,,,,,
233845,Elysian Field Ltd,51303588,R5459,Leaving Care Accommodation,2340.00,30/10/2017,People Group,,,,,,
220152,Encore Personnel Services Ltd,51285243,R1101,Agency Staff Pay,895.28,06/10/2017,Communities,,,,,,
220152,Encore Personnel Services Ltd,51289698,R1101,Agency Staff Pay,818.71,13/10/2017,Communities,,,,,,
224736,Entrust Care Partnership C.I.C (****6347),51293608,R5702,Payments to External Contractors,504.00,23/10/2017,People Group,,,,,,
224736,Entrust Care Partnership C.I.C (****6347),51293611,R5702,Payments to External Contractors,510.30,27/10/2017,People Group,,,,,,
202050,Envirocare Midlands Ltd,51287937,C1030,"New Construction, Conversion & Renovation",750.00,11/10/2017,Capital,,,,,,
202050,Envirocare Midlands Ltd,51287931,C1030,"New Construction, Conversion & Renovation",1020.00,11/10/2017,Capital,,,,,,
202050,Envirocare Midlands Ltd,51281429,C1030,"New Construction, Conversion & Renovation",615.00,11/10/2017,Capital,,,,,,
202050,Envirocare Midlands Ltd,51285553,C1030,"New Construction, Conversion & Renovation",2240.00,12/10/2017,Capital,,,,,,
202050,Envirocare Midlands Ltd,51297184,C1030,"New Construction, Conversion & Renovation",610.00,25/10/2017,Capital,,,,,,
208677,Esh Works Ltd,51288291,R5702,Payments to External Contractors,45097.50,04/10/2017,Communities,,,,,,
233355,Eskay Property Management,51296563,R6104,Social Care - Section 17 Payments,850.00,23/10/2017,People Group,,,,,,
202076,ESP Systex Ltd,51281428,R4505,ICT Supplies / Consumables,6124.43,18/10/2017,Communities,,,,,,
215263,ESPO Energy,51288469,R2102,Energy Costs,584.42,10/10/2017,Resources,,,,,,
215263,ESPO Energy,51288500,R2102,Energy Costs,983.60,10/10/2017,Resources,,,,,,
