,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
INSERTED DETAIL,100065,Crosscrown Limited,51052209,R5806,Residential Care (Adults),1885.16,11/07/2016,People Group,
INSERTED DETAIL,100065,Crosscrown Limited,51052209,R5806,Residential Care (Adults),1885.16,11/07/2016,People Group,
INSERTED DETAIL,100065,Crosscrown Limited,51052209,R5806,Residential Care (Adults),2409.04,11/07/2016,People Group,
INSERTED DETAIL,100065,Crosscrown Limited,51052209,R5806,Residential Care (Adults),1885.16,11/07/2016,People Group,
INSERTED DETAIL,217194,Crosscrown Ltd (Woodville House),51052247,R5806,Residential Care (Adults),5769.04,11/07/2016,People Group,
INSERTED DETAIL,217194,Crosscrown Ltd (Woodville House),51052247,R5806,Residential Care (Adults),8635.58,11/07/2016,People Group,
INSERTED DETAIL,100125,Crosscrown Ltd T/A The Chimneys,51052239,R5806,Residential Care (Adults),1896.24,11/07/2016,People Group,
INSERTED DETAIL,100125,Crosscrown Ltd T/A The Chimneys,51052239,R5806,Residential Care (Adults),1896.24,11/07/2016,People Group,
INSERTED DETAIL,100125,Crosscrown Ltd T/A The Chimneys,51052239,R5806,Residential Care (Adults),2415.60,11/07/2016,People Group,
INSERTED DETAIL,100125,Crosscrown Ltd T/A The Chimneys,51052239,R5806,Residential Care (Adults),8911.06,11/07/2016,People Group,
INSERTED DETAIL,100125,Crosscrown Ltd T/A The Chimneys,51052239,R5806,Residential Care (Adults),5417.68,11/07/2016,People Group,
INSERTED DETAIL,100338,Crosscrown Ltd T/A The Elms Residential Care Home,51052240,R5806,Residential Care (Adults),3361.28,11/07/2016,People Group,
INSERTED DETAIL,100338,Crosscrown Ltd T/A The Elms Residential Care Home,51052240,R5806,Residential Care (Adults),10703.96,11/07/2016,People Group,
INSERTED DETAIL,100441,Crosscrown Ltd T/As Granville House,51052216,R5806,Residential Care (Adults),1878.12,11/07/2016,People Group,
INSERTED DETAIL,100441,Crosscrown Ltd T/As Granville House,51052216,R5806,Residential Care (Adults),6966.96,11/07/2016,People Group,
INSERTED DETAIL,100441,Crosscrown Ltd T/As Granville House,51052216,R5806,Residential Care (Adults),12265.79,11/07/2016,People Group,
INSERTED DETAIL,201548,Crucible Education Ltd Tia Norton College,51048979,R6107,SEN Statements Funding - Non-Maintained Schools,3230.00,29/07/2016,Communities,
INSERTED DETAIL,229330,Crystal Care Solutions Ltd,51033175,R5848,Residential Care (Children),2895.00,01/07/2016,People Group,
INSERTED DETAIL,229330,Crystal Care Solutions Ltd,51041005,R5848,Residential Care (Children),2895.00,15/07/2016,People Group,
INSERTED DETAIL,229330,Crystal Care Solutions Ltd,51041008,R5848,Residential Care (Children),2895.00,15/07/2016,People Group,
INSERTED DETAIL,223625,CSL Industrial Roofing Services Ltd,51041636,R2001,Buildings Maintenance,910.00,20/07/2016,Communities,
INSERTED DETAIL,215440,CSV,51043779,R5805,Homecare - External Domiciliary (Adults),3024.00,08/07/2016,People Group,
INSERTED DETAIL,215440,CSV,51043796,R5805,Homecare - External Domiciliary (Adults),3024.00,08/07/2016,People Group,
INSERTED DETAIL,215440,CSV,51043775,R5805,Homecare - External Domiciliary (Adults),4032.00,08/07/2016,People Group,
INSERTED DETAIL,221703,Ctalk Ltd,51052177,R4501,Communications Costs,8158.62,12/07/2016,Resources,
INSERTED DETAIL,221703,Ctalk Ltd,51052178,R4501,Communications Costs,8158.62,12/07/2016,Resources,
INSERTED DETAIL,221703,Ctalk Ltd,51053017,R4501,Communications Costs,1400.00,28/07/2016,Resources,
INSERTED DETAIL,221703,Ctalk Ltd,51053012,R4501,Communications Costs,1380.02,28/07/2016,Resources,
INSERTED DETAIL,221703,Ctalk Ltd,51049143,R4501,Communications Costs,1400.00,28/07/2016,Resources,
INSERTED DETAIL,221703,Ctalk Ltd,51049141,R4501,Communications Costs,1273.44,28/07/2016,Resources,
INSERTED DETAIL,225609,CTS Forestry & Arboricultural Ltd,51046928,R1601,Training - External,980.00,28/07/2016,Communities,
INSERTED DETAIL,201828,Cubbington Road Surgery,51058737,R1502,Staff Medical Fees,3507.00,28/07/2016,Fire and Rescue,
INSERTED DETAIL,225226,Cubic Transportation Systems (ITMS) Ltd,51045497,R5702,Payments to External Contractors,500.00,14/07/2016,Communities,
INSERTED DETAIL,223141,Culture Coventry Ltd,51055572,R5702,Payments to External Contractors,900.00,29/07/2016,Communities,
INSERTED DETAIL,229823,CUREE Ltd,51033746,R5604,Commissioned Works,3000.00,01/07/2016,Communities,
INSERTED DETAIL,201585,D.B. Devall Funeral Directors Ltd,51052108,R4615,Mortuary/Pathology Expenses,899.05,15/07/2016,Other Services,
INSERTED DETAIL,229994,Daisykins at Rugby Free Primary School,51041832,R6106,Private Providers - Early Years Funding,4054.05,04/07/2016,Communities,
INSERTED DETAIL,201646,Daisykins Ltd,51041805,R6106,Private Providers - Early Years Funding,13030.87,04/07/2016,Communities,
INSERTED DETAIL,229615,Dale House Care Centre (Wellingborough),51052313,R5806,Residential Care (Adults),1815.04,11/07/2016,People Group,
INSERTED DETAIL,229013,Danmor Lodge Residential Care Home,51052314,R5806,Residential Care (Adults),2600.00,11/07/2016,People Group,
INSERTED DETAIL,227060,David Gell Consultancy,51034125,R1601,Training - External,625.00,06/07/2016,People Group,
INSERTED DETAIL,230307,Dawnschildcare (Dawn Hirons),51041681,R6106,Private Providers - Early Years Funding,1447.87,04/07/2016,Communities,
INSERTED DETAIL,100272,Deaf-Initely Independent,51052316,R5806,Residential Care (Adults),4163.32,11/07/2016,People Group,
INSERTED DETAIL,100272,Deaf-Initely Independent,51052317,R5806,Residential Care (Adults),6954.56,11/07/2016,People Group,
INSERTED DETAIL,100272,Deaf-Initely Independent,51052316,R5806,Residential Care (Adults),3495.52,11/07/2016,People Group,
INSERTED DETAIL,100272,Deaf-Initely Independent,51052305,R5806,Residential Care (Adults),4212.04,11/07/2016,People Group,
INSERTED DETAIL,220287,Dealership Services Ltd,51035741,R4205,Uniforms,723.25,07/07/2016,Fire and Rescue,
INSERTED DETAIL,219451,Department for Work and Pensions-Compensation Recovery Unit,51050444,R4928,Casualty Insurance Claims,647.00,07/07/2016,Other Services,
INSERTED DETAIL,219451,Department for Work and Pensions-Compensation Recovery Unit,51048074,R4928,Casualty Insurance Claims,615.00,27/07/2016,Other Services,
INSERTED DETAIL,219451,Department for Work and Pensions-Compensation Recovery Unit,51058616,R4928,Casualty Insurance Claims,770.00,28/07/2016,Other Services,
INSERTED DETAIL,201742,Derwen College,51052318,R5806,Residential Care (Adults),1536.92,11/07/2016,People Group,
INSERTED DETAIL,220586,Diamond Bus Company Limited,51060152,R5204,Concessionary Fares,3910.00,28/07/2016,Communities,
,,DIGITAL DIRECT AERIALS,P-CARD,,,555.00 ,03/08/2016,,
INSERTED DETAIL,225845,Dignus Healthcare Ltd,51052320,R5806,Residential Care (Adults),3234.00,11/07/2016,People Group,
INSERTED DETAIL,225845,Dignus Healthcare Ltd,51061147,R5810,Adult Day Care,691.84,29/07/2016,People Group,
INSERTED DETAIL,201759,Digraph Transport Supplies Ltd,51053337,R4030,Materials,1160.00,14/07/2016,Communities,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51047369,R5805,Homecare - External Domiciliary (Adults),577.44,01/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51048540,R5805,Homecare - External Domiciliary (Adults),1122.80,22/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51053020,R5805,Homecare - External Domiciliary (Adults),609.52,22/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51048541,R5805,Homecare - External Domiciliary (Adults),705.76,22/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51057706,R5805,Homecare - External Domiciliary (Adults),769.92,28/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51057708,R5805,Homecare - External Domiciliary (Adults),785.96,28/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51057714,R5805,Homecare - External Domiciliary (Adults),898.24,28/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51057715,R5805,Homecare - External Domiciliary (Adults),649.62,28/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51057703,R5805,Homecare - External Domiciliary (Adults),1138.84,28/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51059825,R5805,Homecare - External Domiciliary (Adults),1299.24,28/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51059547,R5805,Homecare - External Domiciliary (Adults),675.98,28/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51057726,R5805,Homecare - External Domiciliary (Adults),577.44,28/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51057725,R5805,Homecare - External Domiciliary (Adults),561.40,28/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51057723,R5805,Homecare - External Domiciliary (Adults),898.24,28/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51057721,R5805,Homecare - External Domiciliary (Adults),673.68,28/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51057716,R5805,Homecare - External Domiciliary (Adults),500.04,28/07/2016,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,51057719,R5805,Homecare - External Domiciliary (Adults),1122.80,28/07/2016,People Group,
INSERTED DETAIL,201769,Direct Taxis,51034914,R3204,Home To School / College Transport,570.00,05/07/2016,Communities,
INSERTED DETAIL,225661,Diva Care Ltd,51052364,R5806,Residential Care (Adults),1798.80,11/07/2016,People Group,
INSERTED DETAIL,215382,Diva Creative Ltd,51050415,R5702,Payments to External Contractors,785.00,12/07/2016,Communities,
INSERTED DETAIL,216855,DNA Worldwide,51041046,R4443,Professional Fees Admin,980.00,13/07/2016,Resources,
INSERTED DETAIL,216855,DNA Worldwide,51045613,R4443,Professional Fees Admin,797.00,22/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048093,R2024,Electrical (LE),12373.65,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51035305,R2023,Mechanical (LM),576.10,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51034569,R2023,Mechanical (LM),626.34,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51034571,C1030,"New Construction, Conversion & Renovation",2908.65,01/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51037042,R2024,Electrical (LE),3495.00,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033471,R2023,Mechanical (LM),1111.55,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033481,R2023,Mechanical (LM),1509.88,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033485,R2024,Electrical (LE),578.10,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033488,R2024,Electrical (LE),537.56,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033490,R2024,Electrical (LE),1741.35,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033493,R2024,Electrical (LE),514.65,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033495,R2023,Mechanical (LM),745.33,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033498,R2024,Electrical (LE),888.30,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033500,R2024,Electrical (LE),805.98,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033510,R2024,Electrical (LE),624.84,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033519,R2023,Mechanical (LM),554.15,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033538,R2024,Electrical (LE),645.94,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033545,R2023,Mechanical (LM),715.58,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033550,R2024,Electrical (LE),1468.75,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033557,R2024,Electrical (LE),1246.93,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033561,R2023,Mechanical (LM),984.72,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033564,R2023,Mechanical (LM),613.96,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033573,R2024,Electrical (LE),591.35,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033574,R2023,Mechanical (LM),552.25,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033581,R2024,Electrical (LE),1404.13,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033582,R2023,Mechanical (LM),942.00,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033592,R2024,Electrical (LE),523.83,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033606,R2023,Mechanical (LM),530.56,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033607,R2023,Mechanical (LM),1173.02,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033647,R2024,Electrical (LE),1291.02,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033702,R2024,Electrical (LE),675.63,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51033719,R2024,Electrical (LE),850.74,01/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51034567,C1030,"New Construction, Conversion & Renovation",12925.90,01/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048557,C1030,"New Construction, Conversion & Renovation",9243.36,04/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51041864,C1030,"New Construction, Conversion & Renovation",2746.96,04/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048559,R2024,Electrical (LE),2235.76,04/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048560,R2024,Electrical (LE),2128.24,04/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048561,C1030,"New Construction, Conversion & Renovation",8989.92,04/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048562,C1030,"New Construction, Conversion & Renovation",8010.98,04/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048563,C1030,"New Construction, Conversion & Renovation",2294.76,04/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048564,C1030,"New Construction, Conversion & Renovation",10261.58,04/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048565,R2024,Electrical (LE),3687.50,04/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048566,C1030,"New Construction, Conversion & Renovation",13973.32,04/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048567,R4049,White Goods/Domestic Appliances,3017.02,04/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048568,C1030,"New Construction, Conversion & Renovation",14853.99,04/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048569,R2024,Electrical (LE),3474.24,04/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048570,C1030,"New Construction, Conversion & Renovation",8489.42,04/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048558,C1030,"New Construction, Conversion & Renovation",2987.98,04/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51048681,R2024,Electrical (LE),3042.46,05/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51049319,R2023,Mechanical (LM),2221.56,05/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51049324,R2023,Mechanical (LM),661.06,05/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51049321,C1030,"New Construction, Conversion & Renovation",1707.74,05/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51049322,R2016,Asbestos Surveys,1512.19,05/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51049320,R2024,Electrical (LE),2033.45,05/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050033,R2023,Mechanical (LM),2832.36,06/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050032,R2024,Electrical (LE),2063.66,06/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050035,R2023,Mechanical (LM),2136.22,06/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050034,R2023,Mechanical (LM),2477.44,06/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050747,R2024,Electrical (LE),-900.00,07/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050748,R2024,Electrical (LE),-1104.51,07/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050750,R2023,Mechanical (LM),9163.14,07/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050751,R2023,Mechanical (LM),3209.64,07/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050757,R2023,Mechanical (LM),-976.47,07/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51036772,R2023,Mechanical (LM),503.65,07/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050759,R2023,Mechanical (LM),-3535.59,07/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51051350,R2024,Electrical (LE),2974.88,07/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51037044,C1030,"New Construction, Conversion & Renovation",15847.68,07/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038919,R2023,Mechanical (LM),1109.27,07/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51036762,R2024,Electrical (LE),681.64,07/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050758,R2024,Electrical (LE),-1765.34,07/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51051727,R2023,Mechanical (LM),9595.87,08/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51037757,C1030,"New Construction, Conversion & Renovation",3959.26,08/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51037758,C1030,"New Construction, Conversion & Renovation",1762.50,08/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51037760,C1030,"New Construction, Conversion & Renovation",1762.50,08/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51037761,C1030,"New Construction, Conversion & Renovation",1762.50,08/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51036916,R2023,Mechanical (LM),540.56,08/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51039760,R2023,Mechanical (LM),2345.86,08/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51039793,C1030,"New Construction, Conversion & Renovation",27365.22,08/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51036896,R2024,Electrical (LE),630.49,08/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51036898,R2024,Electrical (LE),946.73,08/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038784,C1030,"New Construction, Conversion & Renovation",4931.15,08/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51051763,R2023,Mechanical (LM),5840.60,11/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51049048,C1030,"New Construction, Conversion & Renovation",656.40,12/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038841,R2024,Electrical (LE),616.75,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038842,R2024,Electrical (LE),1218.60,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038846,R2023,Mechanical (LM),563.43,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038855,R2023,Mechanical (LM),566.88,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050038,C1050,External Fees,7479.18,13/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050039,R2023,Mechanical (LM),6752.98,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050040,R2023,Mechanical (LM),5310.40,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51039804,R2024,Electrical (LE),2061.58,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51039805,R2024,Electrical (LE),2661.43,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51039806,R2024,Electrical (LE),2149.97,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51039957,R2023,Mechanical (LM),2063.51,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038864,R2023,Mechanical (LM),604.23,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038882,R2023,Mechanical (LM),883.35,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038888,R2023,Mechanical (LM),567.91,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038895,R2023,Mechanical (LM),1433.38,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038902,R2023,Mechanical (LM),1008.13,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038904,R2023,Mechanical (LM),725.56,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038905,R2023,Mechanical (LM),1001.65,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038909,R2024,Electrical (LE),564.00,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038928,R2023,Mechanical (LM),613.51,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038941,R2023,Mechanical (LM),667.76,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038942,R2023,Mechanical (LM),745.90,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038943,R2024,Electrical (LE),521.11,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038945,R2024,Electrical (LE),581.63,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038951,R2023,Mechanical (LM),922.75,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038956,R2024,Electrical (LE),946.73,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038957,R2024,Electrical (LE),1835.40,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038962,R2023,Mechanical (LM),518.95,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038967,R2023,Mechanical (LM),1321.33,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038972,R2024,Electrical (LE),1958.34,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038976,R2023,Mechanical (LM),569.57,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038977,R2024,Electrical (LE),511.48,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51049049,R2024,Electrical (LE),1591.66,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51049050,R2024,Electrical (LE),1407.87,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038797,R2024,Electrical (LE),619.37,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038801,R2024,Electrical (LE),928.25,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038810,R2024,Electrical (LE),1579.20,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038812,R2023,Mechanical (LM),1265.98,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038832,R2023,Mechanical (LM),982.41,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51038839,R2023,Mechanical (LM),1260.53,13/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51049061,R2024,Electrical (LE),1761.19,14/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51041858,C1030,"New Construction, Conversion & Renovation",13312.13,14/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51041860,C1030,"New Construction, Conversion & Renovation",4277.55,14/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51041862,C1030,"New Construction, Conversion & Renovation",10444.46,14/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51041865,C1030,"New Construction, Conversion & Renovation",9080.06,14/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51041866,C1030,"New Construction, Conversion & Renovation",7666.73,14/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51041867,C1030,"New Construction, Conversion & Renovation",15780.89,14/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51041869,R2023,Mechanical (LM),2801.51,14/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51041885,R2024,Electrical (LE),884.60,14/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51041892,R2024,Electrical (LE),6618.23,14/07/2016,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51041857,C1030,"New Construction, Conversion & Renovation",2247.69,15/07/2016,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,51050429,C1030,"New Construction, Conversion & Renovation",11146.18,15/07/2016,Capital,
