,Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
INSERTED DETAIL,214334,College of Law Services Ltd,50828837,R1601,Training - External,1450.00,12/06/2015,Resources,
INSERTED DETAIL,100266,Collyhurst Nursing Home,50839720,R5806,Residential Care (Adults),3255.92,15/06/2015,People Group,
INSERTED DETAIL,100266,Collyhurst Nursing Home,50839720,R5806,Residential Care (Adults),3093.16,15/06/2015,People Group,
INSERTED DETAIL,100266,Collyhurst Nursing Home,50839720,R5806,Residential Care (Adults),1627.96,15/06/2015,People Group,
INSERTED DETAIL,100266,Collyhurst Nursing Home,50839720,R5806,Residential Care (Adults),4883.88,15/06/2015,People Group,
INSERTED DETAIL,100266,Collyhurst Nursing Home,50839720,R5806,Residential Care (Adults),1698.64,15/06/2015,People Group,
INSERTED DETAIL,100266,Collyhurst Nursing Home,50839720,R5806,Residential Care (Adults),20181.17,15/06/2015,People Group,
INSERTED DETAIL,100266,Collyhurst Nursing Home,50839720,R5806,Residential Care (Adults),1627.96,15/06/2015,People Group,
INSERTED DETAIL,228704,Commercial Property Monthly,50830785,R4302,Advertising Promotional Events & Goods,600.00,05/06/2015,Communities,
INSERTED DETAIL,223682,Communities Academies Trust - Wood End Primary School - Academy,50840774,R4905,Contingency,3560.00,23/06/2015,Schools,
INSERTED DETAIL,209454,Community Information Services Ltd,50838458,R4302,Advertising Promotional Events & Goods,600.00,12/06/2015,Resources,
INSERTED DETAIL,201394,Community Playthings T/A Community Products -,50824976,R4054,Furniture Curriculum,4580.00,11/06/2015,Schools,
,,COMMUNITY TRANSPORT AS,P-Card,,,619.96 ,29/06/2015,,
INSERTED DETAIL,217472,Compass Disability Services (Non-Managed),50826784,R5807,SLA Social Care Provision,3798.00,30/06/2015,People Group,
INSERTED DETAIL,217472,Compass Disability Services (Non-Managed),50842753,R5807,SLA Social Care Provision,3556.80,30/06/2015,People Group,
INSERTED DETAIL,201399,Compass Fostering Central Ltd t/a Compass Fostering,50830354,R5822,Foster Care Payments - External,3096.90,03/06/2015,People Group,
INSERTED DETAIL,201399,Compass Fostering Central Ltd t/a Compass Fostering,50831663,R5822,Foster Care Payments - External,3204.00,04/06/2015,People Group,
INSERTED DETAIL,201399,Compass Fostering Central Ltd t/a Compass Fostering,50831664,R5822,Foster Care Payments - External,3310.80,05/06/2015,People Group,
INSERTED DETAIL,201399,Compass Fostering Central Ltd t/a Compass Fostering,50836260,R5848,Residential Care (Children),18294.34,11/06/2015,People Group,
INSERTED DETAIL,201399,Compass Fostering Central Ltd t/a Compass Fostering,50841623,R5822,Foster Care Payments - External,2841.42,22/06/2015,People Group,
INSERTED DETAIL,201399,Compass Fostering Central Ltd t/a Compass Fostering,50841626,R5822,Foster Care Payments - External,2757.24,22/06/2015,People Group,
INSERTED DETAIL,201399,Compass Fostering Central Ltd t/a Compass Fostering,50841621,R5822,Foster Care Payments - External,3204.00,22/06/2015,People Group,
INSERTED DETAIL,201399,Compass Fostering Central Ltd t/a Compass Fostering,50845438,R5822,Foster Care Payments - External,2999.96,26/06/2015,People Group,
INSERTED DETAIL,201399,Compass Fostering Central Ltd t/a Compass Fostering,50845439,R5822,Foster Care Payments - External,2903.19,26/06/2015,People Group,
INSERTED DETAIL,201399,Compass Fostering Central Ltd t/a Compass Fostering,50845437,R5822,Foster Care Payments - External,2903.19,26/06/2015,People Group,
INSERTED DETAIL,205413,Compass Minerals UK Ltd,50835584,R4051,Winter Maintenance Salt,3326.77,19/06/2015,Communities,
INSERTED DETAIL,200990,Complete Green Solutions Ltd t/a CD Electrical Design & Installation Ltd,50833162,R2001,Buildings Maintenance,972.00,23/06/2015,Communities,
INSERTED DETAIL,100093,Condover College Ltd,50839721,R5806,Residential Care (Adults),18088.44,15/06/2015,People Group,
INSERTED DETAIL,201419,Connevans Ltd,50845354,R4011,Equipment - Disabled Living,590.69,26/06/2015,People Group,
INSERTED DETAIL,226891,Continuity Healthcare Services Ltd,50836441,R5805,Homecare - External Domiciliary (Adults),1590.00,10/06/2015,People Group,
INSERTED DETAIL,226891,Continuity Healthcare Services Ltd,50840289,R5805,Homecare - External Domiciliary (Adults),1470.00,18/06/2015,People Group,
INSERTED DETAIL,226891,Continuity Healthcare Services Ltd,50836442,R5805,Homecare - External Domiciliary (Adults),960.00,26/06/2015,People Group,
,,CONWY COUNTY BOROU,P-Card,,,558.35 ,23/06/2015,,
INSERTED DETAIL,201434,Cooleraid Ltd,50842760,R4048,Water Machines,610.20,19/06/2015,Resources,
INSERTED DETAIL,200595,Co-Operative Childcare (Spencer St),50841939,R6106,Private Providers - Early Years Funding,4857.12,22/06/2015,People Group,
INSERTED DETAIL,228373,Coram Voice,50831398,R4405,Child Protection - Psychological Assessment,569.99,05/06/2015,People Group,
INSERTED DETAIL,214474,Core Assets Children's Services Ltd,50828985,R5604,Commissioned Works,512.00,02/06/2015,People Group,
INSERTED DETAIL,214474,Core Assets Children's Services Ltd,50828950,R5604,Commissioned Works,609.00,02/06/2015,People Group,
INSERTED DETAIL,214474,Core Assets Children's Services Ltd,50831423,R4409,Consultancy,3100.00,03/06/2015,Other Services,
INSERTED DETAIL,214474,Core Assets Children's Services Ltd,50831424,R4409,Consultancy,1162.50,03/06/2015,Other Services,
INSERTED DETAIL,214474,Core Assets Children's Services Ltd,50840313,R5604,Commissioned Works,515.00,26/06/2015,People Group,
INSERTED DETAIL,214474,Core Assets Children's Services Ltd,50840315,R5604,Commissioned Works,500.00,26/06/2015,People Group,
INSERTED DETAIL,215982,Corley (Coventry) School,50821856,R6107,SEN Statements Funding - Non-Maintained Schools,8729.00,10/06/2015,People Group,
INSERTED DETAIL,201451,Coten End Playgroups,50841977,R6106,Private Providers - Early Years Funding,5274.65,22/06/2015,People Group,
,,COTSWOLD BLINDS,P-Card,,,"1,887.00 ",01/07/2015,,
INSERTED DETAIL,228913,Councillor Skills,50838599,R4608,Member's Expenses,1250.00,17/06/2015,Resources,
INSERTED DETAIL,208989,Coundon Court School And Community College,50845921,R6107,SEN Statements Funding - Non-Maintained Schools,1463.00,26/06/2015,People Group,
INSERTED DETAIL,224589,Country Care Children's Homes Ltd,50836382,R5848,Residential Care (Children),15500.00,26/06/2015,People Group,
INSERTED DETAIL,209199,Country Land & Business Association (CLA),50832649,R4702,Subscriptions To Organisations,-1048.37,02/06/2015,Resources,
INSERTED DETAIL,999982,Court Funds Office,50832742,R4928,Casualty Insurance Claims,2500.00,04/06/2015,Other Services,
INSERTED DETAIL,221744,Coventry & Warwickshire Reinvestment Trust Ltd,50840927,R5702,Payments to External Contractors,7500.00,22/06/2015,Communities,
INSERTED DETAIL,201484,Coventry & Warwickshire Sign Language (****3557),50830162,R4418,Interpreting & Sign Language Service,29250.00,18/06/2015,People Group,
INSERTED DETAIL,201485,Coventry & Warwickshire Ymca,50834768,R6104,Social Care - Section 17 Payments,783.00,10/06/2015,People Group,
INSERTED DETAIL,201487,Coventry and Warwickshire Partnership NHS Trust,50831494,R5807,SLA Social Care Provision,1546.22,01/06/2015,People Group,
INSERTED DETAIL,201487,Coventry and Warwickshire Partnership NHS Trust,50831495,R5807,SLA Social Care Provision,2014.13,03/06/2015,People Group,
INSERTED DETAIL,201487,Coventry and Warwickshire Partnership NHS Trust,50829078,R5807,SLA Social Care Provision,5574.50,03/06/2015,People Group,
INSERTED DETAIL,201487,Coventry and Warwickshire Partnership NHS Trust,50831467,R5807,SLA Social Care Provision,4078.38,03/06/2015,People Group,
INSERTED DETAIL,201487,Coventry and Warwickshire Partnership NHS Trust,50830748,R5807,SLA Social Care Provision,41235.00,12/06/2015,People Group,
INSERTED DETAIL,201487,Coventry and Warwickshire Partnership NHS Trust,50830749,R5807,SLA Social Care Provision,5574.50,12/06/2015,People Group,
INSERTED DETAIL,201487,Coventry and Warwickshire Partnership NHS Trust,50842945,R5702,Payments to External Contractors,16927.89,25/06/2015,Communities,
INSERTED DETAIL,201488,Coventry Building Workshop Ltd,50837896,R5604,Commissioned Works,775.00,11/06/2015,People Group,
INSERTED DETAIL,201488,Coventry Building Workshop Ltd,50837898,R5604,Commissioned Works,852.50,11/06/2015,People Group,
INSERTED DETAIL,201488,Coventry Building Workshop Ltd,50840271,R5604,Commissioned Works,852.50,16/06/2015,People Group,
INSERTED DETAIL,201494,Coventry City Council,50831697,R4427,Music Instruction,900.00,02/06/2015,People Group,
INSERTED DETAIL,201494,Coventry City Council,50834579,R4919,Special Facilities Reimbursements,876.00,05/06/2015,Communities,
INSERTED DETAIL,201494,Coventry City Council,50836983,R1101,Agency Staff Pay,560.00,10/06/2015,People Group,
INSERTED DETAIL,201494,Coventry City Council,50837453,R4702,Subscriptions To Organisations,1000.00,11/06/2015,Communities,
INSERTED DETAIL,201494,Coventry City Council,50837609,R5702,Payments to External Contractors,3000.00,12/06/2015,Communities,
INSERTED DETAIL,201494,Coventry City Council,50837610,R5702,Payments to External Contractors,3000.00,16/06/2015,Communities,
INSERTED DETAIL,201498,Coventry Diocesan Board of Education,50831201,R1701,Staff Advertising,3000.00,04/06/2015,Schools,
INSERTED DETAIL,201498,Coventry Diocesan Board of Education,50836649,R4442,Professional Fees Curriculum,600.00,17/06/2015,Schools,
INSERTED DETAIL,201498,Coventry Diocesan Board of Education,50840909,R4443,Professional Fees Admin,850.00,17/06/2015,Schools,
INSERTED DETAIL,201498,Coventry Diocesan Board of Education,50831206,R1701,Staff Advertising,-500.00,17/06/2015,Schools,
INSERTED DETAIL,201498,Coventry Diocesan Board of Education,50842194,R4442,Professional Fees Curriculum,650.00,18/06/2015,Schools,
INSERTED DETAIL,201498,Coventry Diocesan Board of Education,50836121,R1690,Internal Expenditure - Training,600.00,18/06/2015,Schools,
INSERTED DETAIL,201498,Coventry Diocesan Board of Education,50841704,R4442,Professional Fees Curriculum,500.00,18/06/2015,Schools,
INSERTED DETAIL,201498,Coventry Diocesan Board of Education,50829020,C1030,"New Construction, Conversion & Renovation",10637.09,19/06/2015,Capital,
INSERTED DETAIL,201498,Coventry Diocesan Board of Education,50842788,R1690,Internal Expenditure - Training,1050.00,25/06/2015,Schools,
INSERTED DETAIL,201498,Coventry Diocesan Board of Education,50846015,R4442,Professional Fees Curriculum,850.00,26/06/2015,Schools,
INSERTED DETAIL,999982,Coventry Recovery Community,50836007,R5702,Payments to External Contractors,1000.00,09/06/2015,Communities,
INSERTED DETAIL,201512,Coventry University Enterprises Ltd,50838820,R2204,Room Hire - External,1189.00,12/06/2015,People Group,
INSERTED DETAIL,201512,Coventry University Enterprises Ltd,50841769,R5702,Payments to External Contractors,26801.10,22/06/2015,Communities,
INSERTED DETAIL,100268,Cow Lees Nursing Home,50839723,R5806,Residential Care (Adults),1813.68,15/06/2015,People Group,
INSERTED DETAIL,100268,Cow Lees Nursing Home,50839723,R5806,Residential Care (Adults),8641.14,15/06/2015,People Group,
INSERTED DETAIL,100268,Cow Lees Nursing Home,50839723,R5806,Residential Care (Adults),2565.20,15/06/2015,People Group,
INSERTED DETAIL,100089,Craegmoor Ltd - Part Of Priory Group (Charnwood Lodge),50839710,R5806,Residential Care (Adults),5728.72,15/06/2015,People Group,
INSERTED DETAIL,100089,Craegmoor Ltd - Part Of Priory Group (Charnwood Lodge),50838846,R5810,Adult Day Care,3526.00,17/06/2015,People Group,
INSERTED DETAIL,100269,Craighaven Ltd,50839724,R5806,Residential Care (Adults),1885.76,15/06/2015,People Group,
INSERTED DETAIL,100269,Craighaven Ltd,50839724,R5806,Residential Care (Adults),28631.80,15/06/2015,People Group,
INSERTED DETAIL,202925,Cramer Music Ltd,50844615,R4058,Books,1170.13,24/06/2015,Resources,
INSERTED DETAIL,223291,Creative Support Ltd,50832998,R5843,Extra Care,978.16,03/06/2015,People Group,
INSERTED DETAIL,223291,Creative Support Ltd,50833008,R5843,Extra Care,1379.16,03/06/2015,People Group,
INSERTED DETAIL,223291,Creative Support Ltd,50832997,R5843,Extra Care,1685.64,03/06/2015,People Group,
INSERTED DETAIL,223291,Creative Support Ltd,50833046,R5843,Extra Care,1889.96,03/06/2015,People Group,
INSERTED DETAIL,223291,Creative Support Ltd,50837157,R5843,Extra Care,1889.96,11/06/2015,People Group,
INSERTED DETAIL,223291,Creative Support Ltd,50838022,R5805,Homecare - External Domiciliary (Adults),919.44,11/06/2015,People Group,
INSERTED DETAIL,223291,Creative Support Ltd,50837440,R5843,Extra Care,1379.16,11/06/2015,People Group,
INSERTED DETAIL,223291,Creative Support Ltd,50837439,R5843,Extra Care,1264.23,11/06/2015,People Group,
INSERTED DETAIL,223291,Creative Support Ltd,50837438,R5843,Extra Care,978.16,11/06/2015,People Group,
INSERTED DETAIL,223291,Creative Support Ltd,50840710,R5843,Extra Care,5866.80,17/06/2015,People Group,
INSERTED DETAIL,220812,Credence Care Holly House,50840676,R5851,Supported Living,5018.68,17/06/2015,People Group,
INSERTED DETAIL,201532,Crescent School,50841978,R6106,Private Providers - Early Years Funding,2721.54,22/06/2015,People Group,
INSERTED DETAIL,201541,Croft School Ltd,50842703,R6107,SEN Statements Funding - Non-Maintained Schools,2786.00,19/06/2015,People Group,
INSERTED DETAIL,201541,Croft School Ltd,50841979,R6106,Private Providers - Early Years Funding,10117.02,22/06/2015,People Group,
INSERTED DETAIL,100065,Crosscrown Limited,50839719,R5806,Residential Care (Adults),9967.08,15/06/2015,People Group,
INSERTED DETAIL,100065,Crosscrown Limited,50839719,R5806,Residential Care (Adults),11260.87,15/06/2015,People Group,
INSERTED DETAIL,100065,Crosscrown Limited,50839719,R5806,Residential Care (Adults),7019.61,15/06/2015,People Group,
INSERTED DETAIL,100065,Crosscrown Limited,50839719,R5806,Residential Care (Adults),4084.60,15/06/2015,People Group,
INSERTED DETAIL,100065,Crosscrown Limited,50839719,R5806,Residential Care (Adults),1848.20,15/06/2015,People Group,
INSERTED DETAIL,100065,Crosscrown Limited,50839719,R5806,Residential Care (Adults),5794.17,15/06/2015,People Group,
INSERTED DETAIL,100065,Crosscrown Limited,50839719,R5806,Residential Care (Adults),1848.20,15/06/2015,People Group,
INSERTED DETAIL,217194,Crosscrown Ltd (Woodville House),50839981,R5806,Residential Care (Adults),4930.44,15/06/2015,People Group,
INSERTED DETAIL,217194,Crosscrown Ltd (Woodville House),50839981,R5806,Residential Care (Adults),5694.32,15/06/2015,People Group,
INSERTED DETAIL,217194,Crosscrown Ltd (Woodville House),50839981,R5806,Residential Care (Adults),-4636.96,15/06/2015,People Group,
INSERTED DETAIL,100125,Crosscrown Ltd T/A The Chimneys,50839931,R5806,Residential Care (Adults),1859.04,15/06/2015,People Group,
INSERTED DETAIL,100125,Crosscrown Ltd T/A The Chimneys,50839931,R5806,Residential Care (Adults),2378.40,15/06/2015,People Group,
INSERTED DETAIL,100125,Crosscrown Ltd T/A The Chimneys,50839931,R5806,Residential Care (Adults),11130.88,15/06/2015,People Group,
INSERTED DETAIL,100125,Crosscrown Ltd T/A The Chimneys,50839931,R5806,Residential Care (Adults),1859.04,15/06/2015,People Group,
INSERTED DETAIL,100125,Crosscrown Ltd T/A The Chimneys,50839931,R5806,Residential Care (Adults),1635.72,15/06/2015,People Group,
INSERTED DETAIL,100125,Crosscrown Ltd T/A The Chimneys,50839931,R5806,Residential Care (Adults),2492.52,15/06/2015,People Group,
INSERTED DETAIL,100338,Crosscrown Ltd T/A The Elms Residential Care Home,50839933,R5806,Residential Care (Adults),6932.79,15/06/2015,People Group,
INSERTED DETAIL,100338,Crosscrown Ltd T/A The Elms Residential Care Home,50839933,R5806,Residential Care (Adults),1643.48,15/06/2015,People Group,
INSERTED DETAIL,100338,Crosscrown Ltd T/A The Elms Residential Care Home,50839933,R5806,Residential Care (Adults),3361.28,15/06/2015,People Group,
INSERTED DETAIL,100441,Crosscrown Ltd T/As Granville House,50839763,R5806,Residential Care (Adults),4860.72,15/06/2015,People Group,
INSERTED DETAIL,100441,Crosscrown Ltd T/As Granville House,50839763,R5806,Residential Care (Adults),11602.96,15/06/2015,People Group,
INSERTED DETAIL,207694,Crossroads Care Coventry & Warwickshire,50842330,R5805,Homecare - External Domiciliary (Adults),924.60,18/06/2015,People Group,
INSERTED DETAIL,207694,Crossroads Care Coventry & Warwickshire,50842308,R5805,Homecare - External Domiciliary (Adults),1000.50,18/06/2015,People Group,
INSERTED DETAIL,207694,Crossroads Care Coventry & Warwickshire,50842329,R5805,Homecare - External Domiciliary (Adults),993.60,18/06/2015,People Group,
INSERTED DETAIL,207694,Crossroads Care Coventry & Warwickshire,50842276,R5805,Homecare - External Domiciliary (Adults),1021.20,18/06/2015,People Group,
INSERTED DETAIL,215440,CSV,50825566,R5805,Homecare - External Domiciliary (Adults),4032.00,17/06/2015,People Group,
INSERTED DETAIL,215440,CSV,50825565,R5805,Homecare - External Domiciliary (Adults),4032.00,17/06/2015,People Group,
INSERTED DETAIL,201563,Cunningham Cash Registers Ltd,50836817,R4503,Hardware,3458.25,11/06/2015,Resources,
INSERTED DETAIL,201566,Curdworth Pre-School,50841980,R6106,Private Providers - Early Years Funding,2911.19,22/06/2015,People Group,
INSERTED DETAIL,201568,Currall Lewis & Martin - Construction  Ltd,50840550,R5706,Payments to Third Parties - Recoverable Operating Expenditure,48383.03,16/06/2015,Communities,
INSERTED DETAIL,201576,Cygnets Education & Childcare,50841981,R6106,Private Providers - Early Years Funding,7187.51,22/06/2015,People Group,
INSERTED DETAIL,228595,D J Green (UK) Ltd t/a 3 Counties Drain Services,50826604,R5702,Payments to External Contractors,770.00,10/06/2015,Communities,
INSERTED DETAIL,228595,D J Green (UK) Ltd t/a 3 Counties Drain Services,50826600,R5702,Payments to External Contractors,770.00,10/06/2015,Communities,
INSERTED DETAIL,228595,D J Green (UK) Ltd t/a 3 Counties Drain Services,50837539,R5702,Payments to External Contractors,4400.00,26/06/2015,Communities,
INSERTED DETAIL,100243,D R & B Sutton Ltd T/A Adelaide House,50839653,R5806,Residential Care (Adults),3076.00,15/06/2015,People Group,
INSERTED DETAIL,100243,D R & B Sutton Ltd T/A Adelaide House,50839653,R5806,Residential Care (Adults),1850.16,15/06/2015,People Group,
INSERTED DETAIL,100243,D R & B Sutton Ltd T/A Adelaide House,50839653,R5806,Residential Care (Adults),2745.67,15/06/2015,People Group,
INSERTED DETAIL,100243,D R & B Sutton Ltd T/A Adelaide House,50839653,R5806,Residential Care (Adults),1635.72,15/06/2015,People Group,
INSERTED DETAIL,100243,D R & B Sutton Ltd T/A Adelaide House,50839653,R5806,Residential Care (Adults),2840.00,15/06/2015,People Group,
INSERTED DETAIL,201646,Daisykins Ltd,50841982,R6106,Private Providers - Early Years Funding,28015.70,22/06/2015,People Group,
INSERTED DETAIL,201671,Davian Environmental Engineers Ltd,50836938,R2754,Waste Management,5564.00,12/06/2015,Communities,
INSERTED DETAIL,227060,David Gell Consultancy,50829525,R1601,Training - External,600.00,19/06/2015,People Group,
INSERTED DETAIL,201690,David Robotham Ltd T/A Robothams Architects,50835773,R4443,Professional Fees Admin,1500.00,09/06/2015,Resources,
INSERTED DETAIL,100272,Deaf-Initely Independent,50839715,R5806,Residential Care (Adults),4152.52,15/06/2015,People Group,
INSERTED DETAIL,100272,Deaf-Initely Independent,50839728,R5806,Residential Care (Adults),6845.12,15/06/2015,People Group,
INSERTED DETAIL,100272,Deaf-Initely Independent,50839727,R5806,Residential Care (Adults),3442.04,15/06/2015,People Group,
INSERTED DETAIL,100272,Deaf-Initely Independent,50839727,R5806,Residential Care (Adults),4163.32,15/06/2015,People Group,
INSERTED DETAIL,201735,Department For Communities and Local Government,50836240,R4029,Licences (Incl Tv),12903.79,10/06/2015,Fire and Rescue,
INSERTED DETAIL,219451,Department for Work and Pensions-Compensation Recovery Unit,50837107,R4928,Casualty Insurance Claims,800.00,12/06/2015,Other Services,
INSERTED DETAIL,208984,Derbyshire County Council,50834900,R1401,Professional Subscriptions,1000.00,08/06/2015,Resources,
INSERTED DETAIL,201742,Derwen College,50839729,R5806,Residential Care (Adults),1536.92,15/06/2015,People Group,
INSERTED DETAIL,228054,Destek Accessible Technology Solutions Ltd,50827276,R4409,Consultancy,3500.00,05/06/2015,Resources,
INSERTED DETAIL,220586,Diamond Bus Company Limited,50843550,R5204,Concessionary Fares,926.17,19/06/2015,Communities,
INSERTED DETAIL,220586,Diamond Bus Company Limited,50842636,R5204,Concessionary Fares,2321.08,19/06/2015,Communities,
INSERTED DETAIL,225753,Diginew Ltd t/a Amber Lodge Nursing Home,50839663,R5806,Residential Care (Adults),1743.64,15/06/2015,People Group,
INSERTED DETAIL,201761,Dimensions UK Ltd (****0502),50838542,R5805,Homecare - External Domiciliary (Adults),947.70,26/06/2015,People Group,
INSERTED DETAIL,201764,Diocesan Education Service,50828555,R8303,Capital Expenditure From Revenue,1550.00,03/06/2015,Schools,
INSERTED DETAIL,201764,Diocesan Education Service,50828572,R8303,Capital Expenditure From Revenue,1100.00,03/06/2015,Schools,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,50834223,R5805,Homecare - External Domiciliary (Adults),1457.50,04/06/2015,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,50778772,R5805,Homecare - External Domiciliary (Adults),-1050.00,04/06/2015,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,50797870,R5805,Homecare - External Domiciliary (Adults),689.01,04/06/2015,People Group,
INSERTED DETAIL,227077,Direct Support 4 U Ltd,50837465,R5805,Homecare - External Domiciliary (Adults),1182.57,11/06/2015,People Group,
INSERTED DETAIL,201771,Disaster Recovery Services Ltd,50836446,R4310,Printing,851.04,10/06/2015,Resources,
INSERTED DETAIL,201771,Disaster Recovery Services Ltd,50835799,R4310,Printing,1411.76,30/06/2015,Resources,
INSERTED DETAIL,225661,Diva Care Ltd,50839793,R5806,Residential Care (Adults),1798.80,15/06/2015,People Group,
INSERTED DETAIL,215382,Diva Creative Ltd,50843588,R5702,Payments to External Contractors,2100.00,24/06/2015,Communities,
INSERTED DETAIL,215382,Diva Creative Ltd,50843599,R4612,Projects,1005.00,25/06/2015,Communities,
INSERTED DETAIL,215382,Diva Creative Ltd,50843598,R5702,Payments to External Contractors,2300.00,30/06/2015,Communities,
INSERTED DETAIL,221931,DM Kineton Support Unit,50829074,R4612,Projects,25130.16,09/06/2015,Communities,
INSERTED DETAIL,216855,DNA Worldwide,50830998,R4443,Professional Fees Admin,922.00,05/06/2015,Resources,
INSERTED DETAIL,216855,DNA Worldwide,50842906,R4426,Medical Fees - Clients,705.60,19/06/2015,People Group,
INSERTED DETAIL,216855,DNA Worldwide,50843709,R4443,Professional Fees Admin,848.00,22/06/2015,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831604,C1030,"New Construction, Conversion & Renovation",10591.20,12/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50841754,C1030,"New Construction, Conversion & Renovation",7210.01,19/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50841031,C1030,"New Construction, Conversion & Renovation",29699.84,19/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50842506,R2023,Mechanical (LM),4479.01,23/06/2015,Resources,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50844177,C1030,"New Construction, Conversion & Renovation",16570.42,24/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50844131,C1030,"New Construction, Conversion & Renovation",57012.22,24/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831603,C1030,"New Construction, Conversion & Renovation",12763.57,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831602,C1030,"New Construction, Conversion & Renovation",19027.16,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831601,C1030,"New Construction, Conversion & Renovation",25550.78,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831600,C1030,"New Construction, Conversion & Renovation",32138.84,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831599,C1030,"New Construction, Conversion & Renovation",32736.10,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831598,C1030,"New Construction, Conversion & Renovation",13725.75,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831596,C1030,"New Construction, Conversion & Renovation",38633.68,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831607,C1030,"New Construction, Conversion & Renovation",42403.14,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831605,C1030,"New Construction, Conversion & Renovation",10591.20,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831606,C1030,"New Construction, Conversion & Renovation",1137.78,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50834192,C1030,"New Construction, Conversion & Renovation",9863.62,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831608,C1030,"New Construction, Conversion & Renovation",43162.21,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831609,C1030,"New Construction, Conversion & Renovation",52374.07,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831610,C1030,"New Construction, Conversion & Renovation",2345.83,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831611,C1030,"New Construction, Conversion & Renovation",9277.89,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831612,C1030,"New Construction, Conversion & Renovation",40306.33,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831613,C1030,"New Construction, Conversion & Renovation",17979.34,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831614,C1030,"New Construction, Conversion & Renovation",15082.06,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50831615,C1030,"New Construction, Conversion & Renovation",5759.80,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50834184,C1030,"New Construction, Conversion & Renovation",7170.10,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50834185,C1030,"New Construction, Conversion & Renovation",6800.44,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50834186,C1030,"New Construction, Conversion & Renovation",6950.38,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50834187,C1030,"New Construction, Conversion & Renovation",53435.08,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50834188,C1030,"New Construction, Conversion & Renovation",99006.31,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50834189,C1030,"New Construction, Conversion & Renovation",18126.54,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50834190,C1030,"New Construction, Conversion & Renovation",9066.16,26/06/2015,Capital,
INSERTED DETAIL,221329,Dodd Group (Midlands) Ltd,50834191,C1030,"New Construction, Conversion & Renovation",7957.23,26/06/2015,Capital,
,,DONT PANIC PROJECT VT,P-Card,,,"1,260.00 ",15/06/2015,,
INSERTED DETAIL,201835,Drain Jet Surveys,50838927,R4409,Consultancy,3400.00,19/06/2015,Communities,
INSERTED DETAIL,201841,Drive Vauxhall,50834933,R4030,Materials,600.78,08/06/2015,Communities,
INSERTED DETAIL,228719,DS Williams Painters & Decorators Ltd,50834829,R2001,Buildings Maintenance,1750.00,05/06/2015,Schools,
INSERTED DETAIL,226053,DTZ,50835175,R2201,Rent,43125.00,19/06/2015,Resources,
