Date the grant was awarded,Time period for which the grant has been given,Local authority department which awarded the grant,Beneficiary,Beneficiary registration number,Summary of the purpose of the grant,Amount
08/07/2015,One-off,Communities Group,The Dare2Dream Foundation,225413,Skills for employment grant,"20,703.00"
03/12/2015,One-off,Communities Group,The Dare2Dream Foundation,225413,Skills for employment grant,"13,802.00"
03/12/2015,One-off,Communities Group,The Dare2Dream Foundation,225413,Skills for employment grant,"12,580.00"
08/07/2015,One-off,Communities Group,WMG Academy for Young Engineers,225686,Skills for employment grant,"24,000.00"
03/12/2015,One-off,Communities Group,WMG Academy for Young Engineers,225686,Skills for employment grant,"16,000.00"
01/02/2016,One-off,Communities Group,The Queen Elizabeth School - Academy,226251,Skills for employment grant,"2,350.00"
13/10/2015,One-off,Communities Group,Lawrence Sheriff School Academy Trust,226252,Skills for employment grant,"2,990.00"
13/10/2015,One-off,Communities Group,St Thomas More Catholic School - Academy,227982,Skills for employment grant,"2,940.00"
13/10/2015,One-off,Communities Group,Kingsbury School - A Specialist Science & Maths Academy,227994,Skills for employment grant,"3,000.00"
07/07/2015,One-off,Communities Group,In2Ambition,N/A,Skills for employment grant,"40,000.00"
07/07/2015,One-off,Communities Group,The Smallpiece Trust,N/A,Skills for employment grant,"40,000.00"
08/07/2015,One-off,Communities Group,In2Ambition,N/A,Skills for employment grant,"24,000.00"
08/07/2015,One-off,Communities Group,The Smallpiece Trust,N/A,Skills for employment grant,"24,000.00"
08/07/2015,One-off,Communities Group,Totem Learning Ltd,N/A,Skills for employment grant,"18,869.00"
13/10/2015,One-off,Communities Group,The Midlands Acadamies Trust,N/A,Skills for employment grant,"6,000.00"
11/11/2015,One-off,Communities Group,Stratforward Business Improvement District Limited,209579,Regeneration grant,"20,000.00"
31/03/2015,One-off,Communities Group,BID Leamington Ltd,228167,Regeneration grant,"5,000.00"
08/03/2016,One-off,Communities Group,Rugby First Ltd (Business Improvement Division),221025,Regeneration grant,"4,000.00"
09/04/2015,One-off,Communities Group,Cotswolds Conservation Board,201456,Regeneration grant,"6,622.00"
25/11/2015,One-off,Communities Group,The Women's Tour,230128,Regeneration grant,"125,000.00"
17/12/2015,One-off,Communities Group,Novacrylics Engineering,219417,Rural Growth Network grant,"8,800.00"
14/04/2015,One-off,Communities Group,Lontra Ltd,223586,Rural Growth Network grant,"12,459.86"
13/05/2015,One-off,Communities Group,Lontra Ltd,223586,Rural Growth Network grant,"2,115.34"
14/04/2015,One-off,Communities Group,The Cotswold Distilling Company Ltd,227777,Rural Growth Network grant,"12,243.33"
21/07/2015,One-off,Communities Group,Fowlers Forest Dairies Ltd,227805,Rural Growth Network grant,"6,658.90"
21/08/2015,One-off,Communities Group,Food Discovery Box,227806,Rural Growth Network grant,"4,080.00"
17/06/2015,One-off,Communities Group,Aviation Engineering Support Ltd,228022,Rural Growth Network grant,"5,696.43"
13/04/2015,One-off,Communities Group,Aviation Engineering Support Ltd,228022,Rural Growth Network grant,"5,098.21"
06/05/2015,One-off,Communities Group,Aviation Engineering Support Ltd,228022,Rural Growth Network grant,"3,294.64"
12/08/2015,One-off,Communities Group,Jellyhaus Ltd,228057,Rural Growth Network grant,"4,498.92"
09/06/2015,One-off,Communities Group,Art Fever Ltd,228759,Rural Growth Network grant,"5,198.00"
14/07/2015,One-off,Communities Group,Clarke Oil Ltd,229109,Rural Growth Network grant,"6,780.00"
24/09/2015,One-off,Communities Group,Clarke Oil Ltd,229109,Rural Growth Network grant,"3,450.40"
01/09/2015,One-off,Communities Group,Piltec Rubber & Plastics Ltd,229358,Rural Growth Network grant,"25,000.00"
13/01/2016,One-off,Communities Group,Inside Organics Ltd,228028,Rural Growth Network grant,"18,813.43"
18/08/2015,6 months,People Group,Warwickshire Community and Voluntary Action,207704,Support grant,"23,000.00"
27/10/2016,3 months,People Group,Warwickshire Community and Voluntary Action,207704,Support grant,"11,500.00"
18/02/2016,3 months,People Group,Warwickshire Community and Voluntary Action,207704,Support grant,"11,500.00"
11/08/2015,12 months,Communities Group,Hybrid Arts,202742,Arts grant,"3,000.00"
17/11/2015,One-off,Communities Group,Escape Community Art In Action,202075,Tourism grant,"5,000.00"
14/03/2016,One-off,Communities Group,Escape Community Art In Action,202075,Tourism grant,"3,750.00"
17/11/2015,One-off,Communities Group,Live and Local,203641,Tourism grant,"5,000.00"
14/03/2016,One-off,Communities Group,Live and Local,203641,Tourism grant,"5,000.00"
17/11/2015,One-off,Communities Group,Playbox Theatre Ltd,204880,Tourism grant,"5,000.00"
14/03/2016,One-off,Communities Group,Playbox Theatre Ltd,204880,Tourism grant,"4,750.00"
14/03/2016,One-off,Communities Group,The Shakespeare Birthplace Trust,206198,Tourism grant,"9,240.00"
17/11/2015,One-off,Communities Group,Warwick Town Council,206602,Tourism grant,"5,000.00"
14/03/2016,One-off,Communities Group,Warwick Town Council,206602,Tourism grant,"5,000.00"
14/03/2016,One-off,Communities Group,The George Eliot Fellowship,208855,Tourism grant,"8,250.00"
17/11/2015,One-off,Communities Group,Shipston On Stour Town Council,208987,Tourism grant,"2,704.00"
17/11/2015,One-off,Communities Group,Northern Warwickshire Tourism Association,209299,Tourism grant,"5,000.00"
17/11/2015,One-off,Communities Group,Warwick Folk Festival Ltd,209669,Tourism grant,"5,000.00"
14/03/2016,One-off,Communities Group,Warwick Folk Festival Ltd,209669,Tourism grant,"5,000.00"
17/11/2015,One-off,Communities Group,Warwickshire Open Studios,211042,Tourism grant,"5,000.00"
14/03/2016,One-off,Communities Group,Warwickshire Open Studios,211042,Tourism grant,"5,000.00"
17/11/2015,One-off,Communities Group,Compton Verney House Trust,213296,Tourism grant,"6,700.00"
29/01/2016,One-off,Communities Group,Shakespeare's England,224198,Support Grant,"25,000.00"
15/03/2016,One-off,Communities Group,Warwickshire Police,228634,Tourism grant,"2,185.00"
15/03/2016,One-off,Communities Group,"The Collegiate Church of St Mary, Warwick",N/A,Tourism grant,"10,589.00"
15/03/2016,One-off,Communities Group,Art in the Park,N/A,Tourism grant,"10,000.00"
17/11/2015,One-off,Communities Group,Sudden Impulse Theatre Company,N/A,Tourism grant,"5,000.00"
15/03/2016,One-off,Communities Group,Friends of the Square,N/A,Tourism grant,"4,944.00"
14/03/2016,One-off,Communities Group,Sudden Impulse Theatre Company,N/A,Tourism grant,"4,750.00"
17/11/2015,One-off,Communities Group,Kineton Sports and Social Club Music Festival,N/A,Tourism grant,"2,500.00"
