organisation_name,org_uri_code,effective_date,unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number,street_name,postal_town,uk_postcode,coordinate_reference_system,easting,northing,geopoint_licensing_uri,tenure_type,tenure_detail,other_tenure,holding_type,size_of_building,size_of_land,effective_service_delivery_government_services_function_label,effective_service_delivery_government_services_function_code,purpose,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating,title_number,inspire_url
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10010504158","3021","Blue Boar Farm","","Lawford Heath Lane","Thurlaston","CV23 9LH","OSGB36",444950,272598,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",2198.25,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",33010.14,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071503458","3022","Blue Boar Farm","","London Road","Dunchurch","CV23 9LH","OSGB36",445225,272095,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",1443.84,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",73539.26,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10010517089","3023","Blue Boar Farm (Holding S13/1)","Blue Boar Farm Holding S13-1","Straight Mile","Bourton-On-Dunsmore","CV23 9JR","OSGB36",444917,271865,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land only",0.00,1.6564,"Environmental protection",30,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071502234","3024","Dunkleys Farm","","Cawston Lane","Dunchurch","CV22 7RX","OSGB36",448248,272407,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",4807.94,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",124372.31,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071501549","3025","Cherry Tree Farm","","Northampton Lane","Dunchurch","CV22 6QJ","OSGB36",448346,272003,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",2262.37,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",27946.27,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071238142","3027","Homestead Farm","","Coventry Road","Dunchurch","CV22 6RB","OSGB36",448069,271588,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land only",0.00,1.1408,"Environmental protection",30,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071238143","3028","Homestead Farm Cottage","","Coventry Road","Dunchurch","CV22 6RB","OSGB36",448133,271650,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",228.73,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",11905.12,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10010517090","3029","Homestead Farm","","Coventry Road","Dunchurch","CV22 6RE","OSGB36",448035,271471,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land only",0.00,1.0309,"Environmental protection",30,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071502007","3032","Dunchurch Boughton C. of E. (V.A.) Junior School","","Dew Close","Dunchurch","CV22 6NE","OSGB36",448120,271273,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1379.28,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",533724.34,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071502027","3033","Dunchurch Infant School (Foundation)","","School Street","Dunchurch","CV22 6PA","OSGB36",448195,271251,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",1131.53,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",159783.64,"Not Currently Available","F","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071502020","3035","Dunchurch Community Managed Library","","The Green","Dunchurch","CV22 6PA","OSGB36",448377,271232,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",143.50,0.0000,"Leisure and culture",72,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071502019","3037","Dunchurch Highways Sub-Depot","Withheld","Withheld","Withheld","CV22","OSGB36",0,0,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Vacant","n/a","Land with a permanent building",2124.67,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",948661.50,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071237955","3039","Hospital Farm","","Churchover Lane","Harborough Magna","CV23 0HH","OSGB36",449069,279909,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",1511.94,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",86725.75,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071237956","3040","Hospital Farm Cottage","","Churchover Lane","Harborough Magna","CV23 0HH","OSGB36",449080,279911,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",109.93,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",319.98,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071503284","3042","Leamington Hastings CE Infant School (Academy)","","Birdingbury Road","Hill","CV23 8EA","OSGB36",445260,267070,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",451.48,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",68804.98,"Not Currently Available","F","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399622","3044","Long Lawford Primary School","","Holbrook Road","Long Lawford","CV23 9AL","OSGB36",447560,276090,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",3244.52,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",639475.92,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071502365","3047","The Revel C.E. (Aided) Primary School","","Brockhurst Lane","Monks Kirby","CV23 0RA","OSGB36",446750,283050,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1771.05,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",676844.00,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10010517091","3049","Former Willey Landfill & Treatment Plant","","Lutterworth Road","Monks Kirby","CV23 0QW","OSGB36",449950,282650,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land only",0.00,1.8710,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399702","3051","The Avon Valley School & Performing Arts College","","Newbold Road","Rugby","CV21 1EH","OSGB36",449490,276550,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",11486.89,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",920129.65,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399704","3052","The Riverside Academy","","Newbold Road","Rugby","CV21 1EH","OSGB36",449340,276730,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2028.52,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",452090.76,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071503681","3057","Our Lady's Catholic Primary School","","Leamington Road","Princethorpe","CV23 9PU","OSGB36",440010,270910,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",703.06,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",153702.24,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10010517095","3067","Land At Balcombe Road","","Balcombe Road","Hillmorton, Rugby","n/a","OSGB36",451983,273704,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land only",0.00,0.0482,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10010511877","3068","Eastlands Primary School","","Lansdowne Place","Rugby","CV21 3RY","OSGB36",451890,274810,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Both Freehold & Leasehold","Occupied by the Local Authority","n/a","Land with a permanent building",1495.35,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",378227.66,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399774","3070","Boughton Leigh Junior School","","Wetherell Way","Brownsover, Rugby","CV21 1LT","OSGB36",451450,277170,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2421.38,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",642477.65,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399773","3071","Boughton Leigh Infant School","","Hollowell Way","Rugby","CV21 1LT","OSGB36",451530,277180,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2098.09,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",528924.21,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10010504317","3073","Brooke School (Academy)","","Overslade Lane","Rugby","CV22 6DY","OSGB36",449480,273900,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",4182.08,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",845873.90,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399721","3074","Harris School  (Academy)","","Harris Drive","Rugby","CV22 6EA","OSGB36",449750,274100,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",10178.94,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1083523.78,"Not Currently Available","B, D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10010512526","3075","Former Rokeby Infant School","","Anderson Avenue","Rugby","CV22 5PE","OSGB36",450250,273800,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2212.06,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1076892.83,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399485","3076","Rokeby Primary School","","Anderson Avenue","Rugby","CV22 5PE","OSGB36",450270,273730,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1844.69,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",308436.53,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10010516036","3077","Public Open Space Land","","Long Furlong","Rugby","CV22 5QT","OSGB36",450181,273456,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land only",0.00,1.9325,"Education and learning",23,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399772","3078","St Matthew's Bloxam C.E. Primary School","","Webb Ellis Road","Bilton, Rugby","CV22 7AU","OSGB36",449510,274870,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",3036.13,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1001659.15,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071502338","3079","Henry Hinde Infant School (Academy)","","Grenville Close","Bilton, Rugby","CV22 7JQ","OSGB36",448130,274320,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1563.89,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",172749.75,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071502316","3082","Rugby High School (Academy)","","Longrood Road","Bilton, Rugby","CV22 7RE","OSGB36",448730,272970,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",7677.32,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1034127.05,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071502025","3083","Bilton CE Junior School","","Plantagenet Drive","Bilton, Rugby","CV22 6LB","OSGB36",448980,272920,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2045.55,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",610807.76,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071502029","3085","Oakfield Primary School (Academy)","","Oakfield Road","Rugby","CV22 6AU","OSGB36",449770,274640,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2981.99,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",544063.54,"Not Currently Available","C, D, E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071502342","3086","St Marie's Primary School (Former Junior)","","Merttens Drive","Rugby","CV22 7AF","OSGB36",449940,274560,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1376.37,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",489846.37,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071501478","3089","Ashlawn School (Academy)","","Ashlawn Road","Rugby","CV22 5ET","OSGB36",452410,273490,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",14659.90,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1902135.27,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399641","3090","Bilton School A Maths & Computing Coll. (Academy)","","Lawford Lane","Rugby","CV22 7JT","OSGB36",447970,274050,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",11577.16,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",2404741.96,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399770","3091","Hillmorton Primary School","","Watts Lane","Hillmorton, Rugby","CV21 4PE","OSGB36",453760,273770,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",2558.24,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",469023.28,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071500974","3092","English Martyrs Catholic Primary School","","High Street","Hillmorton, Rugby","CV21 4EE","OSGB36",453070,273490,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1051.19,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",141119.96,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10010517097","3093","Merttens Playing Fields","","Merttens Drive","Rugby","CV22 7AE","OSGB36",449810,274730,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land only",0.00,1.4407,"Education and learning",23,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399479","3094","St. Oswald's C.E. Primary School (Academy)","","Addison Road","Rugby","CV22 7DJ","OSGB36",448900,275120,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1570.00,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",387208.10,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071502333","3095","Bilton Infant School","","Magnet Lane","Bilton, Rugby","CV22 7NH","OSGB36",448330,273560,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1155.95,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",276730.29,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399553","3098","The Paddox Centre","","Fareham Avenue","Hillmorton, Rugby","CV22 5HS","OSGB36",451930,273840,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",150.88,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",19332.15,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071500973","3099","Abbots Farm Infant School","","Abbotts Way","Rugby","CV21 4AP","OSGB36",452520,274530,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1055.16,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",345391.80,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071500968","3100","Abbots Farm Junior School","","Abbotts Way","Rugby","CV21 4AP","OSGB36",452600,274500,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1513.49,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",370447.38,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399493","3104","Bawnmore Infant School","","Bawnmore Road","Rugby","CV22 6JS","OSGB36",449080,273110,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1173.15,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",729770.32,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399727","3105","Northlands Primary School","","Pinders Lane","Rugby","CV21 2SS","OSGB36",450710,275630,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1654.91,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",152110.89,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071502028","3107","St Marie's Catholic Primary School (Former Infant)","","Dunchurch Road","Rugby","CV22 6AQ","OSGB36",450225,274590,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",1193.76,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",118651.17,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399519","3108","St Andrew's Benn CE (Voluntary Aided) Primary Scho","","Chester Street","Rugby","CV21 3NX","OSGB36",451530,275680,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",2067.38,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",578790.04,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
