organisation_name,org_uri_code,effective_date,unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number,street_name,postal_town,uk_postcode,coordinate_reference_system,easting,northing,geopoint_licensing_uri,tenure_type,tenure_detail,other_tenure,holding_type,size_of_building,size_of_land,effective_service_delivery_government_services_function_label,effective_service_delivery_government_services_function_code,purpose,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating,title_number,inspire_url
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3035,Dunchurch Community Managed Library,,The Green,Dunchurch,CV22 6PA,OSGB36,448377,271232,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,143.5,0,Leisure and culture,72,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3037,Dunchurch Highways Sub-Depot,Withheld,Withheld,Withheld,CV22,OSGB36,0,0,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Vacant,n/a,Land with a permanent building,2124.67,0,"Government, citizens and rights",42,To Follow,n/a,Not Currently Available,305879.49,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3039,Hospital Farm,,Churchover Lane,Harborough Magna,CV23 0HH,OSGB36,449069,279909,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on a Leasehold or Licence,n/a,Land with a permanent building,1402.7,0,Environmental protection,30,To Follow,n/a,Not Currently Available,86725.75,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3040,Hospital Farm Cottage (East Cottage),,Churchover Lane,Harborough Magna,CV23 0HH,OSGB36,449080,279911,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on a Leasehold or Licence,n/a,Land with a permanent building,109.93,0,Environmental protection,30,To Follow,n/a,Not Currently Available,319.98,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3042,Leamington Hastings CE Infant School (Academy),,Birdingbury Road,Hill,CV23 8EA,OSGB36,445260,267070,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,451.48,0,Education and learning,23,To Follow,n/a,Not Currently Available,68804.98,Not Currently Available,F,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3044,Long Lawford Primary School,,Holbrook Road,Long Lawford,CV23 9AL,OSGB36,447560,276090,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,3244.52,0,Education and learning,23,To Follow,n/a,Not Currently Available,649227.6,Not Currently Available,C,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3047,The Revel C.E. (Aided) Primary School,,Brockhurst Lane,Monks Kirby,CV23 0RA,OSGB36,446750,283050,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,1771.05,0,Education and learning,23,To Follow,n/a,Not Currently Available,676844,Not Currently Available,E,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10010517091,3049,Former Willey Landfill & Treatment Plant,,Lutterworth Road,Monks Kirby,CV23 0QW,OSGB36,449950,282650,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land only,0,1.871,"Government, citizens and rights",42,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3051,The Avon Valley School & Performing Arts College,,Newbold Road,Rugby,CV21 1EH,OSGB36,449490,276550,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Other,Vested in Trustees,n/a,Land with a permanent building,11486.89,0,Education and learning,23,To Follow,n/a,Not Currently Available,481563.5,Not Currently Available,E,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3052,The Riverside Academy (Academy),,Newbold Road,Rugby,CV21 1EH,OSGB36,449340,276730,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,2028.52,0,Education and learning,23,To Follow,n/a,Not Currently Available,452090.76,Not Currently Available,C,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3057,Our Lady's Catholic Primary School,,Leamington Road,Princethorpe,CV23 9PU,OSGB36,440010,270910,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,703.06,0,Education and learning,23,To Follow,n/a,Not Currently Available,156002.24,Not Currently Available,C,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10010517095,3067,Land At Balcombe Road,,Balcombe Road,"Hillmorton, Rugby",n/a,OSGB36,451983,273704,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land only,0,0.0482,"Government, citizens and rights",42,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10010511877,3068,Eastlands Primary School,,Lansdowne Place,Rugby,CV21 3RY,OSGB36,451890,274810,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Both Freehold & Leasehold,Occupied by the Local Authority,n/a,Land with a permanent building,1495.35,0,Education and learning,23,To Follow,n/a,Not Currently Available,531816.36,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3070,Boughton Leigh Junior School,,Wetherell Way,"Brownsover, Rugby",CV21 1LT,OSGB36,451450,277170,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,2421.38,0,Education and learning,23,To Follow,n/a,Not Currently Available,391171.32,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3071,Boughton Leigh Infant School,,Hollowell Way,Rugby,CV21 1LT,OSGB36,451530,277180,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,2098.09,0,Education and learning,23,To Follow,n/a,Not Currently Available,312879.03,Not Currently Available,C,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10010504317,3073,Brooke School (Academy),,Overslade Lane,Rugby,CV22 6DY,OSGB36,449480,273900,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,4182.08,0,Education and learning,23,To Follow,n/a,Not Currently Available,502151.76,Not Currently Available,E,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3074,Harris School  (Academy),,Harris Drive,Rugby,CV22 6EA,OSGB36,449750,274100,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,10178.94,0,Education and learning,23,To Follow,n/a,Not Currently Available,1083523.78,Not Currently Available,"B, D",To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10010512526,3075,Former Rokeby Infant School,,Anderson Avenue,Rugby,CV22 5PE,OSGB36,450250,273800,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,2212.06,0,Education and learning,23,To Follow,n/a,Not Currently Available,1076892.83,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3076,Rokeby Primary School (Academy),,Anderson Avenue,Rugby,CV22 5PE,OSGB36,450270,273730,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1844.69,0,Education and learning,23,To Follow,n/a,Not Currently Available,308436.53,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10010516036,3077,Public Open Space Land,,Long Furlong,Rugby,CV22 5QT,OSGB36,450181,273456,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land only,0,1.9325,Education and learning,23,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3078,St Matthew's Bloxam C.E. Primary School,,Webb Ellis Road,"Bilton, Rugby",CV22 7AU,OSGB36,449510,274870,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,3036.13,0,Education and learning,23,To Follow,n/a,Not Currently Available,725775.2,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3079,Henry Hinde Infant School (Academy),,Grenville Close,"Bilton, Rugby",CV22 7JQ,OSGB36,448130,274320,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1563.89,0,Education and learning,23,To Follow,n/a,Not Currently Available,172749.75,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3082,Rugby High School (Academy),,Longrood Road,"Bilton, Rugby",CV22 7RE,OSGB36,448730,272970,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Other,Vested in Trustees,n/a,Land with a permanent building,7677.32,0,Education and learning,23,To Follow,n/a,Not Currently Available,1034127.05,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3083,Bilton CE Junior School,,Plantagenet Drive,"Bilton, Rugby",CV22 6LB,OSGB36,448980,272920,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,2045.55,0,Education and learning,23,To Follow,n/a,Not Currently Available,517593.32,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3085,Oakfield Primary School (Academy),Withheld,Withheld,Withheld,CV22,OSGB36,0,0,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Vacant,n/a,Land with a permanent building,2981.99,0,Education and learning,23,To Follow,n/a,Not Currently Available,544063.54,Not Currently Available,"C, D, E",To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3086,St Marie's Primary School (Former Junior),,Merttens Drive,Rugby,CV22 7AF,OSGB36,449940,274560,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,1376.37,0,Education and learning,23,To Follow,n/a,Not Currently Available,489846.37,Not Currently Available,E,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3089,Ashlawn School (Academy),,Ashlawn Road,Rugby,CV22 5ET,OSGB36,452410,273490,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,14659.9,0,Education and learning,23,To Follow,n/a,Not Currently Available,1902135.27,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3090,Bilton School A Maths & Computing Coll. (Academy),,Lawford Lane,Rugby,CV22 7JT,OSGB36,447970,274050,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,11577.16,0,Education and learning,23,To Follow,n/a,Not Currently Available,2404741.96,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3091,Hillmorton Primary School,,Watts Lane,"Hillmorton, Rugby",CV21 4PE,OSGB36,453760,273770,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,2558.24,0,Education and learning,23,To Follow,n/a,Not Currently Available,476999.48,Not Currently Available,E,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3092,English Martyrs Catholic Primary School,,High Street,"Hillmorton, Rugby",CV21 4EE,OSGB36,453070,273490,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,1051.19,0,Education and learning,23,To Follow,n/a,Not Currently Available,147119.96,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10010517097,3093,Merttens Playing Fields,,Merttens Drive,Rugby,CV22 7AE,OSGB36,449810,274730,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land only,0,1.4407,Education and learning,23,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3094,St. Oswald's C.E. Primary School (Academy),,Addison Road,Rugby,CV22 7DJ,OSGB36,448900,275120,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1570,0,Education and learning,23,To Follow,n/a,Not Currently Available,387208.1,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3095,Bilton Infant School,,Magnet Lane,"Bilton, Rugby",CV22 7NH,OSGB36,448330,273560,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1155.95,0,Education and learning,23,To Follow,n/a,Not Currently Available,306462.59,Not Currently Available,E,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3098,The Paddox Centre,,Fareham Avenue,"Hillmorton, Rugby",CV22 5HS,OSGB36,451930,273840,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,150.88,0,Education and learning,23,To Follow,n/a,Not Currently Available,56727.44,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3099,Abbots Farm Infant School,,Abbotts Way,Rugby,CV21 4AP,OSGB36,452520,274530,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,1055.16,0,Education and learning,23,To Follow,n/a,Not Currently Available,398530.57,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3100,Abbots Farm Junior School,,Abbotts Way,Rugby,CV21 4AP,OSGB36,452600,274500,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1513.49,0,Education and learning,23,To Follow,n/a,Not Currently Available,447579.53,Not Currently Available,C,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3104,Bawnmore Infant School,,Bawnmore Road,Rugby,CV22 6JS,OSGB36,449080,273110,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,1173.15,0,Education and learning,23,To Follow,n/a,Not Currently Available,406848.5,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3105,Northlands Primary School,,Pinders Lane,Rugby,CV21 2SS,OSGB36,450710,275630,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,1654.91,0,Education and learning,23,To Follow,n/a,Not Currently Available,186363.31,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3107,St Marie's Catholic Primary School (Former Infant),,Dunchurch Road,Rugby,CV22 6AQ,OSGB36,450225,274590,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Other,Vested in Trustees,n/a,Land with a permanent building,1193.76,0,Education and learning,23,To Follow,n/a,Not Currently Available,71374.45,Not Currently Available,E,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3108,St Andrew's Benn CE (Voluntary Aided) Primary Scho,,Chester Street,Rugby,CV21 3NX,OSGB36,451530,275680,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,2067.38,0,Education and learning,23,To Follow,n/a,Not Currently Available,493307.01,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3109,The Benn Education Centre,,Claremont Road,Rugby,CV21 3LU,OSGB36,451200,275580,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Leasehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,485.4,0,Education and learning,23,To Follow,n/a,Not Currently Available,258655.63,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10010517119,3110,Playing Fields -Twickenham Field (Academy),,Overslade Lane,Rugby,CV22 6EG,OSGB36,449700,273750,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,0,0,Education and learning,23,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3112,Lawrence Sheriff School (Academy),,Clifton Road,Rugby,CV21 3AG,OSGB36,450780,275060,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Other,Vested in Trustees,n/a,Land with a permanent building,11464.11,0,Education and learning,23,To Follow,n/a,Not Currently Available,1379013.63,Not Currently Available,"B, C",To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10010517120,3113,Moat Farm Drive Playing Field,,Moat Farm Drive,"Hillmorton, Rugby",CV21 4HF,OSGB36,453540,273343,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land only,0,2.2994,"Licences, permits and permissions",82,To Follow,Yes,Not Currently Available,0,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3114,Henry Hinde Junior School (Academy),,Cornwallis Road,"Bilton, Rugby",CV22 7HN,OSGB36,447930,274680,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1552.9,0,Education and learning,23,To Follow,n/a,Not Currently Available,397885.55,Not Currently Available,D,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10010504277,3116,Bilton Evangelical Church,27,Main Street,"Bilton, Rugby",CV22 7NQ,OSGB36,448200,273620,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Leasehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,223.8,0,"Licences, permits and permissions",82,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3119,Hunters Lane Household Waste Recycling Centre,,Hunters Lane,Rugby,CV21 1EA,OSGB36,450300,276220,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,225.98,0,Environmental protection,30,To Follow,n/a,Not Currently Available,14994.28,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,200003000000,3120,Great Central Industrial Estate,1,Great Central Way,Rugby,CV21 3XH,OSGB36,451700,276080,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,2055.96,0,Transport and highways,105,To Follow,n/a,Not Currently Available,33264.88,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,10010507751,3131,Harris High School (Academy) - Caretakers House,11,Harris Drive,Rugby,CV22 6DX,OSGB36,449650,273980,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,118.81,0,Housing,66,To Follow,n/a,Not Currently Available,19154.19,Not Currently Available,n/a,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3144,Rugby Fire Station,,Corporation Street,Rugby,CV21 2DN,OSGB36,450090,275400,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,1331.05,0,Community safety,16,To Follow,n/a,Not Currently Available,215174,Not Currently Available,C,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100071000000,3148,Fawsley House,25,Hillmorton Road,Rugby,CV22 5BX,OSGB36,450950,274880,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Part or Wholly let out on Leasehold or Licence,n/a,Land with a permanent building,1325.18,0,"Government, citizens and rights",42,To Follow,n/a,Not Currently Available,359476.34,Not Currently Available,C,To Follow,http://maps.warwickshire.gov.uk/inspire/
Warwickshire County Council,http://data.ordnancesurvey.co.uk/id/7000000000010049,30/03/2022,100072000000,3150,Bloxham Centre,8,Somers Road,"New Bilton, Rugby",CV22 7DE,OSGB36,448780,275320,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Freehold,Occupied by the Local Authority,n/a,Land with a permanent building,1446.68,0,"Government, citizens and rights",42,To Follow,n/a,Not Currently Available,413479.39,Not Currently Available,E,To Follow,http://maps.warwickshire.gov.uk/inspire/
