SOA Code,SOA Name,Ward Name,Locality,District/Borough,Total Population,% of Total Population Aged 0 - 15,% of Total Population - Working Age (16 - 60 Females/16 - 64 Males),"% of Total Population aged 60+ (Females), 65+ (Males)"
E01031222,Southam South & Town Centre,Southam,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,986",17.1%,61.0%,21.9%
E01031223,Stockton,Stockton and Napton,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,425",23.7%,61.2%,15.1%
E01031224,Napton on the Hill,Stockton and Napton,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,169",20.7%,60.7%,18.6%
E01031225,Bridgetown,Stratford Alveston,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,621",16.8%,54.2%,28.9%
E01031226,Stratford South East & Alveston Hill,Stratford Alveston,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"3,229",23.1%,59.9%,17.0%
E01031227,Tiddington & Alveston,Stratford Alveston,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,953",16.2%,52.6%,31.2%
E01031228,Clopton & Welcombe Hills,Stratford Avenue and New Town,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,668",14.0%,55.0%,31.0%
E01031229,Town Centre North,Stratford Avenue and New Town,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,761",9.0%,61.2%,29.8%
E01031230,The Avenue,Stratford Avenue and New Town,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"2,225",19.9%,65.9%,14.2%
E01031231,Maybird,Stratford Avenue and New Town,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,813",17.4%,69.3%,13.3%
E01031232,Shottery South & Racecourse,Stratford Guild and Hathaway,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"2,294",17.3%,64.4%,18.2%
E01031233,Shottery North & Racecourse,Stratford Guild and Hathaway,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,654",17.0%,60.0%,22.9%
E01031234,Old Town & Town Centre South,Stratford Guild and Hathaway,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,625",9.0%,57.3%,33.7%
E01031235,Old Town,Stratford Guild and Hathaway,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,970",12.7%,54.9%,32.4%
E01031236,Bishopton,Stratford Mount Pleasant,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,642",18.2%,64.2%,17.6%
E01031237,Stratford Mount Pleasant West,Stratford Mount Pleasant,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,420",16.1%,58.0%,25.8%
E01031238,Stratford Mount Pleasant East,Stratford Mount Pleasant,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,285",14.6%,60.5%,25.0%
E01031239,Studley East & Priory,Studley,"Alcester, Studley & Henley ",Stratford-on-Avon,"1,497",20.0%,61.4%,18.6%
E01031240,Studley North,Studley,"Alcester, Studley & Henley ",Stratford-on-Avon,"1,351",19.5%,53.3%,27.2%
E01031241,Studley West & Common,Studley,"Alcester, Studley & Henley ",Stratford-on-Avon,"1,439",17.9%,60.5%,21.7%
E01031242,Studley South,Studley,"Alcester, Studley & Henley ",Stratford-on-Avon,"1,496",18.9%,53.7%,27.4%
E01031243,Earlswood,Tanworth,"Alcester, Studley & Henley ",Stratford-on-Avon,"1,979",18.5%,55.4%,26.1%
E01031244,Tanworth,Tanworth,"Alcester, Studley & Henley ",Stratford-on-Avon,"1,922",15.9%,58.9%,25.2%
E01031245,Tredington & Blackwell,Tredington,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,220",16.1%,53.3%,30.7%
E01031246,"Newbold-on-Stour, Ilmington East & Whitchurch",Tredington,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,093",17.0%,58.4%,24.6%
E01031247,Vale of the Red Horse,Vale of the Red Horse,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"2,252",17.1%,56.1%,26.8%
E01031248,Welford,Welford,"Alcester, Studley & Henley ",Stratford-on-Avon,"2,049",18.4%,52.9%,28.7%
E01031249,Wellesbourne West,Wellesbourne,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,228",18.9%,63.1%,18.0%
E01031250,"Wellesbourne East, Walton & Airfield",Wellesbourne,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,527",15.0%,56.1%,28.9%
E01031251,Wellesbourne South,Wellesbourne,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,229",15.6%,57.9%,26.5%
E01031252,"Moreton Morrell, Ashorne & Newbold Pacey",Wellesbourne,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,341",15.7%,62.0%,22.2%
E01031253,Wellesbourne North,Wellesbourne,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,587",19.9%,57.6%,22.5%
E01031254,Castle & Burton Green,Abbey,Kenilworth ,Warwick,"1,476",16.9%,57.7%,25.5%
E01031255,Castle Green & Malthouse,Abbey,Kenilworth ,Warwick,"1,444",19.6%,54.2%,26.2%
E01031256,Abbey Fields,Abbey,Kenilworth ,Warwick,"1,650",13.5%,54.9%,31.6%
E01031257,Abbey East,Abbey,Kenilworth ,Warwick,"1,498",18.6%,65.5%,15.9%
E01031258,Town Centre North,Abbey,Kenilworth ,Warwick,"1,616",13.6%,57.5%,28.9%
E01031259,Bishops Tachbrook North & Warwick Gates,Bishops Tachbrook,Warwick Rural ,Warwick,"1,436",22.6%,66.8%,10.6%
E01031260,Bishops Tachbrook South,Bishops Tachbrook,Warwick Rural ,Warwick,"1,303",18.9%,58.4%,22.7%
E01031261,Brunswick South West & kingsway,Brunswick,South Leamington & Whitnash ,Warwick,"1,548",16.4%,70.7%,12.9%
E01031262,Brunswick South & Cemetary,Brunswick,South Leamington & Whitnash ,Warwick,"1,516",20.1%,69.3%,10.7%
E01031263,Brunswick North East,Brunswick,South Leamington & Whitnash ,Warwick,"1,750",10.9%,79.3%,9.8%
E01031264,Brunswick South East,Brunswick,South Leamington & Whitnash ,Warwick,"1,752",22.2%,63.5%,14.3%
E01031265,Brunswick North West & Foundry,Brunswick,South Leamington & Whitnash ,Warwick,"1,562",18.4%,70.2%,11.3%
E01031266,Old Town West & Railway Bridge,Brunswick,South Leamington & Whitnash ,Warwick,"1,914",6.6%,85.5%,7.9%
E01031267,Hampton-on-the-Hill,Budbrooke,Warwick Rural ,Warwick,"1,794",15.7%,61.6%,22.7%
E01031268,Hatton & Hampton Magna,Budbrooke,Warwick Rural ,Warwick,"2,804",25.1%,64.3%,10.6%
E01031269,"Sherbourne, Barford & Wasperton",Budbrooke,Warwick Rural ,Warwick,"1,553",18.4%,57.1%,24.5%
E01031270,Town Centre,Clarendon,North Leamington ,Warwick,"1,873",6.8%,76.8%,16.4%
E01031271,Campion Hills & Newbold Comyn,Clarendon,North Leamington ,Warwick,"1,710",15.0%,62.6%,22.3%
E01031272,Clarendon North,Clarendon,North Leamington ,Warwick,"1,652",15.1%,69.1%,15.8%
E01031273,Lillington East,Crown,North Leamington ,Warwick,"1,370",19.3%,68.1%,12.6%
E01031274,Lillington West,Crown,North Leamington ,Warwick,"1,594",20.9%,60.0%,19.1%
E01031275,Crown North East,Crown,North Leamington ,Warwick,"1,292",17.5%,54.0%,28.5%
E01031276,Lillington South,Crown,North Leamington ,Warwick,"1,504",23.6%,60.9%,15.5%
E01031277,Cubbington West & New Cubbington,Cubbington,Warwick Rural ,Warwick,"1,607",18.0%,57.6%,24.5%
E01031278,"New Cubbington, Blackdown & Old Milverton",Cubbington,Warwick Rural ,Warwick,"1,468",19.2%,58.2%,22.6%
E01031279,Cubbington East,Cubbington,Warwick Rural ,Warwick,"1,506",13.5%,49.3%,37.2%
E01031280,"Bubbenhall, Wappenbury, Weston & Eathorpe",Cubbington,Warwick Rural ,Warwick,"1,303",18.6%,62.1%,19.3%
E01031281,"Lapworth North, Baddesley Clinton & High Cross",Lapworth,Warwick Rural ,Warwick,"1,476",16.2%,63.1%,20.7%
E01031282,"Lapworth South, Bushwood, Lowsonford & Rowington",Lapworth,Warwick Rural ,Warwick,"1,494",16.9%,57.6%,25.4%
E01031283,"Wroxhall, Hasely & Honiley",Leek Wootton,Warwick Rural ,Warwick,"1,234",16.6%,59.6%,23.7%
E01031284,"Leek Wootton, Guys Cliffe & Beausale",Leek Wootton,Warwick Rural ,Warwick,"1,255",17.2%,59.0%,23.7%
E01031285,Manor South West,Manor,North Leamington ,Warwick,"2,259",11.2%,61.8%,27.0%
E01031286,Manor South & Round Oaks,Manor,North Leamington ,Warwick,"1,557",13.2%,63.2%,23.6%
E01031287,Manor North,Manor,North Leamington ,Warwick,"1,539",20.5%,60.5%,19.0%
E01031288,Manor West,Manor,North Leamington ,Warwick,"1,599",15.3%,51.3%,33.5%
E01031289,Manor East,Manor,North Leamington ,Warwick,"1,553",21.1%,61.6%,17.3%
E01031290,Milverton Cliffe,Milverton,North Leamington ,Warwick,"1,624",13.5%,71.2%,15.3%
E01031291,Milverton South East,Milverton,North Leamington ,Warwick,"1,427",9.7%,71.8%,18.4%
E01031292,Milverton West,Milverton,North Leamington ,Warwick,"1,495",16.7%,66.2%,17.1%
E01031293,Milverton South West,Milverton,North Leamington ,Warwick,"1,508",18.0%,63.3%,18.8%
E01031294,Milverton East,Milverton,North Leamington ,Warwick,"1,491",16.4%,62.4%,21.2%
E01031295,Milverton North,Milverton,North Leamington ,Warwick,"1,180",15.0%,53.1%,31.9%
E01031296,Knowle Hill & Glasshouse,Park Hill,Kenilworth ,Warwick,"1,737",20.4%,66.8%,12.7%
E01031297,Ladyes Hills & Mill End West,Park Hill,Kenilworth ,Warwick,"1,896",18.2%,63.4%,18.3%
E01031298,Whitemoor,Park Hill,Kenilworth ,Warwick,"1,639",15.0%,56.2%,28.8%
E01031299,Glass House & Windy Arbour,Park Hill,Kenilworth ,Warwick,"1,477",20.4%,55.7%,23.8%
E01031300,Mill End East & Crackley,Park Hill,Kenilworth ,Warwick,"1,732",20.0%,61.3%,18.7%
E01031301,Offchurch & Hunningham,Radford Semele,Warwick Rural ,Warwick,"1,411",14.9%,60.6%,24.5%
E01031302,Radford Semele,Radford Semele,Warwick Rural ,Warwick,"1,048",17.6%,63.7%,18.7%
E01031303,Town Centre South,St John's,Kenilworth ,Warwick,"1,517",16.3%,56.7%,27.0%
E01031304,Borrowell,St John's,Kenilworth ,Warwick,"1,514",20.1%,54.0%,25.9%
E01031305,Thickthorn & Castle End,St John's,Kenilworth ,Warwick,"1,543",15.1%,48.7%,36.2%
E01031306,St John's Playing Fields,St John's,Kenilworth ,Warwick,"1,516",18.5%,59.1%,22.4%
E01031307,Castle End & Windy Arbour,St John's,Kenilworth ,Warwick,"1,482",15.1%,53.6%,31.2%
E01031308,Stoneleigh,Stoneleigh,Warwick Rural/Kenilworth,Warwick,"3,031",8.7%,76.9%,14.4%
E01031309,Emscote,Warwick North,Warwick ,Warwick,"1,527",17.2%,63.3%,19.4%
E01031310,Woodloes South East & Spinney Hill South,Warwick North,Warwick ,Warwick,"1,328",15.4%,59.9%,24.6%
E01031311,Emscote & Spinney Hill North East,Warwick North,Warwick ,Warwick,"1,321",17.6%,57.0%,25.4%
E01031312,Wedgenock & Woodloes West,Warwick North,Warwick ,Warwick,"1,219",19.9%,65.9%,14.3%
E01031313,Woodloes North,Warwick North,Warwick ,Warwick,"1,424",12.4%,65.2%,22.4%
E01031314,Woodloes East,Warwick North,Warwick ,Warwick,"1,343",13.7%,67.3%,19.0%
E01031315,"Warwick Gates North, Tachbrook Park & Myton South",Warwick South,Warwick ,Warwick,"2,009",27.8%,63.3%,9.0%
E01031316,"St Nicholas Park, Myton & Emscote South",Warwick South,Warwick ,Warwick,"1,433",11.7%,60.3%,28.1%
E01031317,"Bridge End, Castle & Stratford Rd East",Warwick South,Warwick ,Warwick,"1,530",15.3%,52.4%,32.4%
E01031318,Warwick Gates,Warwick South,Warwick ,Warwick,"2,363",23.0%,66.5%,10.5%
E01031319,Emscote Lawns,Warwick South,Warwick ,Warwick,"1,903",19.3%,63.2%,17.4%
E01031320,The Moorings and Myton North,Warwick South,Warwick ,Warwick,"1,458",16.5%,67.8%,15.7%
E01031321,Packmores West & The Cape,Warwick West,Warwick ,Warwick,"1,355",27.0%,63.3%,9.7%
E01031322,The Cape & Wedgenock,Warwick West,Warwick ,Warwick,"1,641",17.1%,62.2%,20.7%
E01031323,"Priory Park, Packmores & Hospital",Warwick West,Warwick ,Warwick,"1,590",15.5%,60.3%,24.2%
E01031324,Town Centre & Racecourse,Warwick West,Warwick ,Warwick,"1,860",9.1%,68.9%,21.9%
E01031325,Warwick West East,Warwick West,Warwick ,Warwick,"1,400",19.3%,63.8%,16.9%
E01031326,Kings Meadow & Longbridge,Warwick West,Warwick ,Warwick,"2,521",25.1%,66.2%,8.6%
E01031327,Whitnash North,Whitnash,South Leamington & Whitnash ,Warwick,"1,530",21.2%,59.7%,19.0%
E01031328,Whitnash East & Millponds,Whitnash,South Leamington & Whitnash ,Warwick,"2,053",16.3%,62.6%,21.0%
E01031329,Whitnash West,Whitnash,South Leamington & Whitnash ,Warwick,"2,534",24.0%,62.5%,13.6%
E01031330,Whitnash St Margarets,Whitnash,South Leamington & Whitnash ,Warwick,"1,600",17.3%,63.5%,19.2%
E01031331,Whitnash South,Whitnash,South Leamington & Whitnash ,Warwick,"1,805",16.8%,63.6%,19.6%
E01031332,Sydenham West,Willes,South Leamington & Whitnash ,Warwick,"1,496",17.8%,67.1%,15.1%
E01031333,Sydenham North,Willes,South Leamington & Whitnash ,Warwick,"1,457",14.6%,71.2%,14.2%
E01031334,Sydenham South & East,Willes,South Leamington & Whitnash ,Warwick,"1,602",17.5%,70.5%,12.0%
E01031335,Old Town North,Willes,South Leamington & Whitnash ,Warwick,"1,493",10.6%,78.1%,11.3%
E01031336,Old Town North West,Willes,South Leamington & Whitnash ,Warwick,"1,762",8.2%,83.6%,8.2%
E01031337,Old Town East & Sydenham Ind. Est.,Willes,South Leamington & Whitnash ,Warwick,"1,439",14.1%,74.8%,11.0%
