unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number_or_numbers,street_name,postal_town,uk_postcode,easting,northing,tenure,tenure_characteristics,land_only,size_of_asset,size_units,effective_service_delivery_government_services_function,reason_for_holding_asset,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating
1.00071E+11,2101,Corley Hall Farm,,Rock Lane,Corley,CV7 8BH,430516,285793,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,0,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,124082.72,Not Currently Available,n/a
1.00071E+11,2104,Curdworth Primary School (Academy),,Farthing Lane,Curdworth,B76 9HF,418150,292783,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1.4511,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,310070.74,Not Currently Available,D
1.00071E+11,2106,Dordon Community Primary School (Academy),,Roman Way,Dordon,B78 1PJ,426120,300770,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.11,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,388673.12,Not Currently Available,E
1.00071E+11,2107,Dordon Community Managed Library,,Roman Way,Dordon,B78 1RD,426150,300850,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0.1446,Sq.m,Leisure and culture,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,2109,The Shortwoods Frmr CSS Centre (Extra Care Hsg),Withheld,Withheld,Withheld,B78,0,0,Freehold,Vacant,Land with a permanent building,1.0674,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,79271.95,Not Currently Available,D
1.00071E+11,2111,Land at Grange Farm,,Wood End Lane,Fillongley,CV7 8DB,429089,287067,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,16.8171,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,2112,Musson Hall Farm,,Green End Road,"Green End, Fillongley",CV7 8DT,426080,286353,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,1.1973,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,87474.86,Not Currently Available,n/a
1.00071E+11,2113,Musson Hall Farm Cottage (Musson Hall Farm),,Green End Road,"Green End, Fillongley",CV7 8DT,426078,286360,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,2.5591,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,5589.77,Not Currently Available,n/a
1.00072E+11,2115,Bournebrook C.E. Primary School,,Coventry Road,Fillongley,CV7 8ET,428070,287260,Other,Vested in Trustees,Land with a permanent building,0.7564,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,261652.15,Not Currently Available,D
1.00071E+11,2118,Swan Farm,,Watling Street,Grendon,CV9 2PZ,427162,299608,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,0.2205,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,33522.01,Not Currently Available,n/a
1.00071E+11,2119,Oak Tree Cottage (Swan Farm),,Watling Street,Grendon,CV9 2PZ,427087,299673,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,2.2782,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,13802.09,Not Currently Available,n/a
1.00071E+11,2124,Hartshill School (Academy),,Church Road,Hartshill,CV10 0NA,432700,293740,Other,Vested in Trustees,Land with a permanent building,8647.76,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1688400.25,Not Currently Available,"B, C, E"
1.00071E+11,2125,Michael Drayton Junior School,,The Woodlands,Hartshill,CV10 0SZ,432530,293950,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,3075.17,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,378091.41,Not Currently Available,D
10001173376,2126,Land at Former Annexe to Hartshill School,Withheld,Withheld,Withheld,CV10,0,0,Freehold,Vacant,Land only,0.6069,Hectares,"Government, citizens and rights",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,2128,Nathaniel Newton Infant School,,Victoria Road,Hartshill,CV10 0LS,432630,293640,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1737.85,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,446703.82,Not Currently Available,D
10001177594,2129,Hartshill Hayes Country Park,,Oldbury Road,Hartshill,CV10 0TJ,431704,294358,Freehold,Occupied by the Local Authority,Land with a permanent building,97.36,Sq.m,Environmental protection,To Follow,Yes,Not Currently Available,8929.04,Not Currently Available,n/a
1.00071E+11,2131,Poplars Farm,,Tamworth Road,Wood End,CV9 2QQ,424682,297837,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,5648.46,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,6130.2,Not Currently Available,n/a
n/a,2132,Land at Heanley Farm,,Heanley Lane,Hurley,CV9 2HZ,424937,296758,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,7.5404,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
n/a,2133,Land at Home Farm (Hurley Common),,Heanley Lane,Hurley,CV9 2LR,424419,297022,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,12.7313,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
n/a,2134,Land at Wash End,,Atherstone Lane,Hurley,CV9 2HT,425477,295391,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,15.3765,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,2136,Kingsbury School (Academy),,Tamworth Road,Kingsbury,B78 2LF,421590,296520,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,5794.04,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,901685.59,Not Currently Available,G
1.00071E+11,2139,Wood End Primary School   (Academy),,Wood Street,Wood End,CV9 2QL,424040,298050,Both Freehold & Leasehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1471.74,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,223658.29,Not Currently Available,D
1.00072E+11,2140,Hurley Primary School,,Heanley Lane,Hurley,CV9 2HY,424653,295945,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1279.97,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,456035.23,Not Currently Available,n/a
1.00071E+11,2142,Kingsbury Former Library & Information Centre,,Bromage Avenue,Kingsbury,B78 2HN,421520,296770,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,136.5,Sq.m,"Licences, permits and permissions",To Follow,n/a,Not Currently Available,16262.82,Not Currently Available,n/a
1.00071E+11,2143,Kingsbury Water Park,,Bodymoor Heath Lane,"Bodymoor Heath, Kingsbury",B76 0DY,420417,295934,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2044.3,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,195599.67,Not Currently Available,n/a
2.00002E+11,2145,Broomey Croft Farm,,Bodymoor Heath Lane,"Bodymoor Heath, Kingsbury",B76 0EE,420473,296997,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,979.4,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,2157,Newton Regis CE Primary School (Academy),,Austrey Lane,Newton Regis,B79 0NL,427990,307540,Leasehold,Occupied by the Local Authority,Land with a permanent building,845.02,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,260367.27,Not Currently Available,D
n/a,2158,Land at Former Warton Allotments,Withheld,Withheld,Withheld,B79,0,0,Freehold,Vacant,Land only,2.7332,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,2160,The Polesworth School (Academy),,Dordon Road,Polesworth,B78 1QT,425760,301520,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,11658.32,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,3386612.73,Not Currently Available,"C, E"
n/a,2163,Polesworth School (Academy) - Youth Wing,,Dordon Road,Dordon,B78 1QT,425837,301592,Freehold,Occupied by the Local Authority,Land with a permanent building,271.76,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,71973.28,Not Currently Available,n/a
1.00071E+11,2164,The Nethersole School CE Primary (Academy),,High Street,Polesworth,B78 1DZ,426760,302610,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2358.67,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,656183.41,Not Currently Available,C
1.00071E+11,2165,Former Nethersoles CE First School,,High Street,Polesworth,B78 1DU,426363,302527,Other,Vested in Trustees,Land with a permanent building,890.63,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,2166,Warton Nethersole C.E. Primary School (Academy),,Maypole Road,Warton,B79 0HP,428480,303630,Other,Vested in Trustees,Land with a permanent building,971.69,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,62401.24,Not Currently Available,C
1.00071E+11,2168,Polesworth Library & Information Centre,,Bridge Street,Polesworth,B78 1DT,426230,302490,Leasehold,Occupied by the Local Authority,Land with a permanent building,208.74,Sq.m,Leisure and culture,To Follow,n/a,Not Currently Available,7712.89,Not Currently Available,n/a
1.00071E+11,2171,Polesworth Fire Station,,Tamworth Road,Polesworth,B78 1HP,426030,302230,Freehold,Occupied by the Local Authority,Land with a permanent building,257.67,Sq.m,Community safety,To Follow,n/a,Not Currently Available,12475.68,Not Currently Available,n/a
10001173115,2175,Alvecote Priory Picnic Area,,Robeys Lane,Alvecote,B78 1AS,425070,304250,Freehold,Occupied by the Local Authority,Land with a permanent building,246.11,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10001172174,2176,Alvecote Gypsy Caravan Site,,Alvecote Lane,Alvecote,B79 0DW,424720,304570,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,240.13,Sq.m,Housing,To Follow,n/a,Not Currently Available,32138.31,Not Currently Available,n/a
1.00071E+11,2177,Shustoke CE Primary School,,Forge Road,Shustoke,B46 2AU,423070,290670,Freehold,Occupied by the Local Authority,Land with a permanent building,1045.82,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,286833.73,Not Currently Available,D
1.00071E+11,2178,Hillcrescent Farm,,Birmingham Road,Water Orton,B46 1TG,416774,290954,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,505.18,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,1031.94,Not Currently Available,n/a
1.0007E+11,2179,Orchard Nurseries (Trelawney),96,Birmingham Road,Water Orton,B46 1TG,416883,290982,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,760.57,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,15354.47,Not Currently Available,n/a
1.00071E+11,2182,Water Orton Community Library & Community Centre,,Mickle Meadow,Water Orton,B46 1SN,417656,291055,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,132.87,Sq.m,Leisure and culture,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10010504417,3005,Shelford Cottage Farm (Shelford Bungalow Farm),,Lutterworth Road,Wolvey,LE10 3HN,443018,288723,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,2378.17,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00072E+11,3008,Binley Woods Primary School,,Coombe Drive,Binley Woods,CV3 2QU,440240,277150,Freehold,Occupied by the Local Authority,Land with a permanent building,1529.48,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,440175.98,Not Currently Available,D
10010512786,3010,Brierleys Farm,,Coventry Road,Brinklow,CV23 0NE,443181,279451,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,2297.22,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,30.65,Not Currently Available,n/a
1.00071E+11,3011,Land Adjoining Church Room,,Broad Street,Brinklow,CV23 0LS,443500,279430,Freehold,Occupied by the Local Authority,Land only,0.0743,Hectares,"Licences, permits and permissions",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,3012,The Revel C.E. (Aided) Primary School Annexe,,The Crescent,Brinklow,CV23 0LR,443731,279673,Other,Vested in Trustees,Land with a permanent building,288.31,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,146151.73,Not Currently Available,n/a
1.00072E+11,3016,Clifton-Upon-Dunsmore C. of E. Primary School,,Station Road,Clifton Upon Dunsmore,CV23 0BT,452820,276330,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1223.76,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,207834.72,Not Currently Available,n/a
10010517088,3019,Land at Former Church Lawford CE First School,,School Street,Church Lawford,CV23 9EE,444908,276364,Freehold,Part or Wholly let out on Leasehold or Licence,Land only,0.1114,Hectares,"Licences, permits and permissions",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
2.00003E+11,3020,Church Lawford Business Centre,,Limestone Hall Lane,Church Lawford,CV23 9HD,444450,276030,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,448.78,Sq.m,Transport and highways,To Follow,n/a,Not Currently Available,27228.73,Not Currently Available,n/a
10010504158,3021,Blue Boar Farm (North),,Lawford Heath Lane,Thurlaston,CV23 9LH,444950,272598,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,2198.25,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,33010.14,Not Currently Available,n/a
1.00072E+11,3022,Blue Boar Farm (South),,London Road,Dunchurch,CV23 9LH,445225,272095,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,1443.84,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,73539.26,Not Currently Available,n/a
10010517089,3023,Land at Blue Boar Farm (South) (Nurseries),Blue Boar Farm Holding S13-1,Straight Mile,Bourton-On-Dunsmore,CV23 9JR,444917,271865,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,1.6564,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,3027,Land at Homestead Farm (North),,Coventry Road,Dunchurch,CV22 6RB,448105,271634,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,0.0497,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,3028,Homestead Farm Cottage,,Coventry Road,Dunchurch,CV22 6RB,448125,271652,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,228.73,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,11905.12,Not Currently Available,n/a
10010517090,3029,Land at Homestead Farm (South),,Coventry Road,Dunchurch,CV22 6RE,448052,271426,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,1.0445,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00072E+11,3032,Dunchurch Boughton C. of E. (V.A.) Junior School,,Dew Close,Dunchurch,CV22 6NE,448120,271273,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1379.28,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,533724.34,Not Currently Available,E
1.00072E+11,3033,Dunchurch Infant School (Foundation),,School Street,Dunchurch,CV22 6PA,448195,271251,Other,Vested in Trustees,Land with a permanent building,1131.53,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,124296.68,Not Currently Available,F
1.00072E+11,3035,Dunchurch Community Managed Library,,The Green,Dunchurch,CV22 6PA,448377,271232,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,143.5,Sq.m,Leisure and culture,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00072E+11,3037,Dunchurch Highways Sub-Depot,Withheld,Withheld,Withheld,CV22,0,0,Freehold,Vacant,Land with a permanent building,2124.67,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,305879.49,Not Currently Available,n/a
1.00071E+11,3039,Hospital Farm,,Churchover Lane,Harborough Magna,CV23 0HH,449069,279909,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,1402.7,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,86725.75,Not Currently Available,n/a
1.00071E+11,3040,Hospital Farm Cottage (East Cottage),,Churchover Lane,Harborough Magna,CV23 0HH,449080,279911,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,109.93,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,319.98,Not Currently Available,n/a
1.00072E+11,3042,Leamington Hastings CE Infant School (Academy),,Birdingbury Road,Hill,CV23 8EA,445260,267070,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,451.48,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,68804.98,Not Currently Available,F
1.00071E+11,3044,Long Lawford Primary School,,Holbrook Road,Long Lawford,CV23 9AL,447560,276090,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,3244.52,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,568168.33,Not Currently Available,C
1.00072E+11,3047,The Revel C.E. (Aided) Primary School,,Brockhurst Lane,Monks Kirby,CV23 0RA,446750,283050,Freehold,Occupied by the Local Authority,Land with a permanent building,1771.05,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,676844,Not Currently Available,E
10010517091,3049,Former Willey Landfill & Treatment Plant,,Lutterworth Road,Monks Kirby,CV23 0QW,449950,282650,Freehold,Occupied by the Local Authority,Land only,1.871,Hectares,"Government, citizens and rights",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,3051,The Avon Valley School & Performing Arts College,,Newbold Road,Rugby,CV21 1EH,449490,276550,Other,Vested in Trustees,Land with a permanent building,11486.89,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,524046.41,Not Currently Available,E
1.00071E+11,3052,The Riverside Academy (Academy),,Newbold Road,Rugby,CV21 1EH,449340,276730,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2028.52,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,452090.76,Not Currently Available,C
1.00072E+11,3057,Our Lady's Catholic Primary School,,Leamington Road,Princethorpe,CV23 9PU,440010,270910,Freehold,Occupied by the Local Authority,Land with a permanent building,703.06,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,156002.24,Not Currently Available,C
10010517095,3067,Land At Balcombe Road,,Balcombe Road,"Hillmorton, Rugby",n/a,451983,273704,Freehold,Occupied by the Local Authority,Land only,0.0482,Hectares,"Government, citizens and rights",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10010511877,3068,Eastlands Primary School,,Lansdowne Place,Rugby,CV21 3RY,451890,274810,Both Freehold & Leasehold,Occupied by the Local Authority,Land with a permanent building,1495.35,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,531816.36,Not Currently Available,D
1.00071E+11,3070,Boughton Leigh Junior School,,Wetherell Way,"Brownsover, Rugby",CV21 1LT,451450,277170,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2421.38,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,391171.32,Not Currently Available,D
1.00071E+11,3071,Boughton Leigh Infant School,,Hollowell Way,Rugby,CV21 1LT,451530,277180,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2098.09,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,312879.03,Not Currently Available,C
10010504317,3073,Brooke School (Academy),,Overslade Lane,Rugby,CV22 6DY,449480,273900,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,4182.08,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,502151.76,Not Currently Available,E
1.00071E+11,3074,Harris School  (Academy),,Harris Drive,Rugby,CV22 6EA,449750,274100,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,10178.94,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1083523.78,Not Currently Available,"B, D"
10010512526,3075,Former Rokeby Infant School,,Anderson Avenue,Rugby,CV22 5PE,450250,273800,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2212.06,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1076892.83,Not Currently Available,n/a
1.00071E+11,3076,Rokeby Primary School (Academy),,Anderson Avenue,Rugby,CV22 5PE,450270,273730,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1844.69,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,308436.53,Not Currently Available,D
10010516036,3077,Public Open Space Land,,Long Furlong,Rugby,CV22 5QT,450181,273456,Freehold,Occupied by the Local Authority,Land only,1.9325,Hectares,Education and learning,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,3078,St Matthew's Bloxam C.E. Primary School,,Webb Ellis Road,"Bilton, Rugby",CV22 7AU,449510,274870,Freehold,Occupied by the Local Authority,Land with a permanent building,3036.13,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,725775.2,Not Currently Available,D
1.00072E+11,3079,Henry Hinde Infant School (Academy),,Grenville Close,"Bilton, Rugby",CV22 7JQ,448130,274320,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1563.89,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,172749.75,Not Currently Available,D
1.00072E+11,3082,Rugby High School (Academy),,Longrood Road,"Bilton, Rugby",CV22 7RE,448730,272970,Other,Vested in Trustees,Land with a permanent building,7677.32,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1034127.05,Not Currently Available,D
1.00072E+11,3083,Bilton CE Junior School,,Plantagenet Drive,"Bilton, Rugby",CV22 6LB,448980,272920,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2045.55,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,517593.32,Not Currently Available,D
1.00072E+11,3085,Oakfield Primary School (Academy),Withheld,Withheld,Withheld,CV22,0,0,Freehold,Vacant,Land with a permanent building,2981.99,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,544063.54,Not Currently Available,"C, D, E"
1.00072E+11,3086,St Marie's Primary School (Former Junior),,Merttens Drive,Rugby,CV22 7AF,449940,274560,Freehold,Occupied by the Local Authority,Land with a permanent building,1376.37,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,489846.37,Not Currently Available,E
1.00072E+11,3089,Ashlawn School (Academy),,Ashlawn Road,Rugby,CV22 5ET,452410,273490,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,14659.9,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1902135.27,Not Currently Available,n/a
1.00071E+11,3090,Bilton School A Maths & Computing Coll. (Academy),,Lawford Lane,Rugby,CV22 7JT,447970,274050,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,11577.16,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,2404741.96,Not Currently Available,D
1.00071E+11,3091,Hillmorton Primary School,,Watts Lane,"Hillmorton, Rugby",CV21 4PE,453760,273770,Freehold,Occupied by the Local Authority,Land with a permanent building,2558.24,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,476999.48,Not Currently Available,E
1.00072E+11,3092,English Martyrs Catholic Primary School,,High Street,"Hillmorton, Rugby",CV21 4EE,453070,273490,Freehold,Occupied by the Local Authority,Land with a permanent building,1051.19,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,141119.96,Not Currently Available,n/a
10010517097,3093,Merttens Playing Fields,,Merttens Drive,Rugby,CV22 7AE,449810,274730,Freehold,Occupied by the Local Authority,Land only,1.4407,Hectares,Education and learning,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,3094,St. Oswald's C.E. Primary School (Academy),,Addison Road,Rugby,CV22 7DJ,448900,275120,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1570,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,387208.1,Not Currently Available,D
1.00072E+11,3095,Bilton Infant School,,Magnet Lane,"Bilton, Rugby",CV22 7NH,448330,273560,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1155.95,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,306462.59,Not Currently Available,E
1.00071E+11,3098,The Paddox Centre,,Fareham Avenue,"Hillmorton, Rugby",CV22 5HS,451930,273840,Freehold,Occupied by the Local Authority,Land with a permanent building,150.88,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,28252.15,Not Currently Available,n/a
1.00072E+11,3099,Abbots Farm Infant School,,Abbotts Way,Rugby,CV21 4AP,452520,274530,Freehold,Occupied by the Local Authority,Land with a permanent building,1055.16,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,398530.57,Not Currently Available,D
1.00072E+11,3100,Abbots Farm Junior School,,Abbotts Way,Rugby,CV21 4AP,452600,274500,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1513.49,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,447579.53,Not Currently Available,C
1.00071E+11,3104,Bawnmore Infant School,,Bawnmore Road,Rugby,CV22 6JS,449080,273110,Freehold,Occupied by the Local Authority,Land with a permanent building,1173.15,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,667110.72,Not Currently Available,D
1.00071E+11,3105,Northlands Primary School,,Pinders Lane,Rugby,CV21 2SS,450710,275630,Freehold,Occupied by the Local Authority,Land with a permanent building,1654.91,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,186363.31,Not Currently Available,D
1.00072E+11,3107,St Marie's Catholic Primary School (Former Infant),,Dunchurch Road,Rugby,CV22 6AQ,450225,274590,Other,Vested in Trustees,Land with a permanent building,1193.76,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,71374.45,Not Currently Available,E
1.00071E+11,3108,St Andrew's Benn CE (Voluntary Aided) Primary Scho,,Chester Street,Rugby,CV21 3NX,451530,275680,Freehold,Occupied by the Local Authority,Land with a permanent building,2067.38,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,493307.01,Not Currently Available,D
1.00072E+11,3109,The Benn Education Centre,,Claremont Road,Rugby,CV21 3LU,451200,275580,Leasehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,485.4,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,258655.63,Not Currently Available,n/a
10010517119,3110,Playing Fields -Twickenham Field (Academy),,Overslade Lane,Rugby,CV22 6EG,449700,273750,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,3111,Hill Street Community Youth Centre,,Hill Street,Rugby,CV21 2NB,450090,275640,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,595.69,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00072E+11,3112,Lawrence Sheriff School (Academy),,Clifton Road,Rugby,CV21 3AG,450780,275060,Other,Vested in Trustees,Land with a permanent building,11464.11,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1379013.63,Not Currently Available,"B, C"
10010517120,3113,Moat Farm Drive Playing Field,,Moat Farm Drive,"Hillmorton, Rugby",CV21 4HF,453540,273343,Freehold,Part or Wholly let out on Leasehold or Licence,Land only,2.2994,Hectares,"Licences, permits and permissions",To Follow,Yes,Not Currently Available,0,Not Currently Available,n/a
1.00072E+11,3114,Henry Hinde Junior School (Academy),,Cornwallis Road,"Bilton, Rugby",CV22 7HN,447930,274680,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1552.9,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,397885.55,Not Currently Available,D
