INSPECTOR,EDUCATION_AREA,DISTRICT_AREA_DESC,DFES,TYPE,PHASE,SCHOOL_NAME,Headteacher,ACTING,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,POST_CODE,TEL_NO,EXTRA_TELEPHONE,FAX,E_MAIL,COST_CODE,START_AGE,LEAVE_AGE,GOVERNANCE_DESC,SCH_DELIVERY_NO,CLOSED
Linda Stock,Southern,Stratford on Avon,3035,Primary,Primary,Ilmington C.Of E. Primary School,Mrs. Sally Naish,,BACK STREET,ILMINGTON,SHIPSTON-ON-STOUR,WARWICKSHIRE,CV36 4LJ,(01608) 682212,,(01608) 682212,jbeard@ilmington.warwickshire.sch.uk,F21,4,11,Voluntary Controlled,C12,N
Debbie Hibberd,Central,Warwick,1020,Nursery,Nursery,Kenilworth Children's Centre and Nursery School,Ms. Rachel Gillett,31/08/2010,BERTIE ROAD,,KENILWORTH,WARWICKSHIRE,CV8 1JP,(01926) 853394,,(01926) 853394,admin1020@we-learn.com,A01,2,3,Community,D55,N
Alan Lindsay,Central,Warwick,4236,Secondary,Secondary,Kenilworth School and Sports College,Mr. Hayden Abbott,,LEYES LANE,,KENILWORTH,WARWICKSHIRE,CV8 2DA,(01926) 859421,(01926) 859425,(01926) 859426,kenilworth.school@ksn.org.uk,M01,11,18,Community,D57,N
Linda Thomas,Nuneaton & Bedworth,Nuneaton and Bedworth,2613,Primary,Primary,Keresley Newland Primary School,Mr. Andrew Moorcroft,,GROVE LANE,KERESLEY END,COVENTRY,WEST MIDLANDS,CV7 8JZ,(024) 7633 2434,,(024) 7633 2434,admin2613@we-learn.com,E46,4,11,Community,B78,N
Linda Stock,Southern,Stratford on Avon,3308,Primary,Primary,Kineton C.Of E. (Voluntary Aided) Primary School,Mrs. Margaret Pollard,,KING JOHN'S ROAD,KINETON,WARWICK,WARWICKSHIRE,CV35 0HS,(01926) 640397,(01926) 642543,,admin3308@we-learn.com,F22,4,11,Voluntary Aided,A3,N
Alan Lindsay,Southern,Stratford on Avon,4110,Secondary,Secondary,"Kineton High School, A Specialist Sports College",Mrs. Julia Morris,,BANBURY ROAD,KINETON,WARWICK,WARWICKSHIRE,CV35 0JX,(01926) 640465,,(01926) 640872,admin4110@we-learn.com,Q06,11,18,Community,A4,N
Douglas Tribe,Southern,Stratford on Avon,4601,Secondary,Secondary,King Edward VI School,Mr. Timothy Moore-Bridger,,CHURCH STREET,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 6HB,(01789) 293351,,(01789) 293564,admin4601@we-learn.com,Q11,11,18,Voluntary Aided,C16,N
Dorothy Rickarby,North Warwickshire,North Warwickshire,3596,Primary,Primary,Kingsbury Primary School,Ms. Karen Hanson,,BROMAGE AVENUE,KINGSBURY,TAMWORTH,STAFFORDSHIRE,B78 2HW,(01827) 872275,,,admin3596@we-learn.com,E40,4,11,Community,B91,N
Brian Worrall,North Warwickshire,North Warwickshire,4111,Secondary,Secondary,"Kingsbury School, a Specialist Science and Mathematics College",Mr. Simon Cotton,,TAMWORTH ROAD,KINGSBURY,TAMWORTH,STAFFORDSHIRE,B78 2LF,(01827) 872316,,(01827) 873814,admin4111@we-learn.com,P08,11,16,Community,B90,N
Brenda Iles,Central,Warwick,2638,Primary,Primary,Kingsway Community Primary School,Mr. Brendan Lee,,BAKER AVENUE,,LEAMINGTON SPA,WARWICKSHIRE,CV31 3HB,(01926) 426896,,(01926) 426896,admin2638@we-learn.com,C72,4,11,Community,D20,N
Sue Bailey,Eastern,Rugby,3590,Primary,Primary,Knightlow C.Of E. Primary School,Mrs. Jill Vavasour,,HILL CRESCENT,STRETTON-ON-DUNSMORE,RUGBY,WARWICKSHIRE,CV23 9NF,(024) 7654 3751,,(024) 7654 5801,admin3590@we-learn.com,D58,4,11,Voluntary Aided,D67,N
William Poulton,Central,Warwick,3147,Primary,Primary,Lapworth C.Of E. Primary School,Mr. Andrew Smith,,STATION LANE,LAPWORTH,SOLIHULL,WEST MIDLANDS,B94 6LT,(01564) 783225,,,admin3147@we-learn.com,C20,4,11,Voluntary Controlled,C55,N
Douglas Tribe,Eastern,Rugby,4620,Secondary,Secondary,Lawrence Sheriff School,Dr. Peter Kent,,CLIFTON ROAD,,RUGBY,WARWICKSHIRE,CV21 3AG,(01788) 542074,(01788) 573852,(01788) 567962,lss@lawrencesheriffschool.com,N08,11,18,Voluntary Aided,A41,N
Sue Bailey,Eastern,Rugby,3180,Infant,Primary,Leamington Hastings C.Of E. Infant School,Mrs. Catriona Eckland,,BIRDINGBURY ROAD,HILL,RUGBY,WARWICKSHIRE,CV23 8EA,(01926) 632359,,,admin3180@we-learn.com,D09,4,7,Voluntary Controlled,A17,N
Linda Stock,Southern,Stratford on Avon,2064,Primary,Primary,Lighthorne Heath Primary School,Mrs. Janet Paget,31/12/2009,LIGHTHORNE HEATH,,LEAMINGTON SPA,WARWICKSHIRE,CV33 9TW,(01926) 640326,,(01926) 641818,admin2064@we-learn.com,F15,4,11,Community,A2,N
Sue Bailey,Central,Warwick,2621,Primary,Primary,Lillington Nursery and Primary School,Mrs. Davinder Jandu,,CUBBINGTON ROAD,LILLINGTON,LEAMINGTON SPA,WARWICKSHIRE,CV32 7AG,(01926) 425114,,(01926) 315952,admin2621@we-learn.com,C66,4,11,Community,D46,N
Pauline Barker,Central,Stratford on Avon,3211,Primary,Primary,Long Itchington Primary School,Mrs. Phyllis King,,STOCKTON ROAD,LONG ITCHINGTON,RUGBY,WARWICKSHIRE,CV47 9QP,(01926) 814819,,(01926) 814819,admin3211@we-learn.com,C71,4,11,Voluntary Controlled,A16,N
Sheila Dentith,Eastern,Rugby,2405,Primary,Primary,Long Lawford Primary School,Mr. Robert Morrissey,,HOLBROOK ROAD,LONG LAWFORD,RUGBY,WARWICKSHIRE,CV23 9AL,(01788) 543332,,(01788) 550366,admin2405@we-learn.com,D10,4,11,Community,A29,N
Linda Stock,Southern,Stratford on Avon,3040,Primary,Primary,Loxley C.Of E. Community Primary School,Mrs. Janet Clough,31/08/2010,LOXLEY,,WARWICK,WARWICKSHIRE,CV35 9JT,(01789) 840211,,,admin3040@we-learn.com,F25,4,11,Voluntary Controlled,C10,N
Lesley Sullivan,Nuneaton & Bedworth,Nuneaton and Bedworth,4154,Secondary,Secondary,Manor Park Community School and Specialist Arts College,Ms. Patsy Weighill,,BEAUMONT ROAD,,NUNEATON,WARWICKSHIRE,CV11 5HJ,(024) 7637 4099,,(024) 7635 1094,manorparkschool@mail.webxchange.co.uk,P14,11,16,Community,B37,N
Lorrie Cooper,Southern,Stratford on Avon,3041,Primary,Primary,Mappleborough Green C.Of E. Primary School,Mrs. Erica Hayton,,HENLEY ROAD,MAPPLEBOROUGH GREEN,STUDLEY,WARWICKSHIRE,B80 7DR,(01527) 852240,,,admin3041@we-learn.com,F26,4,11,Voluntary Controlled,C47,N
Jeanne Monkton,North Warwickshire,North Warwickshire,2028,Junior,Primary,Michael Drayton Junior School,Mr. John Buxton,,THE WOODLANDS,HARTSHILL,NUNEATON,WARWICKSHIRE,CV10 0SZ,(024) 7639 2272,,(024) 7639 2281,admin@mdjs.co.uk,E42,7,11,Community,B17,N
Adrienne Holland,Nuneaton & Bedworth,Nuneaton and Bedworth,5202,Junior,Primary,Middlemarch School,Mrs. Angela Cole,,COLLEGE STREET,,NUNEATON,WARWICKSHIRE,CV10 7BQ,(024) 7632 8009,,(024) 7632 6239,admin5202@we-learn.com,T03,7,11,Foundation,B52,N
Declan McCauley,Nuneaton & Bedworth,Nuneaton and Bedworth,2631,Primary,Primary,Milby Primary School,Mrs. Melanie Aley,,MILBY DRIVE,,NUNEATON,WARWICKSHIRE,CV11 6JS,(024) 7638 2587,,(024) 7635 0012,admin2631@we-learn.com,E99,4,11,Community,B41,N
Pauline Barker,Central,Warwick,2606,Primary,Primary,Milverton Primary School,Mr. Benjamin Wilde,,GREATHEED ROAD,,LEAMINGTON SPA,WARWICKSHIRE,CV32 6ES,(01926) 424043,,,admin2606@we-learn.com,C26,4,11,Community,D38,N
Linda Stock,Southern,Stratford on Avon,5205,Primary,Primary,Moreton Morrell C Of E Primary School,Mrs. Kelly Ford,,MORETON MORRELL,,WARWICK,WARWICKSHIRE,CV35 9AN,(01926) 651355,,(01926) 651966,admin5205@we-learn.com,T06,4,11,Foundation,A1,N
John Vickers,Central,Warwick,5403,Secondary,Secondary,Myton School A Specialist Science College and Training School,Mr. Paul MacIntyre,,MYTON ROAD,,WARWICK,WARWICKSHIRE,CV34 6PJ,(01926) 493805/6,,(01926) 490380,head@myton.co.uk,W04,11,18,Foundation,D22,N
Jeanne Monkton,North Warwickshire,North Warwickshire,2029,Infant,Primary,Nathaniel Newton Infant School,Mrs. Pamela Griffin,,VICTORIA ROAD,CHAPEL END,NUNEATON,WARWICKSHIRE,CV10 0LS,(024) 7639 2236,,(024) 7639 7073,admin2029@we-learn.com,E43,4,7,Community,B19,N
Linda Stock,Southern,Stratford on Avon,3214,Primary,Primary,Newbold And Tredington C.Of E. Primary School,Mr. Neil Satoor,,MANOR FARM ROAD,TREDINGTON,SHIPSTON-ON-STOUR,WARWICKSHIRE,CV36 4NZ,(01608) 661568,,,admin3214@we-learn.com,F62,4,11,Voluntary Controlled,C8,N
Sheila Dentith ,Eastern,Rugby,2627,Primary,Primary,Newbold Riverside Primary School,Miss Philippa Boulding,,NEWBOLD ROAD,,RUGBY,WARWICKSHIRE,CV21 1EH,(01788) 544096,,(01788) 576470,admin2627@we-learn.com,D55,4,11,Community,A30,N
William Poulton,Central,Warwick,2325,Primary,Primary,Newburgh Primary School,Mr. Edward May,,KIPLING AVENUE,,WARWICK,WARWICKSHIRE,CV34 6LD,(01926) 775453,,(01926) 775438,admin2325@we-learn.com,C52,4,11,Community,D27,N
Gareth Powell,Nuneaton & Bedworth,Nuneaton and Bedworth,2633,Primary,Primary,Newdigate Primary School and Nursery,Mrs. Christine Adams,,ANDERTON ROAD,,BEDWORTH,WARWICKSHIRE,CV12 0HA,(024) 7636 1662,,(024) 7636 3796,admin2633@we-learn.com,E01,3,11,Community,B77,N
Dorothy Rickarby,North Warwickshire,North Warwickshire,3047,Primary,Primary,Newton Regis C.Of E. Primary School,Mrs. Maureen Wraight,,AUSTREY LANE,NEWTON REGIS,TAMWORTH,STAFFORDSHIRE,B79 0NL,(01827) 830220,,(01827) 830937,admin3047@we-learn.com,E52,4,11,Voluntary Controlled,B1,N
John Vickers,Nuneaton & Bedworth,Nuneaton and Bedworth,4103,Secondary,Secondary,Nicholas Chamberlaine Technology College,Mr. Nicholas Smallman,,BULKINGTON ROAD,,BEDWORTH,WARWICKSHIRE,CV12 9EA,(024) 7631 2308,,(024) 7664 3183,enquiries@nctc-online.co.uk,P03,11,18,Community,B60,N
Tony Salmon,Central,Warwick,4237,Secondary,Secondary,North Leamington School,Mr. David Hazeldine,,SANDY LANE,BLACKDOWN,LEAMINGTON SPA,WARWICKSHIRE,CV32 6RD,(01926) 338711,(01926)  338716,(01926) 429818,nls@we-learn.com,M06,11,18,Community,D44,N
Susan Currie,Eastern,Rugby,2417,Primary,Primary,Northlands Primary School,Mrs. Louise Symons,,PINDER'S LANE,,RUGBY,WARWICKSHIRE,CV21 2SS,(01788) 542440,,(01788) 542440,admin2417@we-learn.com,D35,4,11,Community,A40,N
Jeanne Monkton,North Warwickshire,North Warwickshire,2001,Primary,Primary,Nursery Hill Primary School,Miss. Rebecca Pebody,,ANSLEY COMMON,,NUNEATON,WARWICKSHIRE,CV10 0PY,(024) 7639 2318,,,admin2001@we-learn.com,E02,4,11,Community,B21,N
Kevin Griffiths,Nuneaton & Bedworth,Nuneaton and Bedworth,7002,Special,Special,Oak Wood Primary School,Mrs. Rose Marie Scott,,MORRIS DRIVE,,NUNEATON,WARWICKSHIRE,CV11 4QH,(024) 76740907,,(024) 76740921,admin7002@we-learn.com,K21,2,11,Community,B49,N
Kevin Griffiths,Nuneaton & Bedworth,Nuneaton and Bedworth,7046,Special,Special,Oak Wood Secondary School,Mrs. Rose Marie Scott,,MORRIS DRIVE,,NUNEATON,WARWICKSHIRE,CV11 4QH,(024) 76740901,,(024) 76740915,admin7046@we-learn.com,K22,11,16,Community,B49,N
Michael Hatfield,North Warwickshire,North Warwickshire,2577,Junior,Primary,Oakfield Junior School,Mrs. Mary Hoverd,,SOUTHLANDS,,ATHERSTONE,WARWICKSHIRE,CV9 1EH,(01827) 712372,,(01827) 712372,admin2577@we-learn.com,E08,7,11,Community,B14,N
Susan Currie,Eastern,Rugby,2419,Primary,Primary,Oakfield Primary School,Mrs. Heather Fielding,,OAKFIELD ROAD,,RUGBY,WARWICKSHIRE,CV22 6AU,(01788) 565021,,(01788) 571231,head2419@we-learn.com,D44,4,11,Community,A60,N
Dorothy Rickarby,Central,Warwick,3546,Primary,Primary,Our Lady & St. Teresa's Catholic Primary School,Ms. Michaela Fallon,,WINDMILL HILL,CUBBINGTON,LEAMINGTON SPA,WARWICKSHIRE,CV32 7LN,(01926) 424420,,,admin3546@we-learn.com,C09,4,11,Voluntary Aided,D47,N
Michael Theobalds,Nuneaton & Bedworth,Nuneaton and Bedworth,3520,Infant,Primary,Our Lady Of The Angels Catholic Infant School,Mrs. Caroline Pearson,,RIVERSLEY PARK,COTON ROAD,NUNEATON,WARWICKSHIRE,CV11 5TY,(024) 7632 6080,,,admin3520@we-learn.com,E67,4,7,Voluntary Aided,B46,N
Sue Bailey,Southern,Stratford on Avon,3500,Primary,Primary,"Our Lady's Catholic Primary School, Alcester",Mrs. Sylvia Collins,,ST. FAITH'S ROAD,,ALCESTER,WARWICKSHIRE,B49 6AG,(01789) 762555,,,head3500@we-learn.com,F02,4,11,Voluntary Aided,C35,N
Alison Stringer,Eastern,Rugby,3561,Primary,Primary,"Our Lady's Catholic Primary School, Princethorpe",Mrs. Margaret Patrick,,LEAMINGTON ROAD,PRINCETHORPE,RUGBY,WARWICKSHIRE,CV23 9PU,(01926) 632385,,(01926) 634390,admin3561@we-learn.com,D13,4,11,Voluntary Aided,D66,N
Peter Rayers,Eastern,Rugby,2625,Primary,Primary,Paddox Primary School,Miss Brenda Oakes,,FAREHAM AVENUE,,RUGBY,WARWICKSHIRE,CV22 5HS,(01788) 572340,,(01788) 541659,admin2625@we-learn.com,D54,4,11,Community,A51,N
Phil Robbins,Central,Warwick,2309,Junior,Primary,Park Hill Junior School,Mr. Paul Milner,,PARKFIELD DRIVE,,KENILWORTH,WARWICKSHIRE,CV8 2JJ,(01926) 855974,,,park.hill@ksn.org.uk,C13,7,11,Community,D58,N
Michael Theobalds,Nuneaton & Bedworth,Nuneaton and Bedworth,2636,Primary,Primary,Park Lane Primary School,Mrs. Jennifer Fews,,PARK LANE,,NUNEATON,WARWICKSHIRE,CV10 8NL,(024) 7638 2924,,,admin2636@we-learn.com,E41,4,11,Community,B27,N
Phil Robbins,Central,Warwick,2605,Primary,Primary,Priors Field Primary School,Ms. Margot Brown,,CLINTON LANE,,KENILWORTH,WARWICKSHIRE,CV8 1BA,(01926) 853015,,,admin2605@we-learn.com,C14,4,11,Community,D62,N
Sue Baliey,Eastern,Rugby,3212,Primary,Primary,Provost Williams C.Of E. Primary School,Mrs. Moira Holroyd,,SODENS AVENUE,RYTON-ON-DUNSMORE,COVENTRY,WEST MIDLANDS,CV8 3FF,(024) 7630 2166,,(024) 7630 1660,admin3212@we-learn.com,D57,4,11,Voluntary Controlled,D65,N
Chris Hunt,North Warwickshire,North Warwickshire,5404,Secondary,Secondary,Queen Elizabeth School and Sports College,Mr. Anthony Wilmot,,WITHERLEY ROAD,,ATHERSTONE,WARWICKSHIRE,CV9 1LZ,(01827) 712477,,(01827) 715253,qesahead@aol.com,W05,11,16,Foundation,B13,N
Michael Theobalds,Nuneaton & Bedworth,Nuneaton and Bedworth,3200,Junior,Primary,Queen's C.Of E. Junior School,Miss. Manjit Kaur,,BENTLEY ROAD,,NUNEATON,WARWICKSHIRE,CV11 5LR,(024) 7638 2906,,,admin3200@we-learn.com,E68,7,11,Voluntary Controlled,B36,N
Linda Stock,Southern,Stratford on Avon,2043,Primary,Primary,Quinton Primary School,Ms. Deborah Townsend,31/08/2010,LOWER QUINTON,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 8SA,(01789) 720317,,,admin2043@we-learn.com,F30,4,11,Community,C13,N
Jeanne Monkton,Nuneaton & Bedworth,Nuneaton and Bedworth,2614,Infant,Primary,Race Leys Infant School,Mrs. Jacqueline McKee,,HURST ROAD,,BEDWORTH,WARWICKSHIRE,CV12 8AD,(024) 7631 2221,(024) 7649 4199,,admin2614@we-learn.com,E91,4,7,Community,B65,N
Jeanne Monkton,Nuneaton & Bedworth,Nuneaton and Bedworth,2615,Junior,Primary,Race Leys Junior School,Mrs. Patricia Wheatley,,BARTON ROAD,,BEDWORTH,WARWICKSHIRE,CV12 8HG,(024) 7649 0644,,(024) 7631 0749,schooloffice@raceleys-jun.warwickshire.sch.uk,E92,7,11,Community,B66,N
Michael Hatfield,North Warwickshire,North Warwickshire,2617,Primary,Primary,Racemeadow Primary School,Mrs. June Butcher,,RATCLIFFE ROAD,,ATHERSTONE,WARWICKSHIRE,CV9 1LT,(01827) 713284,,,admin2617@we-learn.com,E93,4,11,Community,B11,N
Thomas Daley,Central,Warwick,3152,Primary,Primary,Radford Semele C.Of E. Primary School,Mr. Paul Wyllie,,SCHOOL LANE,RADFORD SEMELE,LEAMINGTON SPA,WARWICKSHIRE,CV31 1TQ,(01926) 426940,,(01926) 426940,admin3152@we-learn.com,C42,4,11,Voluntary Controlled,D14,N
Kevin Griffiths,Central,Warwick,7028,Special,Special,Ridgeway School,Mrs. Patricia Flynn,,MONTAGUE ROAD,,WARWICK,WARWICKSHIRE,CV34 5LW,(01926) 491987,,(01926) 836959,admin7028@we-learn.com,H02,2,11,Community,D34,N
Pat Flynn,Southern,Stratford on Avon,7001,Special,Special,River House School,Mr. Michael Turner,,STRATFORD ROAD,,HENLEY-IN-ARDEN,WARWICKSHIRE,B95 6AD,(01564) 792514,,(01564) 792179,admin7001@we-learn.com,G31,11,16,Community,C50,N
Susan Currie,Eastern,Rugby,3597,Primary,Primary,Rokeby Primary School,Mrs. Alison Stringer,,ANDERSON AVENUE,,RUGBY,WARWICKSHIRE,CV22 5PE,(01788) 814399,,(01788) 814303,admin3597@we-learn.com,D38,4,11,Community,A55,N
Kevin Griffths,Central,Warwick,7030,Special,Special,"Round Oak School, Support Service and Sports College",Ms. Puffin Pocock,,BRITTAIN LANE,,WARWICK,WARWICKSHIRE,CV34 6DX,(01926) 423311,,(01926) 887371,admin7030@we-learn.com,H15,11,19,Community,D22B,N
Douglas Tribe,Eastern,Rugby,5406,Secondary,Secondary,Rugby High School,Ms. Charlotte Marten,,LONGROOD ROAD,BILTON,RUGBY,WARWICKSHIRE,CV22 7RE,(01788) 810518,,(01788) 811794,heininks@rugbyhighschool.co.uk,W06,11,18,Foundation,A22,N
Judith Jones,Southern,Stratford on Avon,3056,Primary,Primary,Salford Priors C.Of E. Primary School,Mrs. Janet Satchwell,,SCHOOL ROAD,SALFORD PRIORS,EVESHAM,WORCESTERSHIRE,WR11 8XD,(01789) 772497,,,admin3056@we-learn.com,F31,4,11,Voluntary Controlled,C32,N
John Vickers,Southern,Stratford on Avon,4113,Secondary,Secondary,"Shipston High School, a Specialist Technology College",Mr. Jonathan Baker,,DARLINGSCOTE ROAD,,SHIPSTON-ON-STOUR,WARWICKSHIRE,CV36 4DY,(01608) 661833,,(01608) 663459,info@shipstonhigh.co.uk,Q07,11,16,Community,C5,N
Linda Stock,Southern,Stratford on Avon,5206,Primary,Primary,Shipston Primary School,Mr. Christian Hilton,,STATION ROAD,,SHIPSTON-ON-STOUR,WARWICKSHIRE,CV36 4BT,(01608) 661266,,(01608) 662780,primary@shipston.warwickshire.sch.uk,T07,4,11,Foundation,C6,N
Paula Protherough,Southern,Stratford on Avon,3057,Primary,Primary,Shottery St. Andrew's C.Of E. Primary School,Mrs. Sarah Marshall,,HATHAWAY LANE,SHOTTERY,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 9BL,(01789) 551508,,(01789) 551509,admin3057@we-learn.com,F33,4,11,Voluntary Controlled,C28,N
Thomas Daley,Central,Warwick,2637,Primary,Primary,Shrubland Street Community Primary School,Mr. David Farrar,,SHRUBLAND STREET,,LEAMINGTON SPA,WARWICKSHIRE,CV31 2AR,(01926) 426976,,(01926) 338756,admin2637@we-learn.com,C27,4,11,Community,D18,N
Michael Hatfield,North Warwickshire,North Warwickshire,3207,Primary,Primary,Shustoke C.Of E. Primary School,Miss Michele Wall,,FORGE ROAD,SHUSTOKE,COLESHILL,BIRMINGHAM,B46 2AU,(01675) 481319,,,admin3207@we-learn.com,E85,4,11,Voluntary Controlled,B82,N
Judith Jones,Southern,Stratford on Avon,2046,Primary,Primary,Snitterfield Primary School,Mrs. Susan Ogden,,SCHOOL ROAD,SNITTERFIELD,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 0JL,(01789) 731301,,,admin2046@we-learn.com,F34,4,11,Community,D4,N
Jackie Beere,Central,Stratford on Avon,4114,Secondary,Secondary,Southam College,Mr. Ranjit Samra,,WELSH ROAD WEST,,SOUTHAM,WARWICKSHIRE,CV47 0JW,(01926) 812560,,(01926) 815807,southamcollege@aol.com,M15,11,18,Community,A10,N
Pauline Barker,Central,Stratford on Avon,2624,Primary,Primary,Southam Primary School,Ms. Emma Longworth,,ST. JAMES ROAD,,SOUTHAM,WARWICKSHIRE,CV47 0QB,(01926) 812520,,(01926) 810733,admin2624@we-learn.com,C69,4,11,Community,A11,N
Pauline Barker,Central,Stratford on Avon,3585,Primary,Primary,Southam St. James (Voluntary Aided) C. Of E. Primary School,Mrs. Hilary Wankling,,TOLL GATE ROAD,,SOUTHAM,WARWICKSHIRE,CV47 1EE,(01926) 812127,,(01926) 815438,admin3585@we-learn.com,C45,4,11,Voluntary Aided,A12,N
Susan Currie,Eastern,Rugby,3591,Primary,Primary,St. Andrew's Benn C.Of E. (Voluntary Aided) Primary School,Mrs. Nicola Jones,,CHESTER STREET,,RUGBY,WARWICKSHIRE,CV21 3NX,(01788) 574697,,(01788) 574697,admin3591@we-learn.com,D56,4,11,Voluntary Aided,A37,N
Jeanne Monkton,Nuneaton & Bedworth,Nuneaton and Bedworth,3583,Primary,Primary,St. Anne's Catholic Primary School,Mrs. Mary Bourne,,CAMP HILL DRIVE,,NUNEATON,WARWICKSHIRE,CV10 0JX,(024) 7639 2877,,(024) 7639 2877,admin3583@we-learn.com,E70,4,11,Voluntary Aided,B22,N
Thomas Daley,Central,Warwick,3544,Primary,Primary,St. Anthony's Catholic Primary School,Ms. Jane McSharry,,SYDENHAM DRIVE,,LEAMINGTON SPA,WARWICKSHIRE,CV31 1NJ,(01926) 428800,,,admin3544@we-learn.com,C28,4,11,Voluntary Aided,D16,N
Phil Robbins,Central,Warwick,3541,Primary,Primary,St. Augustine's Catholic Primary School,Mrs. Angela Scull,,HOLLIS LANE,,KENILWORTH,WARWICKSHIRE,CV8 2JY,(01926) 852943,,(01926) 857073,admin3541@we-learn.com,C15,4,11,Voluntary Aided,D61,N
Tony Salmon,Southern,Stratford on Avon,4730,Secondary,Secondary,St. Benedict's Catholic High School,Mr. Timothy Sara,,KINWARTON ROAD,,ALCESTER,WARWICKSHIRE,B49 6PX,(01789) 762888,,(01789) 400192,admin@st-benedicts.org,Q03,11,16,Voluntary Aided,C38,N
Michael Hatfield,North Warwickshire,North Warwickshire,3501,Primary,Primary,St. Benedict's Catholic Primary School,Mr. Martin Hammond,,CHURCH WALK,,ATHERSTONE,WARWICKSHIRE,CV9 1PS,(01827) 712320,,(01827) 714078,admin3501@we-learn.com,E09,4,11,Voluntary Aided,B16,N
Dorothy Rickarby,North Warwickshire,North Warwickshire,3503,Primary,Primary,St. Edward's Catholic Primary School,Mrs. Moira Davidson,,PACKINGTON LANE,COLESHILL,BIRMINGHAM,WEST MIDLANDS,B46 3EJ,(01675) 463249,,(01675) 463249,admin3503@we-learn.com,E30,4,11,Voluntary Aided,B84,N
Jeanne Monkton,Nuneaton & Bedworth,Nuneaton and Bedworth,3502,Primary,Primary,St. Francis Catholic Primary School,Mrs. Debbie Huxtable,,RYE PIECE RINGWAY,,BEDWORTH,WARWICKSHIRE,CV12 8JN,(024) 7631 5279,,(024) 7631 3021,admin3502@we-learn.com,E23,4,11,Voluntary Aided,B64,N
Gareth Powell,Nuneaton & Bedworth,Nuneaton and Bedworth,2571,Junior,Primary,St. Giles Junior School,Mrs. Anne Perry,,HAYES LANE,EXHALL,COVENTRY,WEST MIDLANDS,CV7 9NS,(024) 7631 3375,,(024) 7673 1041,admin2571@we-learn.com,E36,7,11,Community,B70,N
Paula Protherough,Southern,Stratford on Avon,3506,Primary,Primary,St. Gregory's Catholic Primary School,Mr. Michael Caveney,,AVENUE ROAD,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 6UZ,(01789) 204517,,,admin3506@we-learn.com,F40,4,11,Voluntary Aided,C18,N
Jeanne Monkton,Nuneaton & Bedworth,Nuneaton and Bedworth,3015,Junior,Primary,St. James C.Of E. Junior School,Mr. Paul Ison,,BARBRIDGE ROAD,BULKINGTON,NUNEATON,WARWICKSHIRE,CV12 9PF,(024) 7631 3227,,(024) 7631 2982,admin3015@we-learn.com,E25,7,11,Voluntary Controlled,B57,N
Phil Robbins,Central,Warwick,2620,Primary,Primary,"St. John's Primary School, Nursery and Children's Centre",Mrs. Janet Hamilton,,MORTIMER ROAD,,KENILWORTH,WARWICKSHIRE,CV8 1FS,(01926) 854450,(01926) 851981,,admin2620@we-learn.com,C65,4,11,Community,D52,N
Michael Theobalds,Nuneaton & Bedworth,Nuneaton and Bedworth,3584,Junior,Primary,St. Joseph's Catholic Junior School,Mr. Richard Phillips,,RIVERSLEY PARK,COTON ROAD,NUNEATON,WARWICKSHIRE,CV11 5TY,(024) 7638 3807,,,admin3584@we-learn.com,E71,7,11,Voluntary Aided,B47,N
Brenda Iles,Central,Warwick,3547,Primary,Primary,St. Joseph's Catholic Primary School,Mr. James Goggin,,ROWLEY ROAD,WHITNASH,LEAMINGTON SPA,WARWICKSHIRE,CV31 2LJ,(01926) 427552,,,admin3547@we-learn.com,C59,4,11,Voluntary Aided,D7,N
Pauline Barker,Central,Stratford on Avon,3589,Primary,Primary,St. Lawrence C.Of E. (Voluntary Aided) Primary School,Mr. John Bouverie-Brine,,DOG LANE,NAPTON,SOUTHAM,WARWICKSHIRE,CV47 8LU,(01926) 812447,,(01926) 812356,admin3589@we-learn.com,C68,4,11,Voluntary Aided,A14,N
Brenda Iles,Central,Warwick,3157,Junior,Primary,St. Margaret's C.Of E. Junior School,Mr. Alan Jones,,COPPICE ROAD,WHITNASH,LEAMINGTON SPA,WARWICKSHIRE,CV31 2JF,(01926) 426216,,(01926) 450649,admin3157@we-learn.com,C60,7,11,Community,D9,N
Peter Rayers,Eastern,Rugby,3563,Infant,Primary,St. Marie's Catholic Infant School,Mrs. Teresa Edwards,,DUNCHURCH ROAD,,RUGBY,WARWICKSHIRE,CV22 6AQ,(01788) 542203,,(01788) 542203,admin3563@we-learn.com,D41,4,7,Voluntary Aided,A53,N
Peter Rayers,Eastern,Rugby,3562,Junior,Primary,St. Marie's Catholic Junior School,Mr. Rodney Floyd,,MERTTENS DRIVE,,RUGBY,WARWICKSHIRE,CV22 7AF,(01788) 543636,,(01788) 543636,admin3562@we-learn.com,D42,7,11,Voluntary Aided,A61,N
