EDUCATION_AREA,DISTRICT_AREA_DESC,DFES,TYPE,PHASE,SCHOOL_NAME,Headteacher,ACTING,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,POST_CODE,TEL_NO,EXTRA_TELEPHONE,FAX,E_MAIL,START_AGE,LEAVE_AGE,Control,SCH_DELIVERY_NO,Specialism,Second Specialism,WEB_ADDRESS
Southern,Stratford on Avon,3035,Primary,Primary,Ilmington C.Of E. Primary School,Mrs. Sally Naish,,BACK STREET,ILMINGTON,SHIPSTON-ON-STOUR,WARWICKSHIRE,CV36 4LJ,(01608) 682212,,(01608) 682212,jbeard@ilmington.warwickshire.sch.uk,4,11,C of E Controlled,C12,,,http://www.ilmingtonschool.co.uk
Central,Warwick,1020,Nursery,Nursery,Kenilworth Children's Centre and Nursery School,Ms. Rachel Gillett,,BERTIE ROAD,,KENILWORTH,WARWICKSHIRE,CV8 1JP,(01926) 853394,,(01926) 853394,schooloffice@kccns.org.uk,2,3,Community,D55,,,http://www.kccns.org.uk/
Central,Warwick,4236,Secondary,Secondary,Kenilworth School and Sports College,Mr. Hayden Abbott,,LEYES LANE,,KENILWORTH,WARWICKSHIRE,CV8 2DA,(01926) 859421,(01926) 859425,(01926) 859426,kenilworth.school@ksn.org.uk,11,18,Foundation Trust,D57,Sports,Language,http://www.ksn.org.uk/
Nuneaton & Bedworth,Nuneaton and Bedworth,2613,Primary,Primary,Keresley Newland Primary School,Mr. Andrew Moorcroft,,GROVE LANE,KERESLEY END,COVENTRY,WEST MIDLANDS,CV7 8JZ,(024) 7633 2434,,(024) 7633 2434,admin2613@we-learn.com,4,11,Community,B78,,,N/A
Southern,Stratford on Avon,3308,Primary,Primary,Kineton C.Of E. (Voluntary Aided) Primary School,Mrs. Margaret Pollard,,KING JOHN'S ROAD,KINETON,WARWICK,WARWICKSHIRE,CV35 0HS,(01926) 640397,(01926) 642543,,admin3308@we-learn.com,4,11,C of E Aided,A3,,,http://www.kinetonprimaryschool.org.uk
Southern,Stratford on Avon,4110,Secondary,Secondary,"Kineton High School, A Specialist Sports College",Mrs. Julia Morris,,BANBURY ROAD,KINETON,WARWICK,WARWICKSHIRE,CV35 0JX,(01926) 640465,,(01926) 640872,admin4110@we-learn.com,11,18,Community,A4,Sports,,http://www.kinetonhighschool.org.uk/
Southern,Stratford on Avon,4601,Secondary,Secondary,King Edward VI School,Mr. Bennett Carr,,CHURCH STREET,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 6HB,(01789) 293351,,(01789) 293564,admin4601@we-learn.com,11,18,Voluntary Aided,C16,Humanities,,http://www.kes-stratford.org.uk/index.php
North Warwickshire,North Warwickshire,3596,Primary,Primary,Kingsbury Primary School,Ms. Karen Hanson,,BROMAGE AVENUE,KINGSBURY,TAMWORTH,STAFFORDSHIRE,B78 2HW,(01827) 872275,,,admin3596@we-learn.com,4,11,Community,B91,,,N/A
North Warwickshire,North Warwickshire,4111,Secondary,Secondary,"Kingsbury School, a Specialist Science and Mathematics College",Mr. Simon Cotton,,TAMWORTH ROAD,KINGSBURY,TAMWORTH,STAFFORDSHIRE,B78 2LF,(01827) 872316,,(01827) 873814,admin4111@we-learn.com,11,16,Community,B90,Science,,http://www.kingsburyschool.co.uk/
Central,Warwick,2638,Primary,Primary,Kingsway Community Primary School,Mr. Brendan Lee,,BAKER AVENUE,,LEAMINGTON SPA,WARWICKSHIRE,CV31 3HB,(01926) 426896,,(01926) 426896,admin2638@we-learn.com,4,11,Community,D20,,,http://www.kingswayprimaryschool.org/
Eastern,Rugby,3590,Primary,Primary,Knightlow C.Of E. Primary School,Mrs. Jill Vavasour,,HILL CRESCENT,STRETTON-ON-DUNSMORE,RUGBY,WARWICKSHIRE,CV23 9NF,(024) 7654 3751,,(024) 7654 5801,admin3590@we-learn.com,4,11,C of E Aided,D67,,,http://www.knightlow.warwickshire.sch.uk
Central,Warwick,3147,Primary,Primary,Lapworth C.Of E. Primary School,Mr. Andrew Smith,,STATION LANE,LAPWORTH,SOLIHULL,WEST MIDLANDS,B94 6LT,(01564) 783225,,,admin3147@we-learn.com,4,11,C of E Controlled,C55,,,http://www.lapworthschool.co.uk/
Eastern,Rugby,4620,Secondary,Secondary,Lawrence Sheriff School,Dr. Peter Kent,,CLIFTON ROAD,,RUGBY,WARWICKSHIRE,CV21 3AG,(01788) 542074,(01788) 573852,(01788) 567962,lss@lawrencesheriffschool.com,11,18,Voluntary Aided,A41,Maths and Computing,RAPP,http://www.lawrencesheriffschool.net/
Eastern,Rugby,3180,Infant,Primary,Leamington Hastings C.Of E. Infant School,Mrs. Rose Plumbley,,BIRDINGBURY ROAD,HILL,RUGBY,WARWICKSHIRE,CV23 8EA,(01926) 632359,,,admin3180@we-learn.com,4,7,C of E Controlled,A17,,,N/A
Southern,Stratford on Avon,2064,Primary,Primary,Lighthorne Heath Primary School,Mrs. Juliette Westwood,,LIGHTHORNE HEATH,,LEAMINGTON SPA,WARWICKSHIRE,CV33 9TW,(01926) 640326,,(01926) 641818,admin2064@we-learn.com,4,11,Community,A2,,,N/A
Central,Warwick,2621,Primary,Primary,Lillington Nursery and Primary School,Mrs. Davinder Jandu,,CUBBINGTON ROAD,LILLINGTON,LEAMINGTON SPA,WARWICKSHIRE,CV32 7AG,(01926) 425114,,(01926) 315952,admin2621@we-learn.com,4,11,Community,D46,,,http://www.lillingtonschool.org.uk/
Central,Stratford on Avon,3211,Primary,Primary,Long Itchington Primary School,Mrs. Phyllis King,,STOCKTON ROAD,LONG ITCHINGTON,RUGBY,WARWICKSHIRE,CV47 9QP,(01926) 814819,,(01926) 814819,admin3211@we-learn.com,4,11,C of E Controlled,A16,,,N/A
Eastern,Rugby,2405,Primary,Primary,Long Lawford Primary School,Mr. Robert Morrissey,,HOLBROOK ROAD,LONG LAWFORD,RUGBY,WARWICKSHIRE,CV23 9AL,(01788) 543332,,(01788) 550366,admin2405@we-learn.com,4,11,Community,A29,,,http://www.longlawfordprimaryschool.com/
Southern,Stratford on Avon,3040,Primary,Primary,Loxley C.Of E. Community Primary School,Mrs. Janet Clough,Until 31/08/2010,LOXLEY C of E COMMUNITY PRIMARY SCHOOL,LOXLEY,WARWICK,WARWICKSHIRE,CV35 9JT,(01789) 840211,,,admin3040@we-learn.com,4,11,C of E Controlled,C10,,,http://www.loxley.warwickshire.sch.uk
Southern,Stratford on Avon,3041,Primary,Primary,Mappleborough Green C.Of E. Primary School,Mrs. Erica Hayton,,HENLEY ROAD,MAPPLEBOROUGH GREEN,STUDLEY,WARWICKSHIRE,B80 7DR,(01527) 852240,,,admin3041@we-learn.com,4,11,C of E Controlled,C47,,,N/A
North Warwickshire,North Warwickshire,2028,Junior,Primary,Michael Drayton Junior School,Mr. John Buxton,,THE WOODLANDS,HARTSHILL,NUNEATON,WARWICKSHIRE,CV10 0SZ,(024) 7639 2272,,(024) 7639 2281,admin@mdjs.co.uk,7,11,Community,B17,,,http://www.millenniumschools.co.uk/pub/warks/michaeldrayton
Nuneaton & Bedworth,Nuneaton and Bedworth,5202,Junior,Primary,Middlemarch School,Ms. Georgina Mawdsley,31/08/2011,COLLEGE STREET,,NUNEATON,WARWICKSHIRE,CV10 7BQ,(024) 7632 8009,,(024) 7632 6293,admin5202@we-learn.com,7,11,Foundation,B52,,,N/A
Nuneaton & Bedworth,Nuneaton and Bedworth,2631,Primary,Primary,Milby Primary School,Mrs. Melanie Aley,,MILBY DRIVE,,NUNEATON,WARWICKSHIRE,CV11 6JS,(024) 7638 2587,,(024) 7635 0012,admin2631@we-learn.com,4,11,Community,B41,,,http://www.milby.warwickshire.sch.uk/
Central,Warwick,2606,Primary,Primary,Milverton Primary School,Mr. Benjamin Wilde,,GREATHEED ROAD,,LEAMINGTON SPA,WARWICKSHIRE,CV32 6ES,(01926) 424043,,,admin2606@we-learn.com,4,11,Community,D38,,,http://www.milverton-primary-school.co.uk
Southern,Stratford on Avon,5205,Primary,Primary,Moreton Morrell C Of E Primary School,Mrs. Kelly Ford,,MORETON MORRELL,,WARWICK,WARWICKSHIRE,CV35 9AN,(01926) 651355,,(01926) 651966,admin5205@we-learn.com,4,11,Foundation,A1,,,http://www.moretonmorrell.warwickshire.sch.uk
Central,Warwick,5403,Secondary,Secondary,Myton School A Specialist Science College and Training School,Mr. Paul MacIntyre,,MYTON ROAD,,WARWICK,WARWICKSHIRE,CV34 6PJ,(01926) 493805/6,,(01926) 490380,head@myton.co.uk,11,18,Foundation,D22,Science and Training School,,http://www.mytonschool.co.uk/
North Warwickshire,North Warwickshire,2029,Infant,Primary,Nathaniel Newton Infant School,Mrs. Julie Forshew,Acting,VICTORIA ROAD,CHAPEL END,NUNEATON,WARWICKSHIRE,CV10 0LS,(024) 7639 2236,,(024) 7639 7073,admin2029@we-learn.com,4,7,Community,B19,,,N/A
Southern,Stratford on Avon,3214,Primary,Primary,Newbold And Tredington C.Of E. Primary School,Mr.Carl Upton,,MANOR FARM ROAD,TREDINGTON,SHIPSTON-ON-STOUR,WARWICKSHIRE,CV36 4NZ,(01608) 661568,,,admin3214@we-learn.com,4,11,C of E Controlled,C8,,,N/A
Eastern,Rugby,2627,Primary,Primary,Newbold Riverside Primary School,Miss Philippa Boulding,,NEWBOLD ROAD,,RUGBY,WARWICKSHIRE,CV21 1EH,(01788) 544096,,(01788) 576470,admin2627@we-learn.com,4,11,Community,A30,,,http://www.newboldriverside.warwickshire.sch.uk
Central,Warwick,2325,Primary,Primary,Newburgh Primary School,Mrs. Jane Bates,31/12/2010,KIPLING AVENUE,,WARWICK,WARWICKSHIRE,CV34 6LD,(01926) 775453,,(01926) 775438,admin2325@we-learn.com,4,11,Community,D27,,,http://www.millenniumschools.co.uk/pub/warks/newburgh
Nuneaton & Bedworth,Nuneaton and Bedworth,2633,Primary,Primary,Newdigate Primary School and Nursery,Mrs. Siobhan Marrow,,ANDERTON ROAD,,BEDWORTH,WARWICKSHIRE,CV12 0HA,(024) 7636 1662,,(024) 7636 3796,admin2633@we-learn.com,3,11,Community,B77,,,http://www.newdigate.warwickshire.sch.uk
North Warwickshire,North Warwickshire,3047,Primary,Primary,Newton Regis C.Of E. Primary School,Mrs. Maureen Wraight,,AUSTREY LANE,NEWTON REGIS,TAMWORTH,STAFFORDSHIRE,B79 0NL,(01827) 830220,,(01827) 830937,admin3047@we-learn.com,4,11,C of E Controlled,B1,,,http://www.newtonregis-ce-school.co.uk
Nuneaton & Bedworth,Nuneaton and Bedworth,4103,Secondary,Secondary,Nicholas Chamberlaine Technology College,Mr. Nicholas Smallman,,BULKINGTON ROAD,,BEDWORTH,WARWICKSHIRE,CV12 9EA,(024) 7631 2308,,(024) 7664 3183,enquiries@nctc-online.co.uk,11,18,Community,B60,Technology,,http://www.nctc.online.co.uk
Central,Warwick,4237,Secondary,Secondary,North Leamington School,Mr. David Hazeldine,,SANDY LANE,BLACKDOWN,LEAMINGTON SPA,WARWICKSHIRE,CV32 6RD,(01926) 338711,(01926)  338716,(01926) 429818,nls@we-learn.com,11,18,Community,D44,Arts,,http://www.northleamingtonschool.warwickshire.sch.uk/
Eastern,Rugby,2417,Primary,Primary,Northlands Primary School,Mrs. Louise Symons,,PINDER'S LANE,,RUGBY,WARWICKSHIRE,CV21 2SS,(01788) 542440,,(01788) 542440,admin2417@we-learn.com,4,11,Community,A40,,,N/A
North Warwickshire,North Warwickshire,2001,Primary,Primary,Nursery Hill Primary School,Miss. Rebecca Pebody,,ANSLEY COMMON,,NUNEATON,WARWICKSHIRE,CV10 0PY,(024) 7639 2318,,,admin2001@we-learn.com,4,11,Community,B21,,,N/A
Nuneaton & Bedworth,Nuneaton and Bedworth,7002,Special,Special,Oak Wood Primary School,Ms. Christine Stokoe,Acting,MORRIS DRIVE,,NUNEATON,WARWICKSHIRE,CV11 4QH,(024) 76740907,,(024) 76740921,admin7002@we-learn.com,2,11,Community Special,B49,,,N/A
Nuneaton & Bedworth,Nuneaton and Bedworth,7046,Special,Special,Oak Wood Secondary School,Mrs. Janet McCann,Acting,MORRIS DRIVE,,NUNEATON,WARWICKSHIRE,CV11 4QH,(024) 76740901,,(024) 76740915,admin7046@we-learn.com,11,16,Community Special,B49,,,N/A
Eastern,Rugby,2419,Primary,Primary,Oakfield Primary School,Mrs. Heather Fielding,,OAKFIELD ROAD,,RUGBY,WARWICKSHIRE,CV22 6AU,(01788) 565021,,(01788) 571231,head2419@we-learn.com,4,11,Community,A60,,,http://www.oakfield-pri.warwickshire.sch.uk
Central,Warwick,3546,Primary,Primary,Our Lady & St. Teresa's Catholic Primary School,Ms. Michaela Fallon,,WINDMILL HILL,CUBBINGTON,LEAMINGTON SPA,WARWICKSHIRE,CV32 7LN,(01926) 424420,,,admin3546@we-learn.com,4,11,Catholic Aided,D47,,,http://www.ourlady-st-teresas.warwickshire.sch.uk
Nuneaton & Bedworth,Nuneaton and Bedworth,3520,Infant,Primary,Our Lady Of The Angels Catholic Infant School,Mrs. Caroline Pearson,,RIVERSLEY PARK,COTON ROAD,NUNEATON,WARWICKSHIRE,CV11 5TY,(024) 7632 6080,,,admin3520@we-learn.com,4,7,Catholic Aided,B46,,,http://www.ourladyoftheangelsschool.com
Southern,Stratford on Avon,3500,Primary,Primary,"Our Lady's Catholic Primary School, Alcester",Mrs. Sylvia Collins,,ST. FAITH'S ROAD,,ALCESTER,WARWICKSHIRE,B49 6AG,(01789) 762555,,,head3500@we-learn.com,4,11,Catholic Aided,C35,,,http://www.ourladys-alcester.warwickshire.sch.uk
Eastern,Rugby,3561,Primary,Primary,"Our Lady's Catholic Primary School, Princethorpe",Mrs. Margaret Patrick,,LEAMINGTON ROAD,PRINCETHORPE,RUGBY,WARWICKSHIRE,CV23 9PU,(01926) 632385,,(01926) 634390,admin3561@we-learn.com,4,11,Catholic Aided,D66,,,http://www.ourladysrc.warwickshire.sch.uk/
North Warwickshire,North Warwickshire,2083,Primary,Primary,Outwoods Primary School,Mrs. Beverley Dandy,,SOUTHLANDS,,ATHERSTONE,WARWICKSHIRE,CV9 1EH,(01827) 712372,,(01827) 712372,admin2083@we-learn.com,4,11,Community,,,,N/A
Eastern,Rugby,2625,Primary,Primary,Paddox Primary School,Miss Brenda Oakes,,FAREHAM AVENUE,,RUGBY,WARWICKSHIRE,CV22 5HS,(01788) 572340,,(01788) 541659,admin2625@we-learn.com,4,11,Community,A51,,,http://www.paddoxprimary.com
Central,Warwick,2309,Junior,Primary,Park Hill Junior School,Mr. Paul Milner,,PARKFIELD DRIVE,,KENILWORTH,WARWICKSHIRE,CV8 2JJ,(01926) 855974,,,park.hill@ksn.org.uk,7,11,Community,D58,,,N/A
Nuneaton & Bedworth,Nuneaton and Bedworth,2636,Primary,Primary,Park Lane Primary School,Mrs. Jennifer Fews,,PARK LANE,,NUNEATON,WARWICKSHIRE,CV10 8NL,(024) 7638 2924,,,admin2636@we-learn.com,4,11,Community,B27,,,N/A
Central,Warwick,2605,Primary,Primary,Priors Field Primary School,Ms. Margot Brown,,CLINTON LANE,,KENILWORTH,WARWICKSHIRE,CV8 1BA,(01926) 853015,,,admin2605@we-learn.com,4,11,Community,D62,,,http://www.priorsfield.warwickshire.sch.uk
Eastern,Rugby,3212,Primary,Primary,Provost Williams C.Of E. Primary School,Mrs. Moira Holroyd,,SODENS AVENUE,RYTON-ON-DUNSMORE,COVENTRY,WEST MIDLANDS,CV8 3FF,(024) 7630 2166,,(024) 7630 1660,admin3212@we-learn.com,4,11,C of E Controlled,D65,,,http://warwickshire.schooljotter.com/provostwilliams
North Warwickshire,North Warwickshire,5404,Secondary,Secondary,Queen Elizabeth School and Sports College,Mr. Anthony Wilmot,,WITHERLEY ROAD,,ATHERSTONE,WARWICKSHIRE,CV9 1LZ,(01827) 712477,,(01827) 715253,qesahead@aol.com,11,16,Foundation,B13,Sports,,http://www.queenelizabeth.warwickshire.sch.uk
Nuneaton & Bedworth,Nuneaton and Bedworth,3200,Junior,Primary,Queen's C.Of E. Junior School,Miss. Manjit Kaur,,BENTLEY ROAD,,NUNEATON,WARWICKSHIRE,CV11 5LR,(024) 7638 2906,,,admin3200@we-learn.com,7,11,C of E Controlled,B36,,,http://www.millenniumschools.co.uk/pub/warks/queens
Southern,Stratford on Avon,2043,Primary,Primary,Quinton Primary School,Mr. David Skelcher,,LOWER QUINTON,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 8SA,(01789) 720317,,,admin2043@we-learn.com,4,11,Community,C13,,,N/A
Nuneaton & Bedworth,Nuneaton and Bedworth,2614,Infant,Primary,Race Leys Infant School,Mrs.Judith Ward,,HURST ROAD,,BEDWORTH,WARWICKSHIRE,CV12 8AD,(024) 7631 2221,(024) 7649 4199,,admin2614@we-learn.com,4,7,Community,B65,,,http://www.raceleys-inf.warwickshire.sch.uk
Nuneaton & Bedworth,Nuneaton and Bedworth,2615,Junior,Primary,Race Leys Junior School,Mr. David Harding,,BARTON ROAD,,BEDWORTH,WARWICKSHIRE,CV12 8HG,(024) 7649 0644,,(024) 7631 0749,schooloffice@raceleys-jun.warwickshire.sch.uk,7,11,Community,B66,,,http://www.millenniumschools.co.uk/pub/warks/raceleys-jun
North Warwickshire,North Warwickshire,2617,Primary,Primary,Racemeadow Primary School,Mrs. Deborah Brook,,RATCLIFFE ROAD,,ATHERSTONE,WARWICKSHIRE,CV9 1LT,(01827) 713284,,,admin2617@we-learn.com,4,11,Community,B11,,,http://www.racemeadow.warwickshire.sch.uk/
Central,Warwick,3152,Primary,Primary,Radford Semele C.Of E. Primary School,Mr. Paul Wyllie,,SCHOOL LANE,RADFORD SEMELE,LEAMINGTON SPA,WARWICKSHIRE,CV31 1TQ,(01926) 426940,,(01926) 426940,admin3152@we-learn.com,4,11,C of E Controlled,D14,,,http://www.radfordsemeleprimary.co.uk/
Central,Warwick,7028,Special,Special,Ridgeway School,Mrs. Patricia Flynn,,DEANSWAY,,WARWICK,WARWICKSHIRE,CV34 5DF,(01926) 491987,,(01926) 836959,admin7028@we-learn.com,2,11,Community Special,D34,,,http://www.ridgewayschool.info
Southern,Stratford on Avon,7001,Special,Special,River House School,Mr. Michael Turner,,STRATFORD ROAD,,HENLEY-IN-ARDEN,WARWICKSHIRE,B95 6AD,(01564) 792514,,(01564) 792179,admin7001@we-learn.com,11,16,Community Special,C50,,,http://www.riverhouseschool.co.uk
Eastern,Rugby,3597,Primary,Primary,Rokeby Primary School,Mrs. Alison Stringer,,ANDERSON AVENUE,,RUGBY,WARWICKSHIRE,CV22 5PE,(01788) 814399,,(01788) 814303,admin3597@we-learn.com,4,11,Community,A55,,,http://www.rokebyprimaryschool.co.uk
Central,Warwick,7030,Special,Special,"Round Oak School, Support Service and Sports College",Mrs. Jayne Naylor,,BRITTAIN LANE,,WARWICK,WARWICKSHIRE,CV34 6DX,(01926) 423311,,(01926) 887371,admin7030@we-learn.com,11,19,Community Special,D22B,Sports,,N/A
Eastern,Rugby,5406,Academy,Academy,Rugby High School,Ms. Charlotte Marten,,LONGROOD ROAD,BILTON,RUGBY,WARWICKSHIRE,CV22 7RE,(01788) 810518,,(01788) 811794,heininks@rugbyhighschool.co.uk,11,18,Academy Trust,A22,Science,Language,http://www.rhswebsite.co.uk/
Southern,Stratford on Avon,3056,Primary,Primary,Salford Priors C.Of E. Primary School,Mrs. Janet Satchwell,,SCHOOL ROAD,SALFORD PRIORS,EVESHAM,WORCESTERSHIRE,WR11 8XD,(01789) 772497,,,admin3056@we-learn.com,4,11,C of E Controlled,C32,,,http://www.salfordpriors.warwickshire.sch.uk
Southern,Stratford on Avon,4113,Secondary,Secondary,"Shipston High School, a Specialist Technology College",Mr. Jonathan Baker,,DARLINGSCOTE ROAD,,SHIPSTON-ON-STOUR,WARWICKSHIRE,CV36 4DY,(01608) 661833,,(01608) 663459,info@shipstonhigh.co.uk,11,16,Community,C5,Technology,,http://www.shipstonhigh.co.uk/
Southern,Stratford on Avon,5206,Primary,Primary,Shipston Primary School,Mr. Christian Hilton,,STATION ROAD,,SHIPSTON-ON-STOUR,WARWICKSHIRE,CV36 4BT,(01608) 661266,,(01608) 662780,primary@shipston.warwickshire.sch.uk,4,11,Foundation,C6,,,http://www.shipston.warwickshire.sch.uk/
Southern,Stratford on Avon,3057,Primary,Primary,Shottery St. Andrew's C.Of E. Primary School,Mr. Paul Johnson,13/04/2011,HATHAWAY LANE,SHOTTERY,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 9BL,(01789) 551508,,(01789) 551509,admin3057@we-learn.com,4,11,C of E Controlled,C28,,,http://www.shotterystandrewsprimaryschool.org.uk/
Central,Warwick,2637,Primary,Primary,Shrubland Street Community Primary School,Mr. David Farrar,,SHRUBLAND STREET,,LEAMINGTON SPA,WARWICKSHIRE,CV31 2AR,(01926) 426976,,(01926) 338756,admin2637@we-learn.com,4,11,Community,D18,,,N/A
North Warwickshire,North Warwickshire,3207,Primary,Primary,Shustoke C.Of E. Primary School,Miss Michele Wall,,FORGE ROAD,SHUSTOKE,COLESHILL,BIRMINGHAM,B46 2AU,(01675) 481319,,,admin3207@we-learn.com,4,11,C of E Controlled,B82,,,http://www.shustoke-ce-primary-school.warwickshire.sch.uk/
Southern,Stratford on Avon,2046,Primary,Primary,Snitterfield Primary School,Mrs. Susan Ogden,,SCHOOL ROAD,SNITTERFIELD,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 0JL,(01789) 731301,,,admin2046@we-learn.com,4,11,Community,D4,,,http://www.snitterfieldschool.ik.org/
Central,Stratford on Avon,4114,Secondary,Secondary,Southam College,Mr. Ranjit Samra,,WELSH ROAD WEST,,SOUTHAM,WARWICKSHIRE,CV47 0JW,(01926) 812560,,(01926) 815807,southamcollege@aol.com,11,18,Community,A10,Technology,Applied Learning and Humanities,http://www.southamcollege.com
Central,Stratford on Avon,2624,Primary,Primary,Southam Primary School,Ms. Emma Longworth,,ST. JAMES ROAD,,SOUTHAM,WARWICKSHIRE,CV47 0QB,(01926) 812520,,(01926) 810733,admin2624@we-learn.com,4,11,Community,A11,,,http://www.southamprimary.com/
Central,Stratford on Avon,3585,Primary,Primary,Southam St. James (Voluntary Aided) C. Of E. Primary School,Mrs. Hilary Wankling,,TOLL GATE ROAD,,SOUTHAM,WARWICKSHIRE,CV47 1EE,(01926) 812127,,(01926) 815438,admin3585@we-learn.com,4,11,C of E Aided,A12,,,http://www.southam-st-james.warwickshire.sch.uk
Eastern,Rugby,3591,Primary,Primary,St. Andrew's Benn C.Of E. (Voluntary Aided) Primary School,Mr. Rod Steward,,CHESTER STREET,,RUGBY,WARWICKSHIRE,CV21 3NX,(01788) 574697,,(01788) 574697,admin3591@we-learn.com,4,11,C of E Aided,A37,,,N/A
Nuneaton & Bedworth,Nuneaton and Bedworth,3583,Primary,Primary,St. Anne's Catholic Primary School,Mrs. Mary Bourne,,CAMP HILL DRIVE,,NUNEATON,WARWICKSHIRE,CV10 0JX,(024) 7639 2877,,(024) 7639 2877,admin3583@we-learn.com,4,11,Catholic Aided,B22,,,N/A
Central,Warwick,3544,Primary,Primary,St. Anthony's Catholic Primary School,Ms. Jane McSharry,,SYDENHAM DRIVE,,LEAMINGTON SPA,WARWICKSHIRE,CV31 1NJ,(01926) 428800,,,admin3544@we-learn.com,4,11,Catholic Aided,D16,,,http://www.millenniumschools.co.uk/pub/warks/st-anthonys
Central,Warwick,3541,Primary,Primary,St. Augustine's Catholic Primary School,Mrs. Angela Scull,,HOLLIS LANE,,KENILWORTH,WARWICKSHIRE,CV8 2JY,(01926) 852943,,(01926) 857073,admin3541@we-learn.com,4,11,Catholic Aided,D61,,,http://www.st-augustines.warwickshire.sch.uk
Southern,Stratford on Avon,4730,Secondary,Secondary,St. Benedict's Catholic High School,Mr. Timothy Sara,,KINWARTON ROAD,,ALCESTER,WARWICKSHIRE,B49 6PX,(01789) 762888,,(01789) 400192,admin@st-benedicts.org,11,16,Catholic Aided,C38,Maths and Computing,Applied Learning,http://www.stbenedictshigh.org.uk/
North Warwickshire,North Warwickshire,3501,Primary,Primary,St. Benedict's Catholic Primary School,Mr. Martin Hammond,,CHURCH WALK,,ATHERSTONE,WARWICKSHIRE,CV9 1PS,(01827) 712320,,(01827) 714078,admin3501@we-learn.com,4,11,Catholic Aided,B16,,,http://www.stbenedictsonline.co.uk
North Warwickshire,North Warwickshire,3503,Primary,Primary,St. Edward's Catholic Primary School,Mrs. Moira Davidson,,PACKINGTON LANE,COLESHILL,BIRMINGHAM,WEST MIDLANDS,B46 3EJ,(01675) 463249,,(01675) 463249,admin3503@we-learn.com,4,11,Catholic Aided,B84,,,http://www.millenniumschools.co.uk/pub/warks/st-edwards
Nuneaton & Bedworth,Nuneaton and Bedworth,3502,Primary,Primary,St. Francis Catholic Primary School,Mrs. Debbie Huxtable,,RYE PIECE RINGWAY,,BEDWORTH,WARWICKSHIRE,CV12 8JN,(024) 7631 5279,,(024) 7631 3021,admin3502@we-learn.com,4,11,Catholic Aided,B64,,,N/A
Nuneaton & Bedworth,Nuneaton and Bedworth,2571,Junior,Primary,St. Giles Junior School,Mrs. Anne Perry,,HAYES LANE,EXHALL,COVENTRY,WEST MIDLANDS,CV7 9NS,(024) 7631 3375,,(024) 7673 1041,admin2571@we-learn.com,7,11,Community,B70,,,http://www.stgilesjunior.org.uk
Southern,Stratford on Avon,3506,Primary,Primary,St. Gregory's Catholic Primary School,Mr. Michael Caveney,,AVENUE ROAD,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 6UZ,(01789) 204517,,,admin3506@we-learn.com,4,11,Catholic Aided,C18,,,http://www.st-gregs.org.uk/
Nuneaton & Bedworth,Nuneaton and Bedworth,3015,Junior,Primary,St. James C.Of E. Junior School,Mr. Paul Ison,,BARBRIDGE ROAD,BULKINGTON,NUNEATON,WARWICKSHIRE,CV12 9PF,(024) 7631 3227,,(024) 7631 2982,admin3015@we-learn.com,7,11,C of E Controlled,B57,,,http://www.stjamesjunior.co.uk/
Central,Warwick,2620,Primary,Primary,"St. John's Primary School, Nursery and Children's Centre",Mrs. Janet Hamilton,,MORTIMER ROAD,,KENILWORTH,WARWICKSHIRE,CV8 1FS,(01926) 854450,(01926) 851981,,admin2620@we-learn.com,4,11,Community,D52,,,N/A
Nuneaton & Bedworth,Nuneaton and Bedworth,3584,Junior,Primary,St. Joseph's Catholic Junior School,Mr. Richard Phillips,,RIVERSLEY PARK,COTON ROAD,NUNEATON,WARWICKSHIRE,CV11 5TY,(024) 7638 3807,,,admin3584@we-learn.com,7,11,Catholic Aided,B47,,,N/A
Central,Warwick,3547,Primary,Primary,St. Joseph's Catholic Primary School,Mr. James Goggin,,ROWLEY ROAD,WHITNASH,LEAMINGTON SPA,WARWICKSHIRE,CV31 2LJ,(01926) 427552,,,admin3547@we-learn.com,4,11,Catholic Aided,D7,,,N/A
Central,Stratford on Avon,3589,Primary,Primary,St. Lawrence C.Of E. (Voluntary Aided) Primary School,Mr. John Bouverie-Brine,,DOG LANE,NAPTON,SOUTHAM,WARWICKSHIRE,CV47 8LU,(01926) 812447,,(01926) 812356,admin3589@we-learn.com,4,11,C of E Aided,A14,,,http://www.st-lawrence.warwickshire.sch.uk
Central,Warwick,3157,Junior,Primary,St. Margaret's C.Of E. Junior School,Mr. Alan Jones,,COPPICE ROAD,WHITNASH,LEAMINGTON SPA,WARWICKSHIRE,CV31 2JF,(01926) 426216,,(01926) 450649,admin3157@we-learn.com,7,11,C of E Controlled,D9,,,http://www.st-margarets.warwickshire.sch.uk
Eastern,Rugby,3563,Infant,Primary,St. Marie's Catholic Infant School,Mrs. Teresa Edwards,,DUNCHURCH ROAD,,RUGBY,WARWICKSHIRE,CV22 6AQ,(01788) 542203,,(01788) 542203,admin3563@we-learn.com,4,7,Catholic Aided,A53,,,N/A
