FID,ESTAB,SCH_NAME,ADDRESS_1,ADDRESS_2,ADDRESS_3,POSTCODE,SCH_TYPE,EDUC_AREA,UPRN,LATTIUDE,LONGITUDE
,3311,Tanworth-In-Arden C.Of E. Primary School,THE GREEN,,TANWORTH-IN-ARDEN,B94 5AJ,Primary,Southern,4279,52.3330746,-1.8344613
,3313,Wilmcote C.Of E. (Voluntary Aided) Primary School,CHURCH ROAD,WILMCOTE,STRATFORD-UPON-AVON,CV379XD,Primary,Southern,4025,52.2188002,-1.7613903
,3315,Canon Evans C.Of E. Infant School,DERWENT ROAD,,BEDWORTH,CV128RT,Infant,Nuneaton & Bedworth,1022,52.4776323,-1.4796170
,3371,"St. Paul's C.Of E. Primary School, Leamington Spa",UPPER HOLLY WALK,,LEAMINGTON SPA,CV324JZ,Primary,Central,5090,52.2924504,-1.5217277
,3391,Dunchurch Boughton C.Of E.  (Voluntary Aided) Junior School,DEW CLOSE,DUNCHURCH,RUGBY,CV226NE,Junior,Eastern,3032,52.3374292,-1.2953801
,3500,"Our Lady's Catholic Primary School, Alcester",ST. FAITH'S ROAD,,ALCESTER,B49 6AG,Primary,Southern,4007,52.2202007,-1.8696166
,3501,St. Benedict's Catholic Primary School,CHURCH WALK,,ATHERSTONE,CV9 1PS,Primary,North Warwickshire,2021,52.5716136,-1.5335711
,3502,St. Francis Catholic Primary School,RYE PIECE RINGWAY,,BEDWORTH,CV128JH,Primary,Nuneaton & Bedworth,1012,52.4827762,-1.4698377
,3503,St. Edward's Catholic Primary School,PACKINGTON LANE,COLESHILL,BIRMINGHAM,B46 3EJ,Primary,North Warwickshire,2060,52.4844695,-1.7021593
,3505,"St. Mary's Catholic Primary School, Southam",DAVENTRY ROAD,,SOUTHAM,CV471PS,Primary,Central,4178,52.2536003,-1.3851022
,3506,St. Gregory's Catholic Primary School,AVENUE ROAD,,STRATFORD-UPON-AVON,CV376UZ,Primary,Southern,4230,52.1960602,-1.7042642
,3507,"St. Mary's Catholic Primary School, Studley",POOL ROAD,,STUDLEY,B80 7QU,Primary,Southern,4268,52.2706911,-1.8977670
,3508,"St. Mary's Catholic Primary School, Henley in Arden",ARDEN ROAD,,HENLEY-IN-ARDEN,B95 5LT,Primary,Southern,4093,52.2913329,-1.7745486
,3520,Our Lady Of The Angels Catholic Infant School,RIVERSLEY PARK,COTON ROAD,NUNEATON,CV115TY,Infant,Nuneaton & Bedworth,1133,52.5180174,-1.4659065
,3541,St. Augustine's Catholic Primary School,HOLLIS LANE,,KENILWORTH,CV8 2JY,Primary,Central,5041,52.3560250,-1.5847662
,3542,St. Peter's Catholic Primary School,AUGUSTA PLACE,,LEAMINGTON SPA,CV325EL,Primary,Central,5104,52.2896906,-1.5375913
,3543,St. Patrick's Catholic Primary School,CASHMORE AVENUE,,LEAMINGTON SPA,CV313EU,Primary,Central,5088,52.2776606,-1.5373500
,3544,St. Anthony's Catholic Primary School,SYDENHAM DRIVE,,LEAMINGTON SPA,CV311NJ,Primary,Central,5098,52.2838556,-1.5172905
,3545,St. Mary Immaculate Catholic Primary School,WATHEN ROAD,,WARWICK,CV345BG,Primary,Central,5241,52.2876499,-1.5861383
,3546,Our Lady & St. Teresa's Catholic Primary School,WINDMILL HILL,CUBBINGTON,LEAMINGTON SPA,CV327LN,Primary,Central,5016,52.3118295,-1.5076134
,3547,St. Joseph's Catholic Primary School,ROWLEY ROAD,WHITNASH,LEAMINGTON SPA,CV312LJ,Primary,Central,5292,52.2645202,-1.5268928
,3561,"Our Lady's Catholic Primary School, Princethorpe",LEAMINGTON ROAD,PRINCETHORPE,RUGBY,CV239PU,Primary,Eastern,3057,52.3348333,-1.4144296
,3562,St. Marie's Catholic Junior School,MERTTENS DRIVE,,RUGBY,CV227AF,Junior,Eastern,3086,52.3668416,-1.2680944
,3563,St. Marie's Catholic Infant School,DUNCHURCH ROAD,,RUGBY,CV226AQ,Infant,Eastern,3107,52.3670420,-1.2641698
,3564,English Martyrs Catholic Primary School,HIGH STREET,HILLMORTON,RUGBY,CV214EE,Primary,Eastern,3092,52.3569016,-1.2221525
,3583,St. Anne's Catholic Primary School,CAMP HILL DRIVE,,NUNEATON,CV100JX,Primary,Nuneaton & Bedworth,1116,52.5349042,-1.5018064
,3584,St. Joseph's Catholic Junior School,RIVERSLEY PARK,COTON ROAD,NUNEATON,CV115TY,Junior,Nuneaton & Bedworth,1134,52.5173948,-1.4653835
,3585,Southam St. James (Voluntary Aided) C. Of E. Primary School,TOLL GATE ROAD,,SOUTHAM,CV471EE,Primary,Central,4174,52.2567036,-1.3871397
,3586,Coleshill C.Of E. Primary School,WINGFIELD ROAD,COLESHILL,BIRMINGHAM,B46 3LL,Primary,North Warwickshire,2064,52.4945156,-1.7074676
,3587,Barford St. Peter's C.Of E. Primary School,CHURCH STREET,BARFORD,WARWICK,CV358EW,Primary,Southern,5003,52.2446737,-1.6038058
,3588,"All Saints C.Of E. (VA) Primary School, Leek Wootton",WARWICK ROAD,LEEK WOOTTON,WARWICK,CV357QR,Primary,Central,5348,52.3135768,-1.5756872
,3589,St. Lawrence C.Of E. (Voluntary Aided) Primary School,DOG LANE,NAPTON,SOUTHAM,CV478LU,Primary,Central,4366,52.2450466,-1.3188721
,3590,Knightlow C.Of E. Primary School,HILL CRESCENT,STRETTON-ON-DUNSMORE,RUGBY,CV239NF,Primary,Eastern,3210,52.3540627,-1.4016810
,3591,St. Andrew's Benn C.Of E. (Voluntary Aided) Primary School,CHESTER STREET,,RUGBY,CV213NX,Primary,Eastern,3108,52.3767549,-1.2447497
,3592,St. Nicolas C.Of E. (Voluntary Aided) Primary School,WINDERMERE AVENUE,,NUNEATON,CV116HJ,Primary,Nuneaton & Bedworth,1124,52.5328392,-1.4457514
,3593,The Revel C.Of E. (Aided) Primary School,BROCKHURST LANE,MONKS KIRBY,RUGBY,CV230RA,Primary,Eastern,3047,52.4434698,-1.3138018
,3594,Cawston Grange Primary School,SCHOLARS DRIVE,CAWSTON,RUGBY,CV227GU,Primary,Eastern,3276,52.3616059,-1.3032487
,3595,"St. Nicholas' C. Of E. Primary School, Alcester",ST. FAITH'S ROAD,,ALCESTER,B49 6AG,Primary,Southern,4008,52.2195522,-1.8685206
,3596,Kingsbury Primary School,BROMAGE AVENUE,KINGSBURY,TAMWORTH,B78 2HW,Primary,North Warwickshire,2137,52.5676433,-1.6844237
,3597,Rokeby Primary School,ANDERSON AVENUE,,RUGBY,CV225PE,Primary,Eastern,3076,52.3594490,-1.2633414
,4002,"Stratford-upon-Avon Grammar School for Girls, A Specialist Language College",SHOTTERY MANOR,SHOTTERY,STRATFORD-UPON-AVON,CV379HA,Secondary,Southern,4221,52.1898884,-1.7248138
,4004,Etone Technology Language Vocational College,LEICESTER ROAD,,NUNEATON,CV116AA,Secondary,Nuneaton & Bedworth,1158,52.5260553,-1.4581591
,4103,Nicholas Chamberlaine Technology College,BULKINGTON ROAD,,BEDWORTH,CV129EA,Secondary,Nuneaton & Bedworth,1007,52.4799155,-1.4594768
,4108,Henley-In-Arden High School,STRATFORD ROAD,,HENLEY-IN-ARDEN,B95 6AF,Secondary,Southern,4089,52.2865763,-1.7788827
,4110,"Kineton High School, A Specialist Sports College",BANBURY ROAD,KINETON,WARWICK,CV350JX,Secondary,Southern,4108,52.1565788,-1.5023254
,4111,"Kingsbury School, A Specialist Science and Mathematics College",TAMWORTH ROAD,KINGSBURY,TAMWORTH,B78 2LF,Secondary,North Warwickshire,2136,52.5661020,-1.6829152
,4112,Polesworth International Language College,DORDON ROAD,DORDON,TAMWORTH,B78 1QT,Secondary,North Warwickshire,2160,52.6111797,-1.6196335
,4113,"Shipston High School, a Specialist Technology College",DARLINGSCOTT ROAD,,SHIPSTON-ON-STOUR,CV364DY,Secondary,Southern,4191,52.0654717,-1.6334002
,4114,Southam College,WELSH ROAD WEST,,SOUTHAM,CV470JW,Secondary,Central,4173,52.2573591,-1.3939578
,4124,"Stratford-upon-Avon High School, A Maths and Computing Specialist College",ALCESTER ROAD,,STRATFORD-UPON-AVON,CV379DH,Secondary,Southern,4216,52.1935641,-1.7203730
,4150,Alderman Smith School And Sports College,RADNOR DRIVE,STOCKINGFORD,NUNEATON,CV107PD,Secondary,Nuneaton & Bedworth,1137,52.5147782,-1.5024023
,4153,"Higham Lane School, A Business and Enterprise College",SHANKLIN DRIVE,,NUNEATON,CV100BJ,Secondary,Nuneaton & Bedworth,1112,52.5332046,-1.4567002
,4154,Manor Park Community School and Specialist Arts College,BEAUMONT ROAD,,NUNEATON,CV115HJ,Secondary,Nuneaton & Bedworth,1127,52.5251839,-1.4844944
,4190,Aylesford School. A Specialist Language and Music College,SHELLEY AVENUE,,WARWICK,CV346LA,Secondary,Central,5234,52.2699006,-1.6011045
,4192,Campion School,SYDENHAM DRIVE,,LEAMINGTON SPA,CV311QH,Secondary,Central,5079,52.2752452,-1.5178676
,4233,"The Coleshill School, A Maths and Computing College",COVENTRY ROAD,COLESHILL,BIRMINGHAM,B46  3EX,Secondary,North Warwickshire,2059,52.4853920,-1.7043767
,4236,Kenilworth School and Sports College,LEYES LANE,,KENILWORTH,CV8 2DA,Secondary,Central,5028,52.3457205,-1.5618599
,4237,North Leamington School,SANDY WAY,BLACKDOWN,LEAMINGTON SPA,CV326RD,Secondary,Central,,52.3101469,-1.5293404
,4238,Bilton School A Maths and Computing College,LAWFORD LANE,BILTON,RUGBY,CV227JT,Secondary,Eastern,3090,52.3624240,-1.2971855
,4240,Alcester High School Technology College,GERARD ROAD,,ALCESTER,B49 6QQ,Secondary,Southern,4006,52.2204290,-1.8570564
,4241,Ashlawn School,ASHLAWN ROAD,,RUGBY,CV225ET,Secondary,Eastern,3089,52.3570342,-1.2328104
